Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1482A-4H-4-W 75/75-NANNO,0,0,27.15,27.15,,"AGSF - reworked taxa - Sphenolithus sp.; Ceratolithus telesmus; Gephyrocapsa sizes: a. Gephyrocapsa 4-5 um - C to A, b. Gephyrocapsa <3 um (small) - C to A, c. Gephyrocapsa <4 um - C; It appears that in the sample, 4 to 5 microns Gephyrocapsa sp. are more common than the other sizes",G [P33],D [A22],A,,C,A,C,R,,,,,,,,,,,F,,C,,,,F,,,,,,,,P,,P,,,,,R,P,,,F,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,4,H,4,W
363-U1482A-4H-6-W 75/75-NANNO,0,0,30.15,30.15,,"AGSF - Gephyrocapsa 4 to 5 microns abundant; Gephyrocapsa ericsonii includes small Gephyrocapsa spp. <3 microns, Gephyrocapsa < 4um - few to common; P lacunosa - 2; Holodiscolithis macroporus; Pontosphaera plana",G [P33],A [A22],A,,C,A,C,R,,,,,,,,,,,F,,R,,,,F,,,,,,,,P,,,,,,,R,,,,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,4,H,6,W
363-U1482A-4H-CC-PAL-NANNO,0,5,30.64,30.69,NN19 [M71],TDJ - P. lacunosa present,G [P33],D [A22],V,,,V,A,F,P,,,,,,,,,,F,,A,,,,,,,,,,,,,,P,,,,,F,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,4,H,CC,P
363-U1482A-5H-2-W 75/75-NANNO,0,0,33.65,33.65,,"AGSF - Pontosphaera are quite common in the sample; Scyphosphaera porosa; Reworked taxa - Watznaueria; Thoracosphaera; For Gephyrocapsa sizes, it seems that 4 to 5 microns and <4 microns are almost equal in abundance; P lacunosa present",G [P33],A [A22],A,,C,A,C,P,,,,,,,,,,,F,,F,,,,F,R,,,,,,,F,P,,R,,,,R,P,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,5,H,2,W
363-U1482A-5H-4-W 75/75-NANNO,0,0,36.65,36.65,,"AGSF - Thoracosphaera few to common in the samples; small Gephyocapsa very abundant; Scyphosphaera sp. few to common (s. porosa); G ericsonii includes small Gephyrocapsa spp.; G. oceanica common size is 3-4 um (not so much in the 4 to 5 microns category; compared to previous sample, less G. oceanica medium to large size); Reworked taxa: Discoaster, Watzanaueria",G [P33],A [A22],A,,A,C,F,A,,P,,,,,,,,,R,,C,,,,C,,,,,,,,P,,,,,,,P,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,5,H,4,W
363-U1482A-5H-6-W 75/75-NANNO,0,0,39.65,39.65,,AGSF - pontosphaera plana; reworked taxa: discoasters; Thoracosphaera few to common; Scyphosphaera porosa; Most Gephyrocapsa spp are < 4um although there are some that exceed 4 um in length;,G [P33],A [A22],A,,C,A,C,A,,,,,,,,,,,R,,F,,,,F,,,,,,,,R,,P,P,,,,R,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,5,H,6,W
363-U1482A-5H-CC-PAL-NANNO,0,5,40.97,41.02,NN19 [M71],TDJ - reworked discoaster spp.; possibly reworked R. pseudoumbilicus,G [P33],D [A22],V,,,A,,C,F,,,,,,,,,,F,,C,,,,F,,,,,,,,,P,,,,,,F,,,,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,363,U1482,A,5,H,CC,P
363-U1482A-6H-2-W 75/75-NANNO,0,0,43.15,43.15,,"AGSF - small Gephyrocapsa abundant; compared to previous samples, Gephyrocapsa 4 to 5 and <4 are almost non-existent; only small Gephyrocapsa spp are present",G [P33],A [A22],A,,A,P,C,A,,,,,,,,,,,F,,R,,,P,F,,,,,,,,p,,P,,,,,R,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,6,H,2,W
363-U1482A-6H-4-W 75/75-NANNO,0,0,46.15,46.15,,AGSF - small Gephyrocapsa acme (marked in the table as G. ericsonii); pontosphaera plana;,G [P33],D [A22],A,,V,,C,A,,R,,,,,,,,,R,,R,,,,F,P,,,,,,,,P,,,,,,P,P,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,6,H,4,W
363-U1482A-6H-6-W 75/75-NANNO,0,0,49.15,49.15,,AGSF - small Gephyrocapsa acme (marked in the table as G. ericsonii); Thoracosphaera; pontosphaera plana; ** absent medium to large Gephyrocapsa; Reworked taxa: Sphenolithus,G [P33],D [A22],A,,V,,C,A,,R,,,,,,,,,F,,F,,,R,F,,,,,,,,,,R,,,,,F,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,6,H,6,W
363-U1482A-6H-CC-PAL-NANNO,0,5,50.79,50.84,NN19 [M71],TDJ - small Gephyrocapsa interval; U. foliosa present,G [P33],D [A22],A,,,A,,C,C,,,,,,,,,,F,,F,,,,F,,,,,,,,,,,,,,,C,,,R,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,6,H,CC,P
363-U1482A-7H-2-W 75/75-NANNO,0,0,52.65,52.65,,"AGSF - the large Gephyrocapsa spp is back (maximum size measured is ~6 microns); Thoracosphaera common; NOTE: small Gephyrocapsa did not disappear. Reworked taxa - D. pentaradiatus, Sphenolithus. Uniplanarius; Ceratolithus fragments, most probably C cristatus; Gephyrocapsa >5 um common as well as Gephyrocapsa <4 um; Ceratolithus cristatus",G [P33],A [A22],A,,A,C,C,C,,,,,,,,,,,C,,C,,,R,C,P,,,,,,,,,R,P,P,,,C,,,P,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,7,H,2,W
363-U1482A-7H-4-W 75/75-NANNO,0,0,55.65,55.65,,"AGSF - Gephyrocapsa > 5 um- few to common, <4 microns also few to common; Reworked taxa: Discoasters; small Gephyrocapsa included in G ericsonii; Thoracosphaera sp.; P. ovata included in P lacunosa; Helicosphaera princei",G [P33],A [A22],A,,A,C,C,C,,,,,,,,,,,F,,C,,,,C,,,,,,,,P,,P,R,F,,,C,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,7,H,4,W
363-U1482A-7H-6-W 75/75-NANNO,0,0,58.65,58.65,,AGSF - Gephyrocapsa >5 um few to common in abundance; P lacunosa includes P ovata; ; small Gephyrocapsa common to abundant; Gephyrocapsa 3-4 um few to common as well.,G [P33],A [A22],A,,C,C,C,C,,,,,,,,,,,F,,C,,,,C,,,,,R,,,P,P,P,P,,,,C,R,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,7,H,6,W
363-U1482A-7H-CC-PAL-NANNO,0,5,60.16,60.21,NN19 [M71],TDJ - small Gephyrocapsa dominant,G [P33],D [A22],A,,,A,,C,F,,,,,,,,,,F,,F,,,,C,,,,,,,,,,,,,,,F,P,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,7,H,CC,P
363-U1482A-8H-2-W 75/75-NANNO,0,0,62.15,62.15,,"AGSF - reworked forms- Discoaster pentaradiatus, Sphenolithus, Watznaueria; Thoracosphaera; Scyphosphaera spp.; small Gephyrocapsa sp (<3) included in G ericsonii tally; Gephyrocapsa < 4 - few to common; Scyphosphaera porosa; TDJ - reworked? very rare C. macintyrei",G [P33],A [A22],A,,A,C,,C,,,,,,,,,,,C,,F,,,,C,,,,,R,,,,,R,R,,,,R,P,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,8,H,2,W
363-U1482A-8H-4-W 75/75-NANNO,0,0,65.15,65.15,,"AGSF - reworked taxa: Discoaster and Sphenolithus spp., Reticulofenestra pseudoumbilicus; Sample doesn't contain Gephyrocapsa > 4um; Gephyrocapsa <3 um included in G ericsonii",G [P33],A [A22],A,,C,R,,C,,,,,,,,,,,F,R,C,,,,C,,,,,P,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,8,H,4,W
363-U1482A-8H-6-W 75/75-NANNO,0,0,68.17,68.17,,AGSF - Gephyrocapsa >4 um absent; few C. macintyrei but also frequent C. pelagicus,,,,,A,,,C,,,,,,,,,F,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,8,H,6,W
363-U1482A-8H-CC-PAL-NANNO,0,5,69.74,69.79,NN19 [M71],TDJ - C. macintyrei present; small Gephyrocapsa 'oceanica' dominate gephyrocapsa; C. pelagicus present,G [P33],D [A22],A,,,A,,C,F,R,,,,,,,R,,F,P,F,,,,F,,,,,,,,,F,,,,,,F,P,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,8,H,CC,P
363-U1482A-9H-2-W 75/75-NANNO,0,0,71.65,71.65,,AGSF - Gephyrocapsa >4 um absent; D. brouweri most probably reworked,,,,,A,,,C,,,,,,,,,F,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,2,W
