Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data,Zone name
320-U1335B-1H-CC-PAL-RADS,320,U1335,B,1,1-CC,H,CC,PAL,RADS,0,0,3.43,3.43,RN13,A,G,3,R,,R,R,vR?,,,R,,,,,R,,,,,,,R,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,
320-U1335B-2H-CC-PAL-RADS,320,U1335,B,2,2-CC,H,CC,PAL,RADS,0,0,13.02,13.02,RN12b,A,M,3,R,,R,,,,,,,R,R,,vR,R,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,
320-U1335B-3H-CC-PAL-RADS,320,U1335,B,3,3-CC,H,CC,PAL,RADS,0,0,22.66,22.66,RN9,A,G,2,R,,,,,,,,,R,R,R,,F,,,R,R,,,R,,,,,,vR,,R,R,,,,,,,,,,,,,,,,,,,,
320-U1335B-4H-CC-PAL-RADS,320,U1335,B,4,4-CC,H,CC,PAL,RADS,0,0,31.93,31.93,RN9,A,G,2,,,,,,,,,,,R,R,,F,,R,R,R,R,,R,,,R,R,vR,,,R,vR,vR,,vR,vR,,,,,,,,,,,,,,,,
320-U1335B-5H-CC-PAL-RADS,320,U1335,B,5,5-CC,H,CC,PAL,RADS,0,0,41.86,41.86,RN8,A,G,,R,,,,,,,,,,,,,,,,R,,R,,R,,,R,R,,R,F,,F,vR,,vR,,,,,,,,,,,,,,,,,
320-U1335B-6H-CC-PAL-RADS,320,U1335,B,6,6-CC,H,CC,PAL,RADS,0,0,51.05,51.05,RN7,A,G,,,,,,,,,,,,,,,,,,R,,R,,R,,,,R,R,R,R,,F,,,,F,R,R,,,,,,,,,,,,,,
320-U1335B-7H-CC-PAL-RADS,320,U1335,B,7,7-CC,H,CC,PAL,RADS,0,0,60.92,60.92,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,F,,,,R,F,R,F,R,,,R,,R,,,vR,,A. OCTOPYLUS,,
320-U1335B-8H-CC-PAL-RADS,320,U1335,B,8,8-CC,H,CC,PAL,RADS,0,0,70.03,70.03,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,F,R,,,R,R,vR,,,,,,,
320-U1335B-9H-CC-PAL-RADS,320,U1335,B,9,9-CC,H,CC,PAL,RADS,0,0,79.94,79.94,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,F,R,R,R,,,R,R,vR,R,,,vR,COMMON DIATOMS,,
320-U1335B-10H-CC-PAL-RADS,320,U1335,B,10,10-CC,H,CC,PAL,RADS,0,0,89.04,89.04,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,,R,,,R,R,,R,,R,R,COMMON DIATOMS,,
320-U1335B-11H-CC-PAL-RADS,320,U1335,B,11,11-CC,H,CC,PAL,RADS,0,0,98.97,98.97,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,,,,,R,,F,,R,R,COMMON DIATOMS,,
320-U1335B-12H-CC-PAL-RADS,320,U1335,B,12,12-CC,H,CC,PAL,RADS,0,0,108.08,108.08,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,R,,,,R,vR,F,R,R,R,C. bramlettei   ,,
