Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
363-U1487A-1H-1-W 60/60-NANNO,0,0,0.6,0.6,,AGSF - E huxleyi present in sample; G. caribbeanica not as common as the lower sample (1H-5),,,,C [A04],F [A30],C [A04],C [A04],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,1,W,60/60-NANNO,
363-U1487A-1H-3-W 60/60-NANNO,0,0,3.6,3.6,,AGSF - E huxleyi present in sample; G. caribbeanica not as common as the lower sample (1H-5),,,,R [A30],A [A23],C [A04],C [A04],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,3,W,60/60-NANNO,
363-U1487A-1H-5-W 60/60-NANNO,0,0,6.11,6.11,,AGSF - check for E huxleyi in SEM,,,,P [A30],A [A23],A [A23],C [A04],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,5,W,60/60-NANNO,
363-U1487A-1H-CC-PAL-NANNO,0,5,6.35,6.4,NN21 [M71],LB low abundance of Fp,VG [P33],D [A22],C [A04],F [A30],A [A23],A [A23],P [A30],x [A115],x [A115],,,,,,,,,,,,,,,C [A04],C [A04],,,,,,,,,,,,,,,R [A30],,,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,CC,PAL,NANNO,
363-U1487A-2H-2-W 61/61-NANNO,0,0,8.51,8.51,,TDJ - checked - E. hux not present in SEM,,,,x [A115],A [A23],C [A04],A [A23],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,2,H,2,W,61/61-NANNO,
363-U1487A-2H-4-W 61/61-NANNO,0,0,11.51,11.51,,AGSF - with lacunosa,,,,,C [A04],C [A04],C [A04],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,2,H,4,W,61/61-NANNO,
363-U1487A-2H-6-W 61/61-NANNO,0,0,14.51,14.51,,AGSF - G. parallela present (2 specimens); well preserved P. lacunosa,G [P33],C [A22],,,C [A04],C [A04],C [A04],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,2,H,6,W,61/61-NANNO,
363-U1487A-2H-CC-PAL-NANNO,0,5,15.85,15.9,NN19 [M71],LB Placunosa,VG [P33],D [A22],V [A94],x [A115],C [A04],A [A23],F [A30],F [A30],F [A30],,,,,,,,,,F [A30],,C [A04],,,,F [A30],F [A30],P [A30],,,,,,,,F [A30],P [A30],,,,,,,,F [A30],,P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,2,H,CC,PAL,NANNO,
363-U1487A-3H-CC-PAL-NANNO,0,5,25.79,25.84,NN19 [M71],LB,VG [P33],A [A22],A [A23],,V [A94],C [A04],C [A04],A [A23],A [A23],,,,,,,,,,C [A04],,C [A04],,,,C [A04],F [A30],,,,,,,,,F [A30],F [A30],,,,F [A30],F [A30],,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,3,H,CC,PAL,NANNO,
363-U1487A-4H-2-W 42/42-NANNO,0,0,27.32,27.32,,AGSF - small Gephyrocapsa very abundant but not as abundant as the lower sample (5H-4); medium sized Gephyrocapsa almost absent; some of the small Gephyrocapsa can be considered as G caribbeanica,,,,,V [A94],x [A115],x [A115],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,4,H,2,W,42/42-NANNO,
363-U1487A-4H-4-W 40/40-NANNO,0,0,30.3,30.3,,AGSF - very abundant small Gephrocapsa; possible R asanoi presence (with picture); medium-sized Gephyrocapsa absent,,,,,V [A94],x [A115],x [A115],C [A04],C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,4,H,4,W,40/40-NANNO,
363-U1487A-4H-6-W 40/40-NANNO,0,0,33.3,33.3,,AGSF - very abundant small Gephyrocapsa sp.; 4-5 um Gephyrocapsa present; R. asanoi possible presence; G. caribbeanica common but not as common as G oceanica; some gephyrocapsa slightly >5 um,,,,,V [A94],C [A04],C [A04],C [A04],C [A04],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,4,H,6,W,40/40-NANNO,
363-U1487A-4H-CC-PAL-NANNO,0,5,34.63,34.68,NN19 [M71],LB,VG [P33],A [A22],A [A23],,A [A23],A [A23],C [A04],A [A23],C [A04],,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,4,H,CC,PAL,NANNO,
363-U1487A-4H-CC-PAL-NANNO,0,5,34.63,34.68,,"AGSF - 4-5 um identified as G oceanica, some specimens a little over than 5 um; 3-4 um Gephyrocapsa common; small Gephyrocapsa very abumndant to abundant: NOTE: Gephyrocapsa >5.5 um present - 4",,,,,A [A23],C [A04],C [A04],F [A30],F [A30],,,,,,,,,,,x [A115],,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,4,H,CC,PAL,NANNO,
363-U1487A-5H-2-W 50/50-NANNO,0,0,36.9,36.9,,"AGSF - Gephyrocapsa 4-5 um common (mostly identified as G oceanica, some specimens are a little over 5 um",,,,,A [A23],C [A04],C [A04],C [A04],C [A04],,,,,,,,,,,x [A115],,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,5,H,2,W,50/50-NANNO,
363-U1487A-5H-4-W 50/50-NANNO,0,0,39.9,39.9,,AGSF - small placolith(?) without bridge dominate the assemblage; Gephyrocapsa 3-4 and 4-5 microns present in the sample,,,,,C [A04],C [A04],C [A04],C [A04],C [A04],,,,,,,,,,,x [A115],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,5,H,4,W,50/50-NANNO,
363-U1487A-5H-6-W 50/50-NANNO,0,0,42.9,42.9,,"AGSF - G. caribbeanica more abundant than the lower slide (5H-CC); Gephyrocapsa 4-5 um started to appear, 3-4 um still common. the 4-5 um are identified mostly as G. oceanica; decline in P. lacunosa abundance",,,,,A [A23],C [A04],A [A23],F [A30],F [A30],,,,,,,,,,,x [A115],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,5,H,6,W,50/50-NANNO,
