Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,
320-U1332A-5H-2,320,U1332,A,5,5-2,H,2,,,110,112,35,35.02,RP21,C,P,2,,,R,R,R,,,,R,R,,,,,R,R,vR,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,C. PARVA,,
320-U1332A-5H-4,320,U1332,A,5,5-4,H,4,,,105,106,37.95,37.96,RP21,C,P,2,,,,R,R,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-5H-CC-PAL-RADS,320,U1332,A,5,5-CC,H,CC,PAL,RADS,0,0,42.47,42.47,RP20,C,M,1,,R,R,R,R,R,,R,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-6H-2,320,U1332,A,6,6-2,H,2,,,105,107,44.45,44.47,RP20,C,M,,R,R,vR,R,vR,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-6H-4,320,U1332,A,6,6-4,H,4,,,105,107,47.45,47.47,RP20,C,M,,R,R,,R,,R,,R,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-6H-CC-PAL-RADS,320,U1332,A,6,6-CC,H,CC,PAL,RADS,0,0,51.97,51.97,RP20,C,M,1,R,R,,,,R,,R,R,R,,,R,R, R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-7H-3,320,U1332,A,7,7-3,H,3,,,100,102,55.4,55.42,RP20,C,M,1,R,R,,,,R,R,,,,C,R,R,R,,,,,,,,,,,vR,,vR,,,vR,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1332A-7H-5,320,U1332,A,7,7-5,H,5,,,100,102,58.4,58.42,RP20,C,M,1,R,R,,,,R,R,R,,,C,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,vR,R,,,,,
320-U1332A-7H-CC-PAL-RADS,320,U1332,A,7,7-CC,H,CC,PAL,RADS,0,0,61.49,61.49,RP20,A,G,2,R,R,,,,R,R,,,,C,R,,R,,,,,,,,,,,,R,R,,,,,,,,,R,,R,R,,vR,R,vR,,,R,,R,,,,,,R,,,,,
320-U1332A-8H-2,320,U1332,A,8,8-2,H,2,,,105,107,63.45,63.47,RP20,A,G,1,R,R,,,,R,R,,,,C,R,,R,,,,R,R,,,,,,,R,vR,,,,,,,,,,,,,,vR,R,,,,,,,,,,,vR,R,,,ABUND DIATOMS,,
320-U1332A-8H-4,320,U1332,A,8,8-4,H,4,,,105,107,66.45,66.47,RP20,A,G,2,R,R,,,,R,R,,,,C,R,,R,,,,R,R,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,COMMON DIATOMS,,
320-U1332A-8H-CC-PAL-RADS,320,U1332,A,8,8-CC,H,CC,PAL,RADS,0,0,71,71,RP20,A,M,3,R,R,,,,,R,R,,,F,,,,,,,R,R,,,R,R,R,R,R,R,,,R,,vR,,,,,vR,R,,,vR,R,,,,,,,,,,,,R,,,STRATIG BELOW CORE 9H-3???/ COMMON DIATOMS,,
320-U1332A-9H-1,320,U1332,A,9,9-1,H,1,,,92,98,71.32,71.38,RP20,A,G,1,R,R,,,,R,R,,,,F,R,,R,,,,R,R,,,R,,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,R,,,COMMON DIATOMS,,
320-U1332A-9H-3,320,U1332,A,9,9-3,H,3,,,92,98,74.32,74.38,RP20,A,G,1,R,R,,,,,R,,,,R,,,,,,,,,,,R,,,,R,,,,,,,,,,,R,,,,,R,,R,,,,,,,,,,R,,,,,
320-U1332A-9H-5,320,U1332,A,9,9-5,H,5,,,92,98,77.32,77.38,RP19,A,G,3,,R,,,,,,,,,,,,,,,,,,,,R,R,R,vR,,R,R,R,C,R,,R,R,,R,R,,R,,vR,R,vR,R,,,,,,,,,R,R,,,,,
320-U1332A-9H-CC-PAL-RADS,320,U1332,A,9,9-CC,H,CC,PAL,RADS,0,0,80.47,80.47,RP19,A,M,3,,R,,,,,,,,,,,,,,,,,,,,R,R,R,vR,,R,R,R,F,R,R,R,R,R,,R,R,,R,R,R,vR,R,,,R,,,,,,,,,,,,
320-U1332A-10H-2,320,U1332,A,10,10-2,H,2,,,94,96,82.34,82.36,RP18,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,R,F,R,R,R,R,R,,R,R,R,,R,,F,R,F,R,R,F,,,,,,,,,,,
320-U1332A-10H-4,320,U1332,A,10,10-4,H,4,,,94,96,85.34,85.36,RP18,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,R,F,R,R,R,,R,,R,R,R,,F,,F,R,R,R,R,R,,,,,R,,,,,,
320-U1332A-10H-CC-PAL-RADS,320,U1332,A,10,10-CC,H,CC,PAL,RADS,0,0,89.89,89.89,RP18,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,vR,,R,R,R,F,R,R,R,,,,R,R,R,R,R,,R,R,,R,R,C,,,,R,R,,R,R,L. BELLUM,,
320-U1332A-11H-2,320,U1332,A,11,11-2,H,2,,,105,107,91.95,91.97,RP17,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,vR,,R,R,R,R,R,R,R,,,,R,R,R,,R,,R,R,,R,R,R,,,,R,R,,R,R,,,
320-U1332A-11H-4,320,U1332,A,11,11-4,H,4,,,105,107,94.95,94.97,RP17,A,G,2,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,R,R,R,R,,,,,R,R,,R,,,R,,R,R,R,,,,R,R,,R,R,"P. PAPALIS, C. HISPIDA, R ORNATUM, S. PCHYSTYLUS",,
320-U1332A-11H-CC-PAL-RADS,320,U1332,A,11,11-CC,H,CC,PAL,RADS,0,0,98.52,98.52,RP16,A,G,2,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,R,,,R,,,,,R,,,R,,R,R,,R,R,,,,,,R,,,,COMM P GOETHIANA,,
