Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1332B-5H-CC-PAL-RADS,320,U1332,B,5,5-CC,H,CC,PAL,RADS,0,0,37.63,37.63,RP21,A,G,2,-,-,vR,R,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,
320-U1332B-6H-CC-PAL-RADS,320,U1332,B,6,6-CC,H,CC,PAL,RADS,0,0,48.5,48.5,RP21,,,,,R,,,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,
320-U1332B-7H-CC-PAL-RADS,320,U1332,B,7,7-CC,H,CC,PAL,RADS,0,0,58.07,58.07,RP20,A,M,1,R,R,,,,R,R,,,,C,R,R,R,,,,,,,,,,vR,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1332B-8H-CC-PAL-RADS,320,U1332,B,8,8-CC,H,CC,PAL,RADS,0,0,67.27,67.27,RP20,A,G,2,R,R,,,,R,R,,,,C,R,,R,,,,R,R,,,R,,,,R,,,,,,,,,,,R,,,,,R,,,,,vR,,,,,,,F,,,,
320-U1332B-9H-5,320,U1332,B,9,9-5,H,5,,,15,23,73.25,73.33,RP20,C,G,I,,R,,,,,R,R,,,F,,,,,,,,,,,R,,,,R,R,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,,
320-U1332B-9H-5,320,U1332,B,9,9-5,H,5,,,45,53,73.55,73.63,RP20,C,G,1,,R,,,,,R,,,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,C. PARVA,
320-U1332B-9H-5,320,U1332,B,9,9-5,H,5,,,75,83,73.85,73.93,RP20,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,,
320-U1332B-9H-5,320,U1332,B,9,9-5,H,5,,,112,120,74.22,74.3,RP19,A,M,3,,R,,,,,,,,,,,,,,,,,,,,R,,vR,,,R,R,R,R,R,R,R,R,,R,,,R,,vR,R,vR,,,,,,,,,,,,,,,
320-U1332B-9H-5,320,U1332,B,9,9-5,H,5,,,135,143,74.45,74.53,RP19,A,M,3,,R,,,,,,,,,,,,,,,,,,,,R,,vR,,,R,R,R,R,R,R,R,R,,R,vR,,,,vR,R,vR,R,-,-,-,,,,,,,,,R,,
320-U1332B-9H-6,320,U1332,B,9,9-6,H,6,,,15,23,74.75,74.83,RP19,A,M,3,,R,,,,,,,,,,,,,,,,,,,,R,,vR,vR,,R,R,R,R,R,R,R,R,,,,,,,vR,R,vR,,,,,,,,,,,,,,,
320-U1332B-9H-CC-PAL-RADS,320,U1332,B,9,9-CC,H,CC,PAL,RADS,0,0,77.09,77.09,RP19,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,R,F,,C,R,vR,,R,R,R,R,vR,R,R,,,,R,,,,,,,,,R,,,,,
320-U1332B-10H-CC-PAL-RADS,320,U1332,B,10,10-CC,H,CC,PAL,RADS,0,0,86.66,86.66,RP18,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,,R,R,R,,,,,R,R,R,,F,,R,R,R,,R,F,,,,R,R,,,,L. BELLUM,
320-U1332B-11H-CC-PAL-RADS,320,U1332,B,11,11-CC,H,CC,PAL,RADS,0,0,93.84,93.84,RP16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
