Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486B-1H-CC,0,23,5.76,5.99,E [P46],,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,9,4,,1,,,,4,,,5,1,,,,3,,,,,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,2,,,9,,9,,12,,,,,,,,,363,U1486,B,1,H,CC,
363-U1486B-2H-CC,0,28,15.78,16.06,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,,,2,,,3,,,,1,,,,,,,,,,1,3,,4,,,,,,,,,,,363,U1486,B,2,H,CC,
363-U1486B-3H-CC,0,21,25.21,25.42,E [P46],,1,,,,,,,,1,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,1,,1,,,,,,,,2,,,3,,1,,4,,,1,,,,,,363,U1486,B,3,H,CC,
363-U1486B-4H-CC,0,36,34.74,35.1,E [P46],,1,1,,,,,,,,,,,,2,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,,,,8,,,1,,,,,,363,U1486,B,4,H,CC,
363-U1486B-5H-CC,0,22,44.23,44.45,E [P46],,1,1,,,,,,,3,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,4,,,,,,1,,,,4,,,,,1,3,,,,,1,,5,,5,,,,,,,,,363,U1486,B,5,H,CC,
363-U1486B-6H-CC,0,24,53.69,53.93,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,5,,,,,2,,,,,,,1,,,,,2,,,,,5,,,1,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,2,,,,,,,,,,2,,1,,,3,3,,,,,22,,1,,3,,,,,,,,,363,U1486,B,6,H,CC,
363-U1486B-7H-CC,0,56,62.3,62.86,E [P46],,1,,,,,,,,1,,,,,4,,,2,,,,,,2,,,,7,,,,,2,,,,,,2,,,,,6,1,,4,,,6,,2,,1,,,,1,,,,,,,2,,,,,3,,,3,,,,,,,,8,,,,,,,,,,,,2,,,,,,,,,8,,4,,2,,,,,,,,,363,U1486,B,7,H,CC,
363-U1486B-8H-CC,0,24,72.55,72.79,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,6,,,1,,,,,1,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,3,,3,,3,,,,,,,,,363,U1486,B,8,H,CC,
363-U1486B-9H-CC,0,31,82.21,82.52,E [P46],,1,,,,,,,,2,,,,,1,,,,,,,2,,,,,,4,,,,,1,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,1,,4,,,,,2,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,1,,11,,4,,,,,,,,,363,U1486,B,9,H,CC,
363-U1486B-10H-CC,0,27,91.63,91.9,E [P46],,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,7,,,,,,,,,,,1,,,,4,3,,,,,,3,,,,,,,,2,,,,,,,2,,,,,1,,,4,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,7,,7,,5,,,,,,,,,363,U1486,B,10,H,CC,
