Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1461B-4H-CC-PAL-NANNO,0,10,33.07,33.17,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,,,,,,,,,,,,,P [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,abundant aragonite needles,,,
356-U1461B-5H-CC-PAL-NANNO,0,10,39.84,39.94,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,R [A30],R [A30],,,,,,,,,R [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,micrite,,,
356-U1461B-14H-CC-PAL-NANNO,0,12,117.24,117.36,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],F [A30],,,R [A30],R,,,,,,,,,R [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,micrite and aragonite needles,,,
356-U1461B-29F-CC-PAL-NANNO,0,10,239.94,240.04,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,C [A04],,C [A04],,,,,,,,,F [A30],,R [A30],,,,F [A30],R [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,
356-U1461B-30F-CC-PAL-NANNO,0,13,244.79,244.92,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,,R [A30],F [A30],,,,,,,,,F [A30],F [A30],,,,,F [A30],F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,
356-U1461B-31F-CC-PAL-NANNO,0,10,249.35,249.45,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,,F [A30],R [A30],,,,,,,,,C [A04],R [A30],F [A30],,,,A [A23],C [A04],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-34F-CC-PAL-NANNO,0,10,263.61,263.71,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],C [A04],,F [A30],F [A30],R [A30],,,,,,,,,F [A30],R [A30],F [A30],,,,R [A30],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1461B-38F-CC-PAL-NANNO,0,10,282.41,282.51,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],P [A30],,,,,,,,,,,,,P [A30],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-40X-CC-PAL-NANNO,0,10,291.86,291.96,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,
356-U1461B-43F-CC-PAL-NANNO,0,10,304.82,304.92,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],F [A30],,,C [A04],,,,,,,,,,F [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
