Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tricolocapsa papillosa,Spongaster tetras,Spirocyrtis sp. cf. S. subscalaris,Siphocampe lineata,Siphocampe arachnea,Porodiscus spp.,Phormostichoartus corbula,Lophospyris pentagona hyperborea,Lamprocyrtis nigriniae,Heliodiscus asteriscus,Euchitonia elegans,Didymocyrtis tetrathalamus tetrathalamus,Cornutella profunda,Carpocanistrum cephalum,Botryocyrtis scutum,Acanthodesmia viniculata,Tholospyris sp. ex gr.,Tetrapyle octacantha,Stylosphaera sp. ex. gr.,Pterocanium trilobum,Liriospyris reticulata,Lamprocyclas maritalis polypora,Dictyophimus infabricatus,Collosphaera macropora,Collosphaera huxleyi,Anthocyrtidium ophirense,Acrosphaera spinosa,Disolenia zanqyebarica,Theocorythium trachelium trachelium,Theocorys veneris,Theocalyptra sp.,Siphonosphaera polysiphonia,Pterocorys sabae,Pterocorys clausus,Pterocanium praetextum praetextum,Otosphaera polymorpha,Lophophaena sp.,Lamprocyrtis hannai,Eucyrtidium acuminatum,Eucecryphalus sestrodiscus,Dictyocoryne truncatum,Dictyocoryne profunda,Collosphaera tuberosa,Clathrocanium diadema,Buccinosphaera invaginata,Pterocorys macroceras,Pterocorys hertwigii,Peromelissa phalacra,Peripyramis circumtexta,Lophospyris pentagona pentagona,Lithopera bacca,Hexacontium axotrias,Eucyrtidium hexagonatum,Artostrobus annulatus,Anthocyrtidium zanguebaricum,Amphirhopalum ypsilon,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 1,  88.00,      0.8800,Takahashi,Radiolarians                                 ,               ,                  ,C                     ,C                ,C                                 ,C                 ,C                  ,A              ,C                        ,C                               ,C                     ,C                     ,A                 ,A                                       ,A                  ,C                      ,A                  ,A                       ,A                     ,A                   ,C                       ,C                   ,C                     ,C                              ,R                        ,C                     ,                    ,C                       ,C                  ,C                     ,C                                  ,C                ,                ,C                          ,A               ,                  ,A                                ,                     ,A              ,                   ,C                     ,R                         ,A                     ,C                    ,C                    ,                     ,R                        ,R                    ,C                   ,A                   ,C                      ,C                              ,C              ,C                   ,C                      ,R                    ,C                           ,C                    ,from ODP Leg 116 SR Chapter 17 Table 2 p 211-212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 2,  50.00,      2.0000,Takahashi,Radiolarians                                 ,               ,                  ,                      ,                 ,C                                 ,                  ,                   ,               ,                         ,                                ,                      ,                      ,                  ,                                        ,                   ,                       ,                   ,C                       ,C                     ,C                   ,                        ,                    ,                      ,                               ,                         ,                      ,                    ,                        ,                   ,                      ,                                   ,                 ,                ,                           ,C               ,                  ,C                                ,C                    ,               ,                   ,                      ,                          ,                      ,                     ,C                    ,                     ,                         ,                     ,                    ,                    ,                       ,                               ,               ,                    ,                       ,                     ,                            ,                     ,from ODP Leg 116 SR Chapter 17 Table 2 p 211-212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 3,   0.00,      3.0000,Takahashi,Radiolarians                                 ,               ,                  ,A                     ,A                ,A                                 ,A                 ,C                  ,               ,A                        ,                                ,                      ,A                     ,A                 ,A                                       ,A                  ,A                      ,A                  ,A                       ,A                     ,A                   ,                        ,C                   ,C                     ,A                              ,                         ,                      ,A                   ,A                       ,A                  ,C                     ,A                                  ,A                ,A               ,A                          ,A               ,R                 ,A                                ,A                    ,A              ,C                  ,A                     ,A                         ,C                     ,C                    ,A                    ,A                    ,C                        ,                     ,                    ,                    ,                       ,                               ,               ,                    ,                       ,                     ,                            ,                     ,from ODP Leg 116 SR Chapter 17 Table 2 p 211-212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 3,  51.00,      3.5100,Takahashi,Radiolarians                                 ,               ,                  ,                      ,                 ,                                  ,                  ,                   ,               ,                         ,                                ,                      ,                      ,                  ,                                        ,                   ,                       ,                   ,R                       ,R                     ,R                   ,                        ,                    ,                      ,                               ,                         ,                      ,                    ,                        ,                   ,R                     ,                                   ,                 ,                ,                           ,                ,                  ,                                 ,                     ,               ,                   ,                      ,                          ,                      ,                     ,                     ,                     ,                         ,                     ,                    ,                    ,                       ,                               ,               ,                    ,                       ,                     ,                            ,                     ,from ODP Leg 116 SR Chapter 17 Table 2 p 211-212
