Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Neogloboquadrina pachyderma	Globoturborotalita woodi	Globoturborotalita rubescens	Globigerinoides obliquus	Menardella miocenica	Globigerina falconensis	Globigerina bulloides	Sphaeroidinella dehiscens	Globigerinoides extremus	Globoconella inflata	Menardella menardii (sinistral)	Menardella exilis	Globigerinoides fistulosus	Hirsutella hirsuta	Truncorotalia crassaformis hessi	Globorotalia tumida	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida flexuosa	Globigerina bermudezi	Menardella menardii (dextral)	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  5	H	CC	  19.00	     40.5200	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	F                 	                                	R                  	R                                    	R                           	                                     	                            	                     	                             	sponge spicules

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  6	H	CC	  17.00	     49.9800	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	                        	R                           	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	R                 	                                	R                  	                                     	R                           	                                     	R                           	                     	                             	pyritized burrows

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  7	H	 5	  68.00	     56.3800	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	R                 	                                	F                  	F                                    	                            	                                     	R                           	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  7	H	 6	  68.00	     57.8800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	+                 	                                	+                  	+                                    	+                           	                                     	                            	                     	                             	many large fragments no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  7	H	 7	  50.00	     59.2000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	                        	F                           	                        	                    	F                      	                     	R                        	                        	R                   	                               	                 	                          	R                 	                                	R                  	R                                    	R                           	R                                    	R                           	                     	                             	glauconite

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  7	H	CC	  34.00	     59.6900	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                           	                        	                            	r                       	                    	                       	                     	R                        	                        	R                   	                               	r                	                          	R                 	                                	F                  	F                                    	R                           	                                     	F                           	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  8	H	 4	  70.00	     64.4000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                          	                        	+                           	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  8	H	CC	  25.00	     68.6500	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                           	                        	R                           	                        	                    	R                      	                     	                         	                        	                    	                               	                 	                          	A                 	                                	                   	R                                    	                            	F                                    	                            	                     	                             	-sorted sediment; small forams are missing-no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	  9	H	CC	  40.00	     78.3400	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                         	F                          	                        	                            	                        	                    	R                      	                     	                         	                        	R                   	                               	                 	                          	                  	R                               	R                  	F                                    	R                           	R                                    	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 10	H	CC	  57.00	     88.0700	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                           	                        	R                           	                        	                    	R                      	R                    	                         	                        	                    	1                              	                 	                          	                  	R                               	F                  	R                                    	                            	                                     	R                           	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 11	H	 6	  69.00	     95.8900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	1                 	                                	                   	                                     	                            	                                     	                            	                     	                             	no forams except 1 hirsuta

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 11	H	CC	  28.00	     97.5600	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	F                        	                        	                    	A                              	                 	                          	                  	R                               	F                  	                                     	R                           	F                                    	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 12	H	 1	  70.00	     97.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	R                   	                               	                 	                          	                  	                                	                   	                                     	R                           	                                     	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 12	H	 3	  70.00	    100.9000	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	F                   	R                              	                 	                          	R                 	                                	R                  	F                                    	                            	                                     	                            	                     	R                            	ostracodes

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 12	H	 4	  70.00	    102.4000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	1                                    	                            	                     	                             	dissolved sample

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 12	H	CC	  17.00	    106.6400	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	A                   	                               	                 	                          	                  	                                	R                  	                                     	                            	                                     	                            	                     	                             	sample dissolved mica 1 ostracode

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 13	H	CC	   0.00	    115.6600	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	                           	                        	                            	                        	                    	                       	                     	A                        	                        	R                   	                               	                 	                          	R                 	-                               	                   	                                     	A                           	                                     	                            	                     	                             	ostracodes not hessi

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 14	H	 3	  70.00	    119.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	                  	                                	                   	                                     	+                           	                                     	                            	                     	                             	no obliquus

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 14	H	 4	  70.00	    121.4000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	R                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	sample almost completly dissolved only inflata left

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 14	H	 5	  70.00	    122.9000	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	1                       	                    	+                      	+                    	                         	                        	                    	                               	                 	                          	                  	                                	                   	+                                    	+                           	                                     	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 14	H	CC	  14.00	    124.1600	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	                  	                                	                   	+                                    	+                           	                                     	                            	                     	                             	ostracodes

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 15	H	 1	  70.00	    126.4000	Chaisson 	Planktonic Foraminifers                      	A              	G                 	F                         	F                          	                        	                            	R                       	                    	                       	                     	F                        	                        	F                   	                               	                 	                          	                  	                                	                   	A                                    	                            	R                                    	                            	                     	                             	small forams

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 15	H	 6	  70.00	    133.9000	Chaisson 	Planktonic Foraminifers                      	A              	VG                	R                         	                           	                        	                            	                        	                    	R                      	                     	+                        	                        	F                   	+                              	                 	                          	                  	                                	F                  	R                                    	R                           	                                     	R                           	R                    	                             	       

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 15	H	 7	   6.00	    134.7600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                           	                        	                            	                        	                    	                       	                     	R                        	                        	R                   	R                              	                 	                          	                  	                                	                   	                                     	R                           	                                     	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 15	H	CC	   0.00	    135.1700	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	+                              	                 	                          	                  	                                	F                  	+                                    	                            	                                     	                            	                     	                             	ostracodes pyrite

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 16	H	CC	  35.00	    144.5500	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	+                 	                                	                   	                                     	+                           	R                                    	                            	                     	                             	       

  IR	                 	Pleistocene      	                  	N22           	172	1062	A	 17	H	 1	  70.00	    145.4000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	R                       	                    	                       	                     	A                        	                        	R                   	                               	                 	                          	                  	                                	R                  	R                                    	R                           	                                     	                            	                     	                             	       

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	 2	  70.00	    146.9000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	R                         	                           	                        	                            	                        	                    	                       	R                    	F                        	                        	F                   	                               	                 	                          	A                 	                                	                   	                                     	                            	                                     	                            	                     	                             	no trunc.

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	 3	  72.00	    148.4200	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                          	                        	                            	                        	                    	                       	                     	                         	                        	+                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	inflata is nearly the only thing left

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	 4	  70.00	    149.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	+                           	+                       	                    	                       	                     	+                        	                        	                    	                               	                 	                          	+                 	                                	+                  	                                     	                            	                                     	                            	                     	                             	glauconite no inflata

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	 5	  70.00	    151.4000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                          	R                       	R                           	R                       	                    	F                      	R                    	F                        	                        	+                   	                               	                 	                          	                  	R                               	                   	                                     	                            	                                     	                            	                     	                             	small five chamb. neogloboquadrinids

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	 6	  70.00	    152.9000	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	+                 	                                	                   	                                     	                            	                                     	                            	                     	                             	no inflata

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 17	H	CC	   0.00	    153.9100	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	+                       	                    	                       	                     	                         	                        	R1                  	                               	                 	                          	+                 	                                	                   	                                     	                            	                                     	                            	                     	                             	ostracodes no truncat. inflata rare

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 18	H	 1	  70.00	    154.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	pyrite around 10 forams no inflata

  IR	                 	                 	                  	              	172	1062	A	 18	H	 2	  70.00	    156.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                          	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	                 	                 	                  	              	172	1062	A	 18	H	 3	  70.00	    157.9000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	+                          	+                       	+                           	+                       	                    	+                      	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no Pulleniatina and no miocenica

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 18	H	 4	  67.00	    159.3700	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 18	H	 6	  61.00	    162.3100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	dissolved

  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	 18	H	CC	   0.00	    163.4000	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                           	                        	                            	                        	2                   	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	mica	

  IR	Late Pliocene    	Late Pliocene    	N20               	N21           	172	1062	A	 19	H	 1	  70.00	    164.4000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                           	                        	R                           	R                       	R                   	R                      	                     	                         	                        	R                   	+                              	R                	+                         	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 19	H	 2	  70.00	    165.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	                            	                        	+                   	                       	                     	                         	+                       	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 19	H	 3	  70.00	    167.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	                 	                 	                  	              	172	1062	A	 19	H	 4	  70.00	    168.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no marker spp

  IR	                 	                 	                  	              	172	1062	A	 19	H	 5	  70.00	    170.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	3                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	low inflata

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 19	H	CC	   0.00	    172.6600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	                        	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	pyrite filled burrows

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 20	H	 1	  70.00	    173.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	                            	+                       	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 20	H	 2	  70.00	    175.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	+                           	+                       	+                   	                       	                     	+                        	+                       	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 20	H	 3	  70.00	    176.9000	Chaisson 	Planktonic Foraminifers                      	               	                  	F                         	                           	                        	                            	R                       	R                   	F                      	R                    	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no altispira

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	 20	H	CC	  33.00	    180.6400	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	F                       	F                           	F                       	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	mica and pyrite burrows

