Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Schackoina spp.	Praeglobotruncana spp.	Marginotruncana tarfayaensis	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Marginotruncana coronata	Heterohelix globulosa	Hedbergella simplex	Hedbergella planispira	Hedbergella hoelzli	Falsotruncana maslakovae	Dicarinella imbricata	Dicarinella hagni	Heterohelix spp.	Hedbergella flandrini	Globotruncanita sp. cf. G. stuartiformis	Globotruncanita elevata	Globotruncana ventricosa	Globotruncana linneiana	Dicarinella asymetrica	Rugoglobigerina rugosa	Rugoglobigerina pilula	Globotruncana bulloides	Globigerinelloides asper	Contusotruncana fornicata	Globotruncana arca	Pseudotextularia nuttalli	Heterohelix rajagopalani	Globotruncana spp.	Globigerinelloides subcarinatus	Globigerinelloides messinae	Contusotruncana cf. patelliformis	Planoglobulina spp.	Planoglobulina carseyae	Globotruncanella havanensis	Globotruncana falsostuarti	Globotruncana cf. ventricosa	Planoglobulina multicamerata	Globotruncanella pschadae	Rugoglobigerina milamensis	Gublerina cuvillieri	Abathomphalus intermedius	Globotruncanita insignis	Racemiguembelina cf. fructicosa	Pseudotextularia elegans	Contusotruncana patelliformis	Abathomphalus cf. mayaroensis	Rugoglobigerina hexacamerata	Racemiguembelina fructicosa	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncana dupeublei	Abathomphalus mayaroensis	Rugoglobigerina rotundata	Rugoglobigerina pennyi	Globotruncanita angulata	Contusotruncana walfischensis	Contusotruncana contusa	Gublerina acuta	Globotruncanita cf. stuarti	Rugoglobigerina spp.	Paragloborotalia opima nana	Globoquadrina venezuelana	Globoquadrina tripartita	Globoquadrina galavisi/G. globularis	Globigerina woodi/G. apertura	Globigerina praebulloides	Globigerina angulisuturalis	Catapsydrax unicavus	Catapsydrax dissimilis	Paragloborotalia mayeri	Globigerinita glutinata	Globigerina ciperoensis	Globorotalia mendacis	Globoquadrina binaiensis	Globigerinoides primordius	Globigerina brazieri	Globorotalia kugleri	Globoquadrina baroemoenensis	Globigerinella praesiphonifera	Globigerina angustiumbilicata	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides parawoodi	Globigerina druryi/G. nepenthes	Sphaeroidinellopsis disjuncta	Globorotalia birnageae	Globoquadrina dehiscens	Globigerinoides subquadratus	Globigerinoides altiaperturus	Catapsydrax stainforthi	Globorotalia praescitula	Globigerinoides diminutus	Globigerinoides bulloideus	Catapsydrax parvulus	Globorotalia peripheroronda	Globigerinoides sicanus	Globigerinatella insueta	Praeorbulina glomerosa	Globorotalia archeomenardii	Globigerinoides obliquus	Orbulina spp.	Globorotalia peripheroacuta	Globorotalia praefohsi	Sphaeroidinellopsis seminulina	Globorotalia fohsi	Sphaeroidinellopsis kochi	Globorotalia menardii	Sphaeroidinella dehiscens	Pulleniatina primalis	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis/N. humerosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia plesiotumida	Globorotalia partimlabiata	Globorotalia margaritae	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides ruber (white)	Globigerinoides extremus	Globigerinoides conglobatus	Candeina nitida	Globorotalia conoidea	Globigerinoides fistulosus	Globigerina rubescens	Globigerinoides ruber (pink)	Globigerina calida	Comment

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  2	H	 2	  60.00	      6.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	                    	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 672

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  2	H	 3	  60.00	      7.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	                    	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 673

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  2	H	 4	  59.00	      9.2900	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	+                   	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 674

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  2	H	 5	  60.00	     10.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	+                   	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 675

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  2	H	 6	  60.00	     12.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	+                   	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 676

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  3	H	 1	  56.00	     14.2600	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	                    	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 677

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  3	H	 2	  60.00	     15.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	+                   	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 678

  SR	Pleistocene      	                 	G. truncatulinoides	              	122	 761	B	  3	H	 3	  60.00	     17.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	                             	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	                       	+                       	                         	                               	                             	                      	                       	                            	                             	                       	+                       	                         	                          	                    	                           	                       	                        	                      	                           	                        	+            	                           	                      	                              	                  	                         	+                    	+                        	                     	+                           	+                         	                                        	+                  	+                            	                      	                         	                          	                       	+                   	+                        	+                            	                        	+                          	+              	                     	                          	+                    	+                           	                  	from ODP Leg 122 Chapter 39 Figure 3 p 679
