Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
149, 897,A,Initial Reports          ,       1.050,    0.180000,B. E.huxleyi/BA. mrphogrp 2 Gephyrocapsa spp.
,,,,,,
149, 897,A,Initial Reports          ,       1.320,    0.310000,B. Emiliania huxleyi / B.Emiliania pujosae
,,,,,,
149, 897,A,Initial Reports          ,      17.000,    0.860000,B. H.inversa/ T. Reticulofenestra sp.A (>6.5mu)
,,,,,,
149, 897,A,Initial Reports          ,      31.570,    1.120000,T. Helicosphaera sellii
,,,,,,
149, 897,A,Initial Reports          ,      33.600,    1.230000,B. Gephyrocapsa spp. (>5.5 microns)
,,,,,,
