Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,,,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,F ,,,,,,,,,,,
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,R ,A ,D ,,,,,,,,,,,
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,,,P ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,,,R ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,A ,,,,,,,,,,,
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,A ,,,,,,,,,,,
339-U1387A-21X-CC-PAL-FORAM,339,U1387,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.64,189.69,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,F ,R ,,,,,,,,,,,
339-U1387A-24X-CC-PAL-FORAM,339,U1387,A,24,24-CC,X,CC,PAL,FORAM,0,5,218.66,218.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,,,,,,,
339-U1387A-26X-CC-PAL-FORAM,339,U1387,A,26,26-CC,X,CC,PAL,FORAM,0,5,237.78,237.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,
339-U1387A-28X-CC-PAL-FORAM,339,U1387,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.69,256.74,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,
339-U1387A-30X-CC-PAL-FORAM,339,U1387,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.24,276.29,,P ,R ,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,
339-U1387A-32X-CC-PAL-FORAM,339,U1387,A,32,32-CC,X,CC,PAL,FORAM,0,5,295.24,295.29,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,R ,,,,,,,,,,,
339-U1387A-34X-CC-PAL-FORAM,339,U1387,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.97,315.02,,,P ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,
339-U1387A-36X-CC-PAL-FORAM,339,U1387,A,36,36-CC,X,CC,PAL,FORAM,0,6,333.43,333.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,
