Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comment,File Data
339-U1386A-1H-CC-PAL-NANNO,339,U1386,A,1,1-CC,H,CC,PAL,NANNO,0,5,3.81,3.86,M-P ,C ,,,,,,,,,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,R ,,,,F ,,,,C ,,,F ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,
339-U1386A-2H-CC-PAL-NANNO,339,U1386,A,2,2-CC,H,CC,PAL,NANNO,0,5,13.48,13.53,M-P ,A ,,,,,,F ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,R ,F ,,,,C ,,,F ,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-3H-CC-PAL-NANNO,339,U1386,A,3,3-CC,H,CC,PAL,NANNO,0,5,23.22,23.27,M-P ,A ,,,,,,,,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,F ,,,,C ,,,F ,,,,,,,,,,R ,R ,,,,,,,C ,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1386A-4H-CC-PAL-NANNO,339,U1386,A,4,4-CC,H,CC,PAL,NANNO,0,5,33.11,33.16,G ,A ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,R ,F ,,F ,,A ,,,F ,,,,,,,,,,,R ,,,,,,,C ,,,,,,,R ,,,,,,,,,,,R ,,,,,,,,
339-U1386A-5H-CC-PAL-NANNO,339,U1386,A,5,5-CC,H,CC,PAL,NANNO,0,5,42.18,42.23,G ,A ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,C ,,,,,,R ,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-6H-CC-PAL-NANNO,339,U1386,A,6,6-CC,H,CC,PAL,NANNO,0,5,50.31,50.36,M-P ,A ,,,,,,R ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,VA ,,,C ,,R ,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-7H-CC-PAL-NANNO,339,U1386,A,7,7-CC,H,CC,PAL,NANNO,0,5,61.22,61.27,G ,VA ,,,,,,R ,R ,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,VA ,,,R ,,,,,,,,,,,R ,,,,,,,A ,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-8H-CC-PAL-NANNO,339,U1386,A,8,8-CC,H,CC,PAL,NANNO,0,5,70.62,70.67,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,F ,,,VA ,,,F ,,,,,,,,,,R ,,,,,,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-9H-CC-PAL-NANNO,339,U1386,A,9,9-CC,H,CC,PAL,NANNO,0,5,80.13,80.18,M-P ,C ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,A ,,,F ,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-10H-CC-PAL-NANNO,339,U1386,A,10,10-CC,H,CC,PAL,NANNO,0,5,90.23,90.28,M-P ,A ,,,,,,,F ,F ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,F ,,F ,,VA ,,,,,R ,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
