leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
67,495,,HOLOCENE,,9.5,19.0,,NO AGE GIVEN,,NO AGE GIVEN,    0,0.011,.0055,DSDP INITIAL REPORTS
67,495,,UPPER PLEISTOCENE,,19.0,28.5,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
67,495,,LOWER PLEISTOCENE,,28.5,57.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
67,495,,UPPER PLIOCENE,,57.0,95.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
67,495,,PLIOCENE,,95.0,104.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
67,495,,LOWER PLIOCENE,,104.5,114.0,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
67,495,,LOWER PLIOCENE,UPPER MIOCENE,114.0,142.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
67,495,,UPPER MIOCENE,,142.5,161.5,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
67,495,,MIDDLE MIOCENE,,161.5,209.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
67,495,,MIDDLE MIOCENE,LOWER MIOCENE,209.0,237.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 10.5, 22.5, 16.5,DSDP INITIAL REPORTS
67,495,,LOWER MIOCENE,,237.5,428.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
