Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyomitra densiocosta,Alievium murphyi,Theocorythium trachelium sp. aff. T. t. dianae,Tetrapyle octacantha,Tessarastrum straussi,Stylodictya validispina,Stylacontarium acquilonium,Spongotrochus (?) venustum,Spongaster tetras tetras,Siphonosphaera polysiphonia,Saturnalis circularis,Pterocanium trilobum,Plectopyramis dodecomma,Peripyramis circumtexta,Ommatodiscus murrayi,Lithopera bacca,Liriospyris reticulata,Hymeniastrum euclidis,Hexacontium enthacanthum,Heliodiscus asteriscus,Giraffospyris angulata,Didymocyrtis tetrathalamus tetrathalamus,Dictyophimus crisiae,Dictyocoryne truncatum,Dictyocoryne profunda,Cycladophora spp.,Cornutella profunda,Carpocanistrum spp.,Botryostrobus auritus/australis,Axoprunum stauraxonium,Archipilium sp. aff. A. macropus,Anthocyrtidium ophirense,Amphirhopalum ypsilon,Acrosphaera spinosa,Acrosphaera flammabunda,Theocorythium trachelium trachelium,Stichopera pectinata group,Spongocore puella,Pterocanium praetextum praetextum,Euchitonia furcata,Euchitonia elegans,Tholospyris spp.,Pterocorys hertwigii,Phormostichoartus corbula,Lophophaena cylindrica,Lithocampe sp.,Eucyrtidium hexagonatum,Theopilium tricostatum,Stylatractus giganteus,Spongobrachium ellipticus,Otosphaera polymorpha,Lamprocyclas maritalis polypora,Eucyrtidium anomalum,Disolenia sp.,Cycladophora sp. aff. C. cabrilloensis,Acrosphaera lappacea,Xiphosphaera tesseractis,Sethophormis sp. aff. S. pentalactis,Phormospyris stabilis stabilis,Lamprocyclas maritalis maritalis,Collosphaera spp.,Collosphaera macropora,Clathrocanium sp.,Circodiscus microporus,Spongobrachium  sp. aff. S. ellipticum,Hymeniastrum sp. aff. H. euclidis,Dictyocodon sp.,Axoprunum angelinum,Dictyocoryne sp. aff. D. truncatum,Cycladophora sp. cf. C. conica,Collosphaera tuberosa,Collosphaera orthoconus,Botryostrobus sp. cf. B. aquilonarius,Anthocyrtidium sp. aff. zanguebaricum,Acrosphaera murrayana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 1,   9.00,      0.0900,Hull     ,Radiolarians                                 ,A              ,M-G               ,                       ,                ,                                              ,C                   ,F                    ,F                      ,                          ,R                         ,F                       ,A                          ,R                    ,R                   ,                       ,C                      ,R                   ,A              ,R                     ,F                    ,F                       ,F                     ,F                     ,A                                       ,C                   ,A                     ,F                    ,C                ,C                  ,F                  ,C                              ,R                     ,                                ,C                       ,C                    ,F                  ,R                      ,C                                  ,                          ,F                ,                                 ,C                 ,A                 ,+               ,F                   ,                         ,                      ,C             ,F                      ,                      ,                      ,                         ,                     ,C                              ,                    ,             ,                                      ,R                   ,                        ,                                    ,                              ,F                               ,                 ,R                     ,                 ,R                     ,                                      ,                                 ,               ,R                  ,+                                 ,R                             ,R                    ,R                      ,R                                    ,R                                    ,R                    ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 1, 126.00,      1.2600,Hull     ,Radiolarians                                 ,C              ,P-G               ,                       ,                ,                                              ,R                   ,                     ,F                      ,R                         ,R                         ,A                       ,R                          ,C                    ,R                   ,                       ,                       ,F                   ,               ,R                     ,R                    ,R                       ,                      ,                      ,R                                       ,                    ,A                     ,A                    ,R                ,F                  ,F                  ,R                              ,F                     ,                                ,R                       ,A                    ,A                  ,R                      ,                                   ,                          ,C                ,                                 ,C                 ,A                 ,                ,R                   ,                         ,                      ,R             ,R                      ,                      ,R                     ,                         ,R                    ,                               ,                    ,             ,                                      ,R                   ,                        ,R                                   ,                              ,                                ,                 ,R                     ,                 ,                      ,R                                     ,+                                ,R              ,R                  ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 2,   7.00,      1.5700,Hull     ,Radiolarians                                 ,R              ,P                 ,                       ,                ,                                              ,                    ,                     ,R                      ,                          ,                          ,                        ,                           ,                     ,                    ,                       ,                       ,                    ,               ,                      ,                     ,                        ,                      ,                      ,                                        ,                    ,R                     ,R                    ,R                ,                   ,                   ,                               ,                      ,                                ,                        ,                     ,                   ,                       ,                                   ,                          ,                 ,                                 ,                  ,                  ,                ,                    ,                         ,                      ,              ,                       ,                      ,                      ,                         ,                     ,                               ,                    ,             ,                                      ,                    ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 2, 126.00,      2.7600,Hull     ,Radiolarians                                 ,A              ,P-G               ,                       ,                ,                                              ,R                   ,                     ,C                      ,R                         ,                          ,F                       ,F                          ,C                    ,C                   ,                       ,C                      ,F                   ,R              ,F                     ,                     ,C                       ,C                     ,R                     ,C                                       ,R                   ,C                     ,C                    ,                 ,R                  ,R                  ,                               ,R                     ,R                               ,C                       ,A                    ,F                  ,                       ,C                                  ,                          ,C                ,                                 ,C                 ,C                 ,                ,                    ,                         ,                      ,              ,F                      ,R                     ,                      ,R                        ,                     ,                               ,                    ,             ,R                                     ,                    ,R                       ,R                                   ,R                             ,R                               ,+                ,R                     ,R                ,R                     ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
