Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ulmus taxa,Tsuga taxa,Tilia taxa,Taxodiaceae taxa,Sphagnum taxa,Selaginella  taxa,Sciadopitys taxa,Quercus taxa,Pterocarya taxa,Polypodiaceae taxa,Pinus taxa,Picea taxa,Nyssa  taxa,Myrica taxa,Lycopodiaceae taxa,Liquidambar taxa,Larix type taxa,Juglans taxa,Ilex taxa,Gramineae taxa,Fagus taxa,Ericaceae taxa,Ephedra taxa,Cyperaceae taxa,Cryptomeria  taxa,Corylus taxa,Compositae taxa,Chenopodiaceae taxa,Celtis taxa,Carya taxa,Carpinus taxa,Betula taxa,Alnus taxa,Acer taxa,Abies taxa,Zelkova taxa,Quercus (evergreen) taxa,Quercus (deciduous)  taxa,Persicaria taxa,Pasania  taxa,Metasequoia  taxa,Engelhardia taxa,Castanea taxa,Larix taxa,Cupressaceae taxa,Aesculus  taxa,Dacrydium taxa,Carduoideae  taxa,Rhus taxa,Cichorioideae taxa,Artemisia taxa,Sparganium taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  1,H, 1,  55.00,      0.5500,Heusser  ,Pollen/Spores                                ,               ,                  ,5         ,0         ,0         ,7               ,0            ,0                ,1               ,61          ,0              ,64                ,79        ,3         ,0          ,1          ,0                 ,0               ,0              ,0           ,0        ,0             ,8         ,0             ,2           ,8              ,5                ,3           ,9              ,1                  ,0          ,0         ,2            ,11         ,3         ,0        ,0         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  1,H, 2,  62.00,      2.1200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,7         ,0         ,1               ,0            ,0                ,2               ,1           ,0              ,2                 ,126       ,63        ,0          ,0          ,0                 ,0               ,5              ,0           ,0        ,0             ,0         ,0             ,0           ,1              ,0                ,0           ,0              ,0                  ,0          ,0         ,0            ,0          ,0         ,0        ,14        ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  1,H, 3,  62.00,      3.6200,Heusser  ,Pollen/Spores                                ,               ,                  ,7         ,1         ,1         ,17              ,0            ,0                ,8               ,24          ,3              ,16                ,46        ,18        ,0          ,3          ,0                 ,0               ,0              ,3           ,0        ,0             ,4         ,0             ,0           ,7              ,21               ,7           ,14             ,1                  ,0          ,0         ,3            ,10         ,13        ,2        ,4         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  1,H, 4,  62.00,      5.1200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,4         ,0         ,0               ,             ,0                ,0               ,12          ,1              ,20                ,108       ,66        ,0          ,0          ,0                 ,0               ,0              ,1           ,0        ,1             ,0         ,0             ,1           ,1              ,0                ,1           ,8              ,0                  ,0          ,0         ,0            ,4          ,10        ,0        ,11        ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,Polypodiaceae is indicated as 20+; from ODP Legs 127&128 Chapter 19 Appendix A back pocket
