Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus primus,Fasciculithus tympaniformis,Fasciculithus schaubii,Fasciculithus lillianae,Fasciculithus alanii,Ericsonia subpertusa,Ellipsolithus distichus,Coccolithus pelagicus,Chiasmolithus bidens,Rhomboaster cuspis,Discoaster multiradiatus,Toweius eminens,Tribrachiatus contortus,Toweius occultatus,Discoaster diastypus,Chiasmolithus eograndis,Tribrachiatus orthostylus,Sphenolithus radians,Discoaster binodosus,Discoaster barbadiensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP11              ,NP11          ,199,1215,A,  4,H,CC,  29.00,     30.1800,planks   ,Nannofossils                                 ,C              ,P                 ,F                  ,                           ,                      ,                       ,                    ,                    ,                       ,A                    ,                    ,                  ,F                       ,               ,                       ,A                 ,F                   ,R                      ,C                        ,C                   ,F                   ,F                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP10              ,NP10          ,199,1215,A,  5,H,CC,  20.00,     39.8400,planks   ,Nannofossils                                 ,               ,P                 ,F                  ,                           ,                      ,                       ,                    ,                    ,R                      ,A                    ,F                   ,                  ,F                       ,               ,C                      ,F                 ,C                   ,R                      ,                         ,                    ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,A,  6,H,CC,   0.00,     46.9800,planks   ,Nannofossils                                 ,C              ,P                 ,F                  ,                           ,                      ,                       ,                    ,                    ,+                      ,A                    ,                    ,F                 ,C                       ,F              ,                       ,                  ,                    ,                       ,                         ,                    ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,A,  7,H,CC,   0.00,     47.2000,planks   ,Nannofossils                                 ,T              ,P                 ,                   ,                           ,                      ,                       ,                    ,                    ,                       ,                     ,                    ,R                 ,R                       ,               ,                       ,                  ,                    ,                       ,                         ,                    ,                    ,                       ,Scraped from chert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,A,  8,H,CC,   0.00,     59.5200,planks   ,Nannofossils                                 ,C              ,P                 ,F                  ,C                          ,F                     ,F                      ,F                   ,R                   ,R                      ,A                    ,R                   ,                  ,                        ,               ,                       ,                  ,                    ,                       ,                         ,                    ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
