leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
47,397,,HOLOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,    0,0.011,.0055,DSDP INITIAL REPORTS
47,397,,QUATERNARY,,9.0,132.5,,NO AGE GIVEN,,NO AGE GIVEN,    0,  1.8,  0.9,DSDP INITIAL REPORTS
47,397,,QUATERNARY,UPPER PLIOCENE,132.5,142.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    0,  3.4,  1.7,DSDP INITIAL REPORTS
47,397,,UPPER PLIOCENE,,142.0,265.5,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
47,397,,LOWER PLIOCENE,,265.5,398.5,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
47,397,,LOWER PLIOCENE,UPPER MIOCENE,398.5,408.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
47,397,,UPPER MIOCENE,,408.0,541.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
47,397,,UPPER MIOCENE,MIDDLE MIOCENE,541.0,560.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
47,397,,UPPER MIOCENE,,560.0,569.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
47,397,,UPPER MIOCENE,MIDDLE MIOCENE,569.5,588.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
47,397,,UPPER MIOCENE,,588.5,674.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
47,397,,MIDDLE MIOCENE,,674.0,854.5,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
47,397,,LOWER MIOCENE,,854.5,997.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
