Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Actinocyclus oculatus,Simonseniella curvirostris,Nitzschia reinholdii,Neodenticula seminae,Rhizosolenia barboi,Epithemia sp.,Coscinodiscus marginatus,Cocconeis costata,Biddulphia aurita,Pseudoeunotia doliolus,Paralia sulcata,Rhaphoneis sp.,Navicula sp.,Actinocyclus curvatulus,Thalassiosira eccentrica,Aulacosira granulata,Actinoptychus senarius,Hyalodiscus sp.,Actinocyclus lanceolatus,Thalassiosira oestrupii,Cymbella sp.,Cocconeis placentula,Thalassiosira nidulus,Thalassionema nitzschioides,Eunotia sp.,Stephanodiscus astraea,Thalassiothrix longissima,Thalassiosira sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1019,C,  1,H,CC,  25.00,      8.2800,Maruyama ,Diatoms                                      ,T              ,P                 ,R                   ,                     ,                          ,                    ,                    ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,T                ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1019,C,  2,H,CC,  20.00,     18.3100,Maruyama ,Diatoms                                      ,F              ,P                 ,C                   ,                     ,                          ,                    ,                    ,                   ,             ,                        ,                 ,                 ,                      ,R              ,              ,            ,                       ,                        ,                    ,R                     ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1019,C,  3,H,CC,  26.00,     27.9900,Maruyama ,Diatoms                                      ,F              ,P                 ,F                   ,                     ,                          ,                    ,T                   ,                   ,             ,T                       ,                 ,                 ,                      ,T              ,              ,            ,T                      ,T                       ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,T                          ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1019,C,  4,H,CC,  15.00,     37.3500,Maruyama ,Diatoms                                      ,F              ,P                 ,R                   ,                     ,                          ,                    ,R                   ,                   ,             ,                        ,                 ,R                ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
