Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina proboscidea,Uvigerina porrecta,Uvigerina hispidocostata,Trifarina bradyi,Tosaia hanzawai,Sphaeroidina compacta,Sigmavirgulina tortuosa,Rosalina sp.,Quinqueloculina seminulum,Quinqueloculina lamarckiana,Pyrgo depressa,Pyrgo denticulata,Pullenia quinqueloba,Pullenia bulloides,Parafissurina lateralis,Oridorsalis umbonatus,Oolina globosa,Nuttallides umbonifera,Melonis sphaeroides,Melonis barleeanus,Lagena stratopunctata,Hoeglundina elegans,Gyroidinoides lamarckianus,Gyroidina soldanii,Gyroidina orbicularis,Globocassidulina subglobosa,Globocassidulina sp.,Globocassidulina paratortuosa,Globocassidulina moluccensis,Gavelinopsis praegeri,Fissurina orbignyana seguenza,Fissurina marginata,Fissurina fimbriata,Eponides tumidulus,Cibicidoides mundulus,Cibicidoides mediocris,Cibicides wuellerstorfi,Cibicides robertsonianus,Cibicides refulgens,Bulimina striata,Bulimina rostrata,Bulimina marginata,Bolivinita quadrilatera,Astrononion stelligerum,Astacolus crepidulus,Amphistegina madagascariensis,Trifarina occidentalis,Sphaeroidina bulloides,Rectobolivina dimorpha pacifica,Pseudoparrella  exigua,Oridorsalis tener,Melonis parkerae,Melonis pacificus,Lagena sulcata spicata,Lagena sulcata laevicostata,Gyroidinoides nipponicus,Globobulimina pacifica,Fissurina lacunata,Fijiella simplex,Elphidium crispum,Discorbinella convexa,Cymbaloporetta bradyi,Cibicides aknerianus,Bolivina robusta,Sigmoilopsis schlumbergeri,Robulus sp.,Robulus gibbus,Pyrgo murrhina,Pyrgo lucernula,Pullenia salisburyi,Parafissurina pseudomarginata,Lagena paradoxa,Lagena laevis,Gyroidina altiformis,Globocassidulina oblonga,Globocassidulina crassa,Glandulina laevigata,Fissurina sp.,Eggerella bradyi,Dentalina spp.,Anomalinoides globulosus,Abditodentrix asketocomptella,Trochammina conglobata,Siphotexturalia saulcyana,Rectobolivina raphana,Pseudononion sp.,Parrelloides bradyi,Lagena gracillima,Gyroidinoides sp. cf. G.nipponicus,Fissurina radiata,Brizalina vescistriata,Bolivina subangularis leneata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 832,A,  1,H, 1,  48.00,      0.4800,Akimoto  ,Benthic Foraminifers                         ,               ,                  ,                     ,1                 ,                        ,1               ,10             ,                     ,                       ,            ,2                        ,                           ,              ,                 ,1                   ,2                 ,                       ,3                    ,              ,3                     ,3                  ,                  ,                     ,                   ,1                         ,                  ,                     ,                           ,                    ,                             ,7                           ,                     ,                             ,                   ,2                  ,6                 ,4                    ,                      ,1                      ,                        ,                   ,                ,                 ,                  ,1                      ,1                      ,                    ,                             ,                      ,                      ,                               ,                      ,                 ,                ,7                ,                      ,                           ,                        ,                      ,                  ,                ,                 ,                     ,                     ,1                   ,                ,                          ,           ,              ,2             ,               ,4                  ,                             ,               ,2            ,1                   ,                        ,                       ,                    ,1            ,                ,1             ,                        ,                             ,4                     ,3                        ,1                    ,1               ,16                 ,1                ,2                                 ,1                ,1                     ,1                            ,Misc. agglut. forams =  0; Total agglut. forams =  7; Total calc. forams =  92; Total benthic forams =  99; from ODP Leg 134 SR Chapter 12 Table 5 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 832,A,  2,H, 1,  54.00,      6.4400,Akimoto  ,Benthic Foraminifers                         ,               ,                  ,                     ,                  ,1                       ,                ,13             ,                     ,                       ,            ,2                        ,6                          ,4             ,                 ,1                   ,3                 ,                       ,2                    ,              ,1                     ,34                 ,16                ,                     ,1                  ,1                         ,                  ,1                    ,                           ,                    ,                             ,1                           ,                     ,                             ,1                  ,                   ,                  ,                     ,                      ,5                      ,                        ,                   ,                ,                 ,                  ,                       ,                       ,                    ,                             ,                      ,1                     ,                               ,2                     ,                 ,                ,                 ,                      ,                           ,                        ,                      ,                  ,                ,                 ,                     ,                     ,4                   ,                ,3                         ,1          ,1             ,3             ,7              ,3                  ,2                            ,1              ,1            ,1                   ,2                       ,3                      ,1                   ,3            ,2               ,1             ,1                       ,1                            ,                      ,                         ,                     ,                ,                   ,                 ,                                  ,                 ,                      ,                             ,Misc. agglut. forams =  0; Total agglut. forams =  2; Total calc. forams =  135; Total benthic forams =  137; from ODP Leg 134 SR Chapter 12 Table 5 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 832,A,  5,H, 1,  50.00,     28.5000,Akimoto  ,Benthic Foraminifers                         ,               ,                  ,                     ,4                 ,2                       ,                ,3              ,                     ,                       ,            ,2                        ,                           ,              ,                 ,1                   ,1                 ,                       ,2                    ,              ,1                     ,2                  ,                  ,                     ,1                  ,                          ,                  ,2                    ,2                          ,                    ,                             ,10                          ,                     ,                             ,2                  ,                   ,1                 ,3                    ,1                     ,                       ,2                       ,                   ,                ,                 ,                  ,2                      ,                       ,                    ,                             ,1                     ,5                     ,1                              ,3                     ,4                ,1               ,1                ,1                     ,1                          ,1                       ,1                     ,1                 ,1               ,1                ,1                    ,1                    ,1                   ,1               ,                          ,           ,              ,              ,               ,                   ,                             ,               ,             ,                    ,                        ,                       ,                    ,             ,                ,              ,                        ,                             ,                      ,                         ,                     ,                ,                   ,                 ,                                  ,                 ,                      ,                             ,Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  71; Total benthic forams =  71; from ODP Leg 134 SR Chapter 12 Table 5 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 832,A,  6,H, 1,  47.00,     37.9700,Akimoto  ,Benthic Foraminifers                         ,               ,                  ,2                    ,1                 ,5                       ,1               ,20             ,1                    ,2                      ,1           ,2                        ,4                          ,1             ,1                ,1                   ,6                 ,2                      ,4                    ,1             ,3                     ,2                  ,2                 ,1                    ,4                  ,6                         ,4                 ,1                    ,4                          ,1                   ,1                            ,11                          ,1                    ,2                            ,1                  ,2                  ,4                 ,3                    ,1                     ,4                      ,4                       ,1                  ,1               ,1                ,1                 ,4                      ,2                      ,1                   ,2                            ,                      ,                      ,                               ,                      ,                 ,                ,                 ,                      ,                           ,                        ,                      ,                  ,                ,                 ,                     ,                     ,                    ,                ,                          ,           ,              ,              ,               ,                   ,                             ,               ,             ,                    ,                        ,                       ,                    ,             ,                ,              ,                        ,                             ,                      ,                         ,                     ,                ,                   ,                 ,                                  ,                 ,                      ,                             ,Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  130; Total benthic forams =  130; from ODP Leg 134 SR Chapter 12 Table 5 backpocket
