Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
160, 973,A,Shipboard                ,       7.950,    0.260000,FO E. huxleyi
,,,,,,
160, 973,A,Shipboard                ,      15.330,    0.460000,LO P. lacunosa
,,,,,,
160, 973,A,Shipboard                ,      31.670,    0.990000,FO Gephyrocapsa sp. 3
,,,,,,
160, 973,A,Shipboard                ,      37.600,    1.250000,LO Gephyrocapsa >5.5 microns
,,,,,,
160, 973,A,Shipboard                ,      65.280,    1.500000,FO Gephyrocapsa >5.5 microns
,,,,,,
160, 973,A,Shipboard                ,      69.800,    1.620000,LO C. macintyrei
,,,,,,
160, 973,A,Shipboard                ,      74.720,    1.750000, 
,,,,,,
