Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Menardella miocenica	Hirsutella hirsuta	Globoturborotalita woodi	Globigerinoides extremus	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Globigerinoides obliquus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globoconella puncticulata	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globoconella inflata	Globoturborotalita apertura	Globigerina bulloides	Truncorotalia crassaformis hessi	Globigerina quinqueloba	Pulleniatina obliquiloculata	Truncorotalia crassula	Truncorotalia truncatulinoides (dex.)	Sphaeroidinellopsis seminulina	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida	Menardella menardii (sinistral)	Globorotalia tumida flexuosa	Truncorotalia tosaensis	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  4	H	 5	  75.00	     31.0500	Chaisson 	Planktonic Foraminifers                      	F              	G                 	                          	                    	F                 	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	R                    	                                	                       	R                           	                      	                                     	                              	F                                    	R                  	                               	F                           	                       	LO flexuosa >0.068 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  4	H	 6	  70.00	     32.5000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	+                    	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	rads

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  4	H	 7	  67.00	     33.9700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	F                    	                                	                       	R                           	                      	                                     	                              	F                                    	R                  	                               	R                           	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  4	H	CC	  14.00	     34.1400	Chaisson 	Planktonic Foraminifers                      	A              	G                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	A                                    	A                  	+                              	A                           	                       		all pk abundant>0.068

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  5	H	 1	  70.00	     34.5000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	F                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  5	H	 2	  70.00	     36.0000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  5	H	CC	   0.00	     43.1200	Chaisson 	Planktonic Foraminifers                      	C              	P                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	                                     	                   	                               	                            	                       	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  6	H	CC	   7.00	     52.7600	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	A                                    	                              	A                                    	+                  	                               	R                           	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	 2	  70.00	     55.0000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	+                  	                               	+                           	                       	no volcanic glass

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	 3	  70.00	     56.5000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	volcanic ash (1)

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	 4	  70.00	     58.0000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	F                                    	                              	F                                    	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	 5	  70.00	     59.5000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	+                  	                               	                            	                       	ostracodes

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	 6	  70.00	     61.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	2                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	1                          	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  7	H	CC	   0.00	     62.3000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	volcanic glass pyrite abundant

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  8	H	CC	   0.00	     71.8500	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	volcanic glass (brown, green, black) ostracodes plastic rich

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	  9	H	CC	   0.00	     81.2700	Chaisson 	Planktonic Foraminifers                      	A              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	R                           	                       	volcanic glass rich (green, brown, black) flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 1	  70.00	     82.0000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	R                                    	F                  	                               	F                           	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 2	  70.00	     83.5000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	+                  	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 3	  70.00	     85.0000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	R                                    	                              	F                                    	F                  	                               	F                           	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 4	  70.00	     86.5000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	dissolved

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 5	  70.00	     88.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite dissolved

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	 6	  45.00	     89.2500	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	1                                    	                              	                                     	                   	                               	                            	                       	dissolved

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 10	H	CC	  12.00	     89.4400	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	R                  	                               	                            	                       	pyrite volcanic glass ostracodes mica

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	 1	  68.00	     91.4800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	dissolved

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	 2	  68.00	     92.9800	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	R                                    	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	 3	  68.00	     94.4800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	1                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	clays

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	 4	  68.00	     95.9800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	2                                    	                              	                                     	                   	                               	                            	                       	clays around 10 forams

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	 5	  68.00	     97.4800	Chaisson 	Planktonic Foraminifers                      	R              	M                 	A                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 11	H	 6	  68.00	     98.9800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 11	H	CC	   0.00	    100.2700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	                  	                        	                        	R                      	                                  	F                        	                        	                          	                         	                         	F                          	                            	+                   	                           	                     	                                	                       	                            	                      	F                                    	                              	                                     	                   	                               	                            	R                      	volcanic glass: brown, light green, light yellow w/ bubbles

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 12	H	CC	   0.00	    109.9400	Chaisson 	Planktonic Foraminifers                      	C              	VG                	F                         	                    	                  	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	R                           	F                   	                           	R                    	R                               	                       	R                           	                      	F                                    	                              	R                                    	                   	                               	                            	                       	rare volcanic glass

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 13	H	CC	  39.00	    118.6400	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                    	                  	                        	                        	R                      	                                  	R                        	                        	                          	                         	                         	R                          	                            	+                   	                           	R                    	R                               	                       	                            	                      	R                                    	                              	                                     	                   	R                              	                            	                       	one piece of volcanic glass

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 14	H	CC	   0.00	    128.6600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	R                           	R                   	                           	                     	                                	                       	R                           	                      	F                                    	                              	R                                    	                   	R                              	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 15	H	 3	  68.00	    132.1300	Chaisson 	Planktonic Foraminifers                      	F              	G                 	A                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	+                    	F                               	                       	                            	                      	+                                    	                              	                                     	+                  	+                              	                            	                       	hessi present

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 15	H	 4	  68.00	    133.5200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	+                    	+                               	                       	                            	                      	+                                    	                              	                                     	1                  	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 15	H	 5	  68.00	    135.0200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 15	H	CC	  11.00	    138.0300	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	                            	                       	many large fragments, rare volcanic glass

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 16	H	CC	   0.00	    147.9900	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                    	R                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	                    	                           	F                    	                                	                       	R                           	                      	F                                    	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 17	H	 1	  70.00	    148.5000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                    	R                 	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	                           	                            	+                   	                           	F                    	                                	                       	R                           	                      	R                                    	                              	                                     	+                  	R                              	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 17	H	CC	  19.00	    155.9000	Chaisson 	Planktonic Foraminifers                      	               	                  	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	+                    	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	sponge spicules many cibs

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 18	H	CC	   0.00	    166.7500	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	+                                    	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 19	H	CC	  17.00	    176.3200	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite few volcanic ash

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 20	H	CC	  12.00	    186.0300	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	+                 	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 21	H	CC	  12.00	    195.6000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	+                  	                               	                            	                       	pyrite clay

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 22	H	CC	  10.00	    201.3500	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	pyrite few volcanic glass

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 23	X	CC	  26.00	    209.1600	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	+                                    	                   	                               	                            	                       	abundant pyrite

  IR	                 	                 	                  	              	172	1063	A	 24	X	 1	  67.00	    208.2700	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 24	X	 2	  70.00	    209.8000	Chaisson 	Planktonic Foraminifers                      	R              	M                 	R                         	                    	                  	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	F                           	+                   	                           	F                    	                                	                       	R                           	                      	R                                    	                              	                                     	                   	                               	                            	                       	no obliquus

  IR	                 	                 	                  	              	172	1063	A	 24	X	 3	  71.00	    211.3100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 24	X	 4	  67.00	    212.7700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Pleistocene      	                  	N22           	172	1063	A	 24	X	 5	  65.00	    214.2500	Chaisson 	Planktonic Foraminifers                      	F              	G                 	+                         	                    	R                 	                        	                        	                       	                                  	                         	R                       	                          	                         	                         	                           	R                           	A                   	                           	+                    	                                	                       	R                           	                      	+                                    	                              	                                     	                   	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 24	X	 6	  66.00	    215.7600	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	dissolved

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 24	X	CC	  25.00	    217.4000	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	F                    	                                	                       	+                           	                      	F                                    	                              	                                     	                   	                               	                            	                       	pyrite

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 25	X	 1	  70.00	    217.9000	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	+                           	+                   	                           	+                    	                                	+                      	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no obliquus found

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 25	X	CC	  35.00	    226.6600	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	R                                    	                   	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 26	X	CC	  37.00	    236.4400	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	bubbled pyrite

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 27	X	CC	  24.00	    245.7500	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	+                                    	                              	+                                    	R                  	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 28	X	CC	  60.00	    255.6000	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	+                      	                                  	R                        	R                       	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	                                     	                              	                                     	+                  	+                              	R                           	                       	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 29	X	CC	  25.00	    264.9500	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	F                    	                                	                       	                            	                      	F                                    	                              	F                                    	                   	                               	                            	                       	ostracodes

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 30	X	CC	  36.00	    274.5400	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	                    	R                 	                        	                        	                       	                                  	R                        	                        	                          	                         	                         	+                          	+                           	F                   	                           	R                    	                                	                       	R                           	                      	                                     	                              	                                     	                   	                               	                            	                       	many shell fragments

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 31	X	 7	  67.00	    282.9000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                         	                    	F                 	                        	                        	                       	                                  	F                        	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 31	X	CC	  25.00	    284.2800	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	                    	F                 	R                       	                        	F                      	                                  	R                        	R                       	                          	                         	                         	F                          	                            	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	R                                    	R                  	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 32	X	 1	  70.00	    284.8000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no truncat

  IR	                 	                 	                  	              	172	1063	A	 32	X	 2	  61.00	    286.2100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	3                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite no marker spp.

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 32	X	 3	  67.00	    287.7700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	       

  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	 32	X	 4	  70.00	    289.2200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	+                             	                                     	                   	                               	                            	                       	no truncat

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	 32	X	 5	  68.00	    290.7000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	R                 	R                       	                        	F                      	                                  	                         	R                       	                          	                         	                         	R                          	                            	R                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	                                     	                   	                               	                            	                       	       

