Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,
342-U1409A-1H-CC-PAL,342,U1409,A,1,1-CC,H,CC,PAL,0,10,0.97,1.07,G [P21],P [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,P,,A,,,,,,,,,,,,,,,,,,,P,,,
342-U1409A-2H-CC-PAL,342,U1409,A,2,2-CC,H,CC,PAL,0,6,10.61,10.67,G [P21],P [A60],,,,,,,,,,,,,,F,,,,F,,,,,,,,,F,,,F,,,F,,,,,P,,F,,,P,P,,,,,,,,,,,,,,,,,,F,,,,,,,P,F,F,,,,,,,,A,,,F,,A,,F,,,,,,,,P,,,,,P,,,,F,,,
342-U1409A-3H-CC-PAL,342,U1409,A,3,3-CC,H,CC,PAL,0,8,20.56,20.64,,B [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-4H-CC-PAL,342,U1409,A,4,4-CC,H,CC,PAL,0,10,30.03,30.13,G [P21],F [A60],,,,,,F,P,F,,,,P,,F,,,,A,,,,,,,,,,,F,P,,,F,,,,,F,,,,,,P,,,,,P,P,,F,,,P,,F,,,,,,,,,,,P,F,P,,,,P,,F,,,,,,F,,,F,,,,,,,P,,F,A,,,,,,,F,F,,,
342-U1409A-5H-CC-PAL,342,U1409,A,5,5-CC,H,CC,PAL,0,8,38.66,38.74,G [P21],P [A60],,,,,,,,P,,,,,,F,,,,A,P,,,P,,,P,,,,,,,,A,,,,,F,,F,,,,F,,,,,,,,,,,F,,F,,,,,,,,,A,P,,,P,A,,,P,,,,P,F,,,F,,,,,P,,,,F,F,,P,F,,F,,,,,P,F,,,
342-U1409A-6H-CC-PAL,342,U1409,A,6,6-CC,H,CC,PAL,0,8,49.14,49.22,VG [P21],P [A60],,F,,,,,P,F,,,,,,A,,,,P,P,,,F,,,,,,F,,,,,F,P,,,,P,,,,,,,,,,,P,P,,F,,,,,F,,,,,,,,,A,,,,P,F,,,F,,P,,P,F,,,F,,,F,,P,P,,,F,F,,,F,,,,,,,,F,,,
342-U1409A-7H-CC-PAL,342,U1409,A,7,7-CC,H,CC,PAL,0,8,58.5,58.58,VG [P21],P [A60],,,,P,,P,,F,,,,,,F,,,,,P,,P,P,,,P,,,P,P,F,,,F,,,,,P,,,,,,P,,,,,,P,,F,,,P,,F,,,P,,,,,,A,,F,,P,F,,,F,,F,,,F,,,P,,,,,,P,P,,F,P,,P,A,,P,,,,,,F,,,
342-U1409A-8H-CC-PAL,342,U1409,A,8,8-CC,H,CC,PAL,0,8,67.97,68.05,VG [P21],P [A60],,A,,,,P,,P,,,,,,F,,,,F,,,F,F,,,,,,F,P,P,,,F,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,F,,F,,,,,,F,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,F,,,
342-U1409A-9H-CC-PAL,342,U1409,A,9,9-CC,H,CC,PAL,0,8,77.57,77.65,VG [P21],P [A60],,A,,,,P,,F,,,,,,F,,,,P,A,A,P,,,,,,,F,,P,,,F,,,,,F,,,,,,P,,,,,,P,,,,,P,,P,,,,,,,,,A,P,,,,F,,,P,,,,,,,,P,,,P,,,,P,,F,,,,A,,,,,,,,F,,,
342-U1409A-10H-CC-PAL,342,U1409,A,10,10-CC,H,CC,PAL,0,10,86.86,86.96,G [P21],P [A60],,,,,,P,,F,,,,,,F,,,,A,,F,F,,,,P,F,,P,,F,,,F,P,,,,P,,,,,,P,,,,,,P,,F,,,F,,,,,,,,,,,A,,,,P,F,,,P,,F,,,P,,,,,,,,P,,,,F,,,P,F,,P,,,,,,F,,,
