Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,P,,,,R,,A,,,,,,8eaa7a50b72efa8a205522345e50424e
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,G,A,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,R,,P,,,A,,P,,,,,,,,R,,F,,,,,,2546fb583a98b3f761dbd6ac8f356e3c
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,F,,,A,P,P,,,,,,,,P,,R,,,,,,13e527db1f917828780ba2d7860d20ba
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,,,,,,P,P,,F,,,,,,347766c12c3a0b25cd56e7d2edf5e25b
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,,,,,,,,,,P,,,,,,,,63c5803e5a17c32885e98e28e9ceb0ad
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,D,,,,,,,,,,P,,,,,R,,,e33854256d9518320e58b34ff3289256
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,D,,P,,,,,,,,,P,A,,,R,,,aad2a78f621013539028780a1f85f198
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,G,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,A,,,,,,,,,,R,P,F,,,P,,,cb0c994ba6205d17e2d85d9ee0295a88
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,P,,,,,,F,,,,,,7652fcd43efa7932fcd7c876a9dc8f0d
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,G,D,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,A,,R,,,D,,,,,,,,,,P,,R,,,,,,8c08a6f3ffa610c9bfc78dd4765a6f30
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,A,,,,,,R,,,,,,F,,,,,,3ca4f79b8cfd37a241828b4777e9b9ef
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,G,D,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,R,,,P,,,,,,F,,,,P,,R,,,,,,39c9b532b622d8dd27c708abcff174c0
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,,,R,,,,,,,,,,F,,R,,,R,,,80e2f1130d3cdeaa615152cc43433eb7
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,G,A,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,R,,,,,,R,,,,P,,,,,F,,,621d093854bc6ef05cc4ab7e9fd6c51f
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,R,,,,,,,,,,R,,F,,,F,,,6d068771a3801cb2b75c5ae9ceda56bf
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,A,,,,,,R,,,,P,,P,,,,,,e0ab5b22fefe7252107f3596883073a0
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,P,,,,,,F,,,,P,,A,,,R,,,be829981907e60f07cb69686d67ae4d7
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,P,P,,,,R,,,,P,P,P,,,,,,7caf45be6f98b9c36365e32022ac101b
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,G,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,F,,P,,F,,,,,,,,0fb62c9db0a64304cf61805cc4eb4791
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,G,A,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,F,,,,,,,,,P,,P,R,,,,,,16235b76a49b294e24614f3cbf250ff9
339-U1390A-31X-CC-PAL-FORAM,339,U1390,A,31,31-CC,X,CC,PAL,FORAM,0,5,284.56,284.61,M,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,P,,,F,,,,,,,,,,P,,R,,,,,,4eafff6a048485c0005350ad24017d69
339-U1390A-32X-CC-PAL-FORAM,339,U1390,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.63,293.68,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,A,,,,,,e62fa41e063a6985003a3de84049cece
339-U1390A-33X-CC-PAL-FORAM,339,U1390,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.6,302.65,M,R,,,,,,,,,,R,,,,,,,,R,,,,,P,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,P,,,,,,ca066f8a380e30ac15235f3393e0a5f3
339-U1390A-34X-CC-PAL-FORAM,339,U1390,A,34,34-CC,X,CC,PAL,FORAM,0,5,313.11,313.16,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,A,,,,F,A,,,,P,,,548d314a9098e3373acbb5aacbad0977
339-U1390A-35X-CC-PAL-FORAM,339,U1390,A,35,35-CC,X,CC,PAL,FORAM,0,5,323.17,323.22,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,R,,,,,,R,,,,,F,,,,P,,,e918934781ee0cc295a3dfdc46d5548a
339-U1390A-36X-CC-PAL-FORAM,339,U1390,A,36,36-CC,X,CC,PAL,FORAM,0,5,332.58,332.63,M,F,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,F,,,,,R,,,,,,,ea30fa1618bba8c4b578dab2023745b7
339-U1390A-37X-CC-PAL-FORAM,339,U1390,A,37,37-CC,X,CC,PAL,FORAM,0,5,335.22,335.27,G,D,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,9360213e1ebc32492ef6d8f1559874df
339-U1390A-38X-CC-PAL-FORAM,339,U1390,A,38,38-CC,X,CC,PAL,FORAM,0,5,351.21,351.26,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,D,,P,,,,,,,,,,P,,,,,,5ec0a2c7e67d6a0df61007b597618d83
