Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1387B-1H-CC-PAL-FORAM,339,U1387,B,1,1-CC,H,CC,PAL,FORAM,0,5,8.87,8.92,,,G ,D ,D ,,,,,F ,,,,P ,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,F ,R ,F ,,,,,,,F ,,,
339-U1387B-2H-CC-PAL-FORAM,339,U1387,B,2,2-CC,H,CC,PAL,FORAM,0,5,18.66,18.71,,,G ,D ,A ,F ,,,,F ,,,,,R ,,,,,P ,,,,P ,P ,,,,,,,,,,,,,,,,,,F ,P ,F ,,,,,,,R ,,,
339-U1387B-3H-CC-PAL-FORAM,339,U1387,B,3,3-CC,H,CC,PAL,FORAM,0,5,28.09,28.14,,,G ,D ,A ,,,,,F ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,R ,,,
339-U1387B-4H-CC-PAL-FORAM,339,U1387,B,4,4-CC,H,CC,PAL,FORAM,0,5,37.76,37.81,,,VG ,D ,A ,F ,,,,F ,P ,,,,R ,P ,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,A ,,F ,,,,,,,,,,
339-U1387B-5H-CC-PAL-FORAM,339,U1387,B,5,5-CC,H,CC,PAL,FORAM,0,5,47.17,47.22,,,G ,D ,A ,F ,,,,A ,,,,,F ,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,R ,,R ,,,,,,,R ,,,
339-U1387B-6X-CC-PAL-FORAM,339,U1387,B,6,6-CC,X,CC,PAL,FORAM,0,5,56.09,56.14,,,G ,D ,A ,R ,,,,F ,,,P ,,R ,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,
339-U1387B-7X-CC-PAL-FORAM,339,U1387,B,7,7-CC,X,CC,PAL,FORAM,0,5,64.13,64.18,,,G ,D ,F ,F ,,P ,,R ,,,P ,,R ,,,,,,,,,P ,R ,,,,,,,,,,,P ,,,,,,,A ,R ,P ,,,,,,,R ,,,
339-U1387B-8X-CC-PAL-FORAM,339,U1387,B,8,8-CC,X,CC,PAL,FORAM,0,5,75.04,75.09,,,VG ,D ,A ,R ,,,,F ,,,R ,P ,P ,R ,,,,,,,,P ,,,,,,,,,,,,P ,,,P ,,,,F ,,R ,,,,,,,P ,,,
339-U1387B-9X-CC-PAL-FORAM,339,U1387,B,9,9-CC,X,CC,PAL,FORAM,0,5,76.55,76.6,,,VG ,D ,D ,F ,,,,R ,,,,P ,P ,P ,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,R ,,R ,,,,,,,,,,
339-U1387B-10X-CC-PAL-FORAM,339,U1387,B,10,10-CC,X,CC,PAL,FORAM,0,5,94.21,94.26,,,VG ,D ,A ,F ,,,,F ,,,,,R ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,P ,,,
