Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1386B-1H-CC-PAL-FORAM,339,U1386,B,1,1-CC,H,CC,PAL,FORAM,0,5,7.27,7.32,B,,G,D,F,F,,,,F,P,,,,R,,,,,P,,,,R,P,,,,,,,,,,,R,,,,,,,A,,R,,,,,,,,,,,0aea9094600c883ccb5e69aa301397ec
339-U1386B-2H-CC-PAL-FORAM,339,U1386,B,2,2-CC,H,CC,PAL,FORAM,0,5,17.23,17.28,B,,G,D,F,F,,,,F,,,,,P,R,,,,,,,,P,,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,R,,,,712ed448d29a19df3d1a0d225f47a344
339-U1386B-3H-CC-PAL-FORAM,339,U1386,B,3,3-CC,H,CC,PAL,FORAM,0,5,26.73,26.78,B,,M,D,A,P,,,,F,F,,,,,R,,,,P,,,,,,P,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,871d264c3d08cea67b66b3123de926e0
339-U1386B-5H-CC-PAL-FORAM,339,U1386,B,5,5-CC,H,CC,PAL,FORAM,0,5,45.84,45.89,B,,M,D,A,R,,,,F,R,,,,F,R,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,P,,,,2cbe90485d43df831732ee6f73c6ec64
339-U1386B-6H-CC-PAL-FORAM,339,U1386,B,6,6-CC,H,CC,PAL,FORAM,0,5,54.2,54.25,B,,G,D,A,B,,,,F,P,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,A,P,P,,,,,,,P,,,,b935bcb36155c56f9e8df27656063fb1
339-U1386B-7H-CC-PAL-FORAM,339,U1386,B,7,7-CC,H,CC,PAL,FORAM,0,5,65.05,65.1,B,,G,D,D,,,,,R,P,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,F,,F,,,,,,,R,,,,37e771cb4510bd1b61596e4e15ca59f5
339-U1386B-8H-CC-PAL-FORAM,339,U1386,B,8,8-CC,H,CC,PAL,FORAM,0,5,74.17,74.22,B,,M,D,F,F,,,,F,P,,,P,R,P,,,,,,,,,P,,,,,,,,,,,R,,,,,,,A,,P,,,,,,,R,,,,80a9365e23755d59204e688fc455d95d
339-U1386B-9H-CC-PAL-FORAM,339,U1386,B,9,9-CC,H,CC,PAL,FORAM,0,5,84,84.05,B,,M,D,F,B,,,,F,,,,,P,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,A,,P,,,,,,,R,,,,2076a1b9a3c02f00d4f9924e9551fef5
339-U1386B-10H-CC-PAL-FORAM,339,U1386,B,10,10-CC,H,CC,PAL,FORAM,0,5,93.31,93.36,B,,G,D,A,,,,,,,,,,F,,,,,,,,,P,F,,,,,,,,,,,R,,,,,,,A,R,F,,,,,,,,,,,73929fa1516c8625de592fcf9e6c0467
339-U1386B-11H-CC-PAL-FORAM,339,U1386,B,11,11-CC,H,CC,PAL,FORAM,0,5,102.83,102.88,B,,G,D,A,F,,,,P,F,,,,,,,,,,,,,,R,,,,,,,,,,,R,P,,,,,,F,,P,,,,,,,P,,,,75c7329f166fbea749b4f22591fc4dcd
