Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1388B-2X-CC-PAL-FORAM,339,U1388,B,2,2-CC,X,CC,PAL,FORAM,0,3,7.7,7.73,B,,VG,D,F,R,,,,A,,,,R,R,P,,,,,,,,P,,P,,,,,,,,,,P,,,,P,,,F,,F,,,,,,,P,,,,7f29a3363678a38de7d897ae5799acfa
339-U1388B-3X-CC-PAL-FORAM,339,U1388,B,3,3-CC,X,CC,PAL,FORAM,0,3,17.7,17.73,B,,VG,P,F,A,,,R,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,,,,,,,3f12e930978ad15bf528d357ea223bf2
339-U1388B-4X-CC-PAL-FORAM,339,U1388,B,4,4-CC,X,CC,PAL,FORAM,0,5,28.95,29.0,B,,M,P,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,,,,,,fine sand; few foraminifers,,,f1cc429bac95e7c49124c6e19666573e
339-U1388B-5X-CC-PAL-FORAM,339,U1388,B,5,5-CC,X,CC,PAL,FORAM,0,5,36.45,36.5,B,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almost barrenwell sorted fine sand,,,7d340acdce0a8321fbbb71af42e2e51e
339-U1388B-6X-CC-PAL-FORAM,339,U1388,B,6,6-CC,X,CC,PAL,FORAM,0,5,47.42,47.47,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fine sand,,,f588aa5dbef511372ecdefbd44cdd5e0
339-U1388B-7X-CC-PAL-FORAM,339,U1388,B,7,7-CC,X,CC,PAL,FORAM,0,5,56.09,56.14,B,,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 specimens: 1 each of G. bulloides, G. truncatulinoides (dex) and O. universa; coarser sand with shell fragments",,,2c2a5a7dcedf84b3c6073a869f0bb4b4
339-U1388B-8X-CC-PAL-FORAM,339,U1388,B,8,8-CC,X,CC,PAL,FORAM,0,10,63.3,63.4,B,,VG,P,D,P,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,A,,,,,,,,,,ca. 30 foraminifer specimens; shell gravel,,,14ee1b30729629ca86660e05ce4850e1
339-U1388B-9X-CC-PAL-FORAM,339,U1388,B,9,9-CC,X,CC,PAL,FORAM,0,5,74.13,74.18,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sorted fine sand,,,36d65381b3b68c332a92eb2e37745ff0
339-U1388B-10X-CC-PAL-FORAM,339,U1388,B,10,10-CC,X,CC,PAL,FORAM,0,5,85.87,85.92,B,,VG,D,A,,,,,F,,P,R,,,P,,,,P,,,,P,,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,,fine sand,,,d1bd0d737c5291e7383fed95cbe896fc
339-U1388B-11X-1-PAL-FORAM,339,U1388,B,11,11-1,X,1,PAL,FORAM,0,5,92.01,92.06,B,,VG,P,F,R,,,,D,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,7ae652394b96399e3feee294c569a258
339-U1388B-12X-CC-PAL-FORAM,339,U1388,B,12,12-CC,X,CC,PAL,FORAM,0,5,110.88,110.93,B,,VG,A,A,P,,,,F,,,,,R,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,A,P,F,,,,,,,R,,,,403d0491e990934c0dc914e8e2c87082
339-U1388B-13X-CC-PAL-FORAM,339,U1388,B,13,13-CC,X,CC,PAL,FORAM,0,5,120.66,120.71,B,,VG,A,A,,,,,,,,,,,,,,,P,,,,P,R,,,,,,,,,,,,,,,,,,D,P,,,,,,,,F,plant remains,,,8e377eff54741fe2f2ea95c15b320b6b
339-U1388B-14X-CC-PAL-FORAM,339,U1388,B,14,14-CC,X,CC,PAL,FORAM,0,5,130.14,130.19,B,,G,R,A,P,,,,F,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,D,P,,,,,,,,,,,,d8a4682eaa26ec93c144d590821d27cc
339-U1388B-15X-CC-PAL-FORAM,339,U1388,B,15,15-CC,X,CC,PAL,FORAM,0,5,139.81,139.86,B,,G,A,A,P,,,,F,,,,,R,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,,D,P,,,,,,,,P,,,,faca189c68d5e7e69ca93b115c7be223
339-U1388B-16X-CC-PAL-FORAM,339,U1388,B,16,16-CC,X,CC,PAL,FORAM,0,5,149.27,149.32,B,,G,A,A,P,,,,F,,,,,,P,,,,P,,P,,P,R,,,,,,,,,,,,,,,,,,A,P,R,P,,,,,,,,,,10a07a4ec80ccebc69dd1162aaf357d0
339-U1388B-17X-CC-PAL-FORAM,339,U1388,B,17,17-CC,X,CC,PAL,FORAM,0,5,151.74,151.79,B,,M,P,A,R,,,,F,,,,,R,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,A,,R,P,,,,,,P,,,,1f4d53ed7099b042573fd07a505210b8
339-U1388B-18X-CC-PAL-FORAM,339,U1388,B,18,18-CC,X,CC,PAL,FORAM,0,5,162.77,162.82,B,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almost barren; some specimens of G. ruber and N. pachyderma (d) were present,,,a7c0d1512fe93cb30979d56d043b4658
339-U1388B-19X-CC-PAL-FORAM,339,U1388,B,19,19-CC,X,CC,PAL,FORAM,0,5,177.97,178.02,B,,M,R,F,R,,,,F,,,,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,D,P,R,,,,,,,,,,,19c5f1a9761a94cf679a6f00310ecce1
339-U1388B-20X-CC-PAL-FORAM,339,U1388,B,20,20-CC,X,CC,PAL,FORAM,0,6,185.85,185.91,B,,G,A,A,R,,,,F,,,,,P,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,cba494395d331622689684a727a24aa9
339-U1388B-21X-CC-PAL-FORAM,339,U1388,B,21,21-CC,X,CC,PAL,FORAM,0,5,188.61,188.66,B,,G,P,F,P,,,,A,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,A,,,,,,,,,,,,,a6c611e056b13a837d81254aa4645cfa
339-U1388B-22X-CC-PAL-FORAM,339,U1388,B,22,22-CC,X,CC,PAL,FORAM,0,5,198.99,199.04,R,,VG,F,A,R,,,,A,,,P,,P,,P,,,,,R,,P,P,,,,,,,,,,,,,,,,,,A,,P,P,,,,,,,,,,975862119c772c4b426b7f35d3a8205f
339-U1388B-23X-CC-PAL-FORAM,339,U1388,B,23,23-CC,X,CC,PAL,FORAM,0,7,211.8,211.87,B,,VG,A,D,F,,,,F,,,,,P,P,,,,P,,R,,,P,,,,,,,,,,,P,,,P,,,,F,,R,,,,,,,P,,,,238e60e422cb042486328a37b7065f3b
339-U1388B-24X-CC-PAL-FORAM,339,U1388,B,24,24-CC,X,CC,PAL,FORAM,0,5,225.68,225.73,B,,VG,A,A,F,,,P,A,P,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,A,P,R,P,,,,,,P,,,,eb14c5c443dc538e8eb446ae7ca0f6b6
