Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella gemma,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group,eodp_id
321-U1337A-1H-CC,321,U1337,A,1,1-CC,H,CC,,,0,0,0.0,0.0,G,95.0,PT1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,P,P,R,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,R,,,,,P,,P,,,,,P,,,,,,,,D,,,,,,,,,,,,,,,A,F,,,,P,,,,,,,,,,,,,,,,P,A,,,,,,,P,,,,,,,,,,f59fad871839c072af638d1e415d6e97
321-U1337A-2H-4-W 134/136-FORAM,321,U1337,A,2,2-4,H,4,W,134/136-FORAM,0,0,11.34,11.34,M,29.0,PT1b,"Lack of zonal markers, but probably PT1b. Infilling and some fragmentation. <250 micron size fraction full of radiolaria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,D,,,,,,,,D,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,F,R,,R,,,,R?,,,,,,,,,,,7996ceea15647bd3f5261a1b2708b6e4
321-U1337A-2H-6-W 64/66-FORAM,321,U1337,A,2,2-6,H,6,W,64/66-FORAM,0,0,13.64,13.64,G,57.0,PT1a,Some infilling and fragmentation. <150 micron size fraction is radiolarian rich. Many more Globigerinoides than in other samples,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,P,P,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,F,F,,R,,,,,,,,,,6d3a4d1a50f78fbc6fb43d1af979b67a
321-U1337A-2H-CC,321,U1337,A,2,2-CC,H,CC,,,0,0,15.25,15.25,P,19.0,PT1a,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,P,,,,,,R,,,F,,A,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,F,,,,P,P,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,D,R,,,,R,,,,,,,,,,,,,,,,P,P,,,,,,,P,,,,,,,,,,ff5ef93d17ed16b43c178fa77a175335
321-U1337A-3H-3-W,321,U1337,A,3,3-3,H,3,W,,0,1,18.0,18.01,G,35.0,PT1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,P,R,,,,,,R,,,,,,,,,,54e6b74c1cd603c0cef58ccd4571066f
321-U1337A-3H-5-W,321,U1337,A,3,3-5,H,5,W,,0,1,21.0,21.01,G,49.0,PT1a,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,P,R,R,,,,,,F,,,,,,,,,,b58732e1e9956f79adb5b0a940d242ae
321-U1337A-3H-CC,321,U1337,A,3,3-CC,H,CC,,,0,0,24.77,24.77,P,7.0,PT1a,sinistral coiled Pulleniatina obuliquiloculata (around Olduvai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,D,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,A,,,,,,A,,,,,,,,,,0f54d26e1d2d49bfd25f101b8e2e8982
321-U1337A-4H-3-W 94/96-FORAM,321,U1337,A,4,4-3,H,3,W,94/96-FORAM,0,0,28.44,28.44,G,81.0,PT1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,F,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,A,,,R,,,,,,,,,,,,,,,,,,,F,R,,,,,,R,,,,,,,,,,4a3fe3eefc023a71dc44fce32cf017c2
321-U1337A-4H-5-W 9/11-FORAM,321,U1337,A,4,4-5,H,5,W,9/11-FORAM,0,0,30.59,30.59,G,77.0,PL6,sinistral coiled Pulleniatina obuliquiloculata (around Olduvai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,74a914a103968d374ca1f7fbbd4e4754
321-U1337A-4H-CC,321,U1337,A,4,4-CC,H,CC,,,0,0,34.27,34.27,G,61.0,PL6,sinistral coiled Pulleniatina obuliquiloculata (around Olduvai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,D,,,,,,,,,,,,,,,R,A,,,P,F,,,,,,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,,8e0aa95e957cd79bf2827dee85241367
