Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1387C-1W-CC-PAL-FORAM,339,U1387,C,1,1-CC,W,CC,PAL,FORAM,0,6,4.1,4.16,B ,,G ,D ,F ,R ,,,,F ,,,,P ,R ,,,,,,,,,P ,,,,,,,,,,,,,,P ,P ,,,,D ,P ,R ,,,,,,,,,,
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,B ,,G ,D ,F ,R ,,,,F ,,,,R ,R ,,,,,,,,,P ,P ,,,,,,,,,,,P ,B ,,,P ,,,R ,R ,P ,,,,,,,R ,,,
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,B ,,G ,D ,A ,P ,,,,F ,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,P ,,,F ,,,,,,,,,F ,,,
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,B ,,G ,D ,A ,R ,,,,F ,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,R ,,,A ,,R ,P ,,,,,,,,,
339-U1387C-6R-CC-PAL-FORAM,339,U1387,C,6,6-CC,R,CC,PAL,FORAM,0,5,336.25,336.3,B ,,G ,D ,A ,R ,,,,A ,,,,,R ,P ,,,,P ,,,,R ,P ,P ,,,,,,,,,,P ,,,,R ,,,A ,,F ,,,,,,,P ,,,
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346,346.05,B ,,VG ,D ,A ,A ,,,,A ,,,,,,,,,,P ,,,,P ,P ,P ,,,,,,,,,,P ,,,,F ,,,R ,,F ,,,,,,,P ,,,
339-U1387C-8R-CC-PAL-FORAM,339,U1387,C,8,8-CC,R,CC,PAL,FORAM,0,5,357.47,357.52,B ,,VG ,D ,F ,R ,,,,A ,,,,R ,,,,,,,,,,R ,P ,,,,,,,,,,,P ,,,,R ,,,R ,P ,F ,,,,,,,P ,,,
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,B ,,VG ,D ,F ,F ,,,,F ,,,,P ,,,,,,P ,,,,P ,P ,,,,,,,,,,,P ,,,,R ,,,F ,,P ,,,,,,,,,,
339-U1387C-10R-CC-PAL-FORAM,339,U1387,C,10,10-CC,R,CC,PAL,FORAM,0,5,376.49,376.54,B ,,G ,D ,F ,F ,,,,A ,,,P ,P ,,,,,,P ,,,,R ,P ,,,,,,,,,,,P ,,,,R ,,,F ,,F ,,,,,,,,,,
339-U1387C-12R-CC-PAL-FORAM,339,U1387,C,12,12-CC,R,CC,PAL,FORAM,0,5,395.41,395.46,B ,,VG ,D ,F ,R ,,P ,P ,F ,,,,,,,,,P ,,,,,P ,R ,,,,,,,,,,,,,P ,,F ,,P ,A ,,R ,,,,,,,P ,,,
