Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis,Pterocodon (?) ampla,Pterocodon (?) anteclinata,Pterocodon (?) poculum,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis,Sethochytris triconiscus,Spongatractus balbis,Spongatractus pachystylus,Stylotrochus nitidus,Theocorys acroria,Theocorys anaclasta,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon,Thyrsocyrtis tensa,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
342-U1403B-1H-CC-PAL,0,2,3.88,3.9,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,1,H,CC,PAL,f82b56facb130e45fcbff2689d6d6320
342-U1403B-2H-4-W 50/52-RADS,0,2,8.9,8.92,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,2,H,4,W,abd117cd3df227b9dee79f8079ffc0b4
342-U1403B-2H-CC-PAL,0,2,13.91,13.93,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,2,H,CC,PAL,2eda768e0c2d32ab616fcbaefb42551d
342-U1403B-3H-4-W 50/52-RADS,0,2,18.4,18.42,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,3,H,4,W,39c7cfe1ac27b444951d319149bc0bcb
342-U1403B-3H-6-W 5/7-RADS,0,2,20.95,20.97,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,3,H,6,W,fe52fb550dcbac7ec8ace39b58e9fce9
342-U1403B-3H-CC-PAL,0,2,22.89,22.91,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,3,H,CC,PAL,9e7d9cc7b7cfce501190385bb79b2b9d
342-U1403B-4H-3-W 93/95-RADS,0,2,22.83,22.85,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,4,H,3,W,ffa7f9152ea6eae0cf99989bbc7de8df
342-U1403B-4H-5-W 81/83-RADS,0,2,25.71,25.73,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,4,H,5,W,548ff3ffa0b7d75ceea53db5737cdc5d
342-U1403B-4H-CC-PAL,0,2,28.91,28.93,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,4,H,CC,PAL,88dbd855c14c7e8d30bc3ffd8cb7be34
342-U1403B-5H-2-W 12/14-RADS,0,2,30.02,30.04,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,5,H,2,W,6d58b10392b7be2b8714433f42c9b92f
342-U1403B-5H-CC-PAL,0,2,34.79,34.81,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,5,H,CC,PAL,a73006bf3c4a1aea6adaf435050faa7f
342-U1403B-6H-4-W 50/52-RADS,0,2,39.9,39.92,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,6,H,4,W,8f0608afd9921bf2c3f656093c3a48a8
342-U1403B-6H-5-W 68/70-RADS,0,2,41.58,41.6,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,6,H,5,W,9da5ed7a2cb0e7db27a6319b1b9d5571
342-U1403B-6H-CC-PAL,0,5,44.99,45.04,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,6,H,CC,PAL,eb4607eb8447d3913f281e8514a1f24a
342-U1403B-7H-1-W 68/70-RADS,0,2,45.08,45.1,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,7,H,1,W,77a2774d2d8e6bb48074b1b5a7ac7d40
342-U1403B-7H-5-W 68/70-RADS,0,2,51.08,51.1,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,7,H,5,W,7c0330e73e1f311b1b2db1360c4e5ce4
342-U1403B-7H-CC-PAL,0,2,54.31,54.33,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,7,H,CC,PAL,cfcd129dea3121751b0892187986c1ea
342-U1403B-8H-2-W 66/68-RADS,0,2,56.06,56.08,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,8,H,2,W,aa1d493a91fc3324ca15d4ecf912edcf
342-U1403B-8H-5-W 68/70-RADS,0,2,60.58,60.6,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,8,H,5,W,f157874c4789ae84947e2040fb26fec0
342-U1403B-8H-CC-PAL,0,2,63.96,63.98,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,8,H,CC,PAL,ae0063a118ab5d1496aef3b92d2d5184
342-U1403B-9H-3-W 50/52-RADS,0,2,66.9,66.92,,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,9,H,3,W,62a570dba7959bcdbe3aeb7221f06fc0
342-U1403B-9H-3-W 50/52-RADS,0,2,66.9,66.92,,,,,,P,,P,,,,,,,P,P,,P,P,P,,,,,,,,,,P,,P,,P,,,P,P,,,,,P,,,,P,,,,,,P,P,,P,,,,,,,P,,P,P,,,,,342,U1403,B,9,H,3,W,fe1492129ca447dfe91c26cf1b430f17
342-U1403B-10H-2-W 120/122-RADS,0,2,75.55,75.57,,,,G,A,P,,P,,,,,,,P,P,,P,,P,,,,,,,,,,P,,,,P,,,P,P,,,,,P,,,,P,,,,,,P,,P,P,,,,,,,P,P,P,P,,,,,342,U1403,B,10,H,2,W,a01c2c83dc2e483c5ff3418ed16f3881
342-U1403B-10H-5-W 50/52-RADS,0,2,79.25,79.27,,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,10,H,5,W,05974e89f2e8ece8cca307c053d038a1
342-U1403B-23X-1-W 31/32-RADS,0,1,176.21,176.22,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,23,X,1,W,58c875d1c036144375c01598f7d0d291
342-U1403B-23X-CC-W 33/34-RADS,0,1,179.44,179.45,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,23,X,CC,W,ce3444ac147a638f116fd75f1e6eaa83
342-U1403B-32X-CC-PAL,0,5,261.86,261.91,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,32,X,CC,PAL,7a72f9805502a4fc1ef70f0f8c1cb074
