Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1403B-19H-3-W 84/86-FORAM,342,U1403,B,19,19-3,H,3,W,84/86-FORAM,0,2,154.24,154.26,G [P21],R,B,R,B,D,P,,,2f13712144e17e5b67e4a4400ed6eafd
342-U1403B-19H-4-W 32/34-FORAM,342,U1403,B,19,19-4,H,4,W,32/34-FORAM,0,2,154.65,154.67,G [P21],R,B,P,B,D,P,,,8bfdfaee3d11df4989b5991300faf118
342-U1403B-29X-4-W 25/27-FORAM,342,U1403,B,29,29-4,X,4,W,25/27-FORAM,0,2,231.05,231.07,G [P21],D,P,B,R,D,P,,,c032339b7a37e5d5b7b209da9c65deb6
342-U1403B-30X-1-W 72/74-FORAM,342,U1403,B,30,30-1,X,1,W,72/74-FORAM,0,2,236.72,236.74,G [P21],D,F,B,B,D,F,,,cd0a9a068a2baa70481d7c7590bef5e8
342-U1403B-30X-2-W 61/63-FORAM,342,U1403,B,30,30-2,X,2,W,61/63-FORAM,0,2,238.11,238.13,G [P21],D,R,R,R,D,R,,,038a5b5ac4fecd52aefdb72e26cd9460
342-U1403B-30X-3-W 43/45-FORAM,342,U1403,B,30,30-3,X,3,W,43/45-FORAM,0,2,239.43,239.45,G [P21],D,P,P,P,D,R,,,71f3289b351eab5dd4399a15ab4b4a60
342-U1403B-30X-4-W 29/31-FORAM,342,U1403,B,30,30-4,X,4,W,29/31-FORAM,0,2,240.79,240.81,G [P21],D,F,R,B,D,R,,,580db4c76f465f19a98ce79a8e3d1c20
342-U1403B-31X-1-W 57/59-FORAM,342,U1403,B,31,31-1,X,1,W,57/59-FORAM,0,2,246.27,246.29,G [P21],D,F,B,P,D,P,,,0a20a868eed4e01ce4e714f7232d5fa0
342-U1403B-31X-2-W 95/97-FORAM,342,U1403,B,31,31-2,X,2,W,95/97-FORAM,0,2,248.15,248.17,M [P21],D,P,B,B,D,B,,,0046551775b30afe058fd9e0e364b4ea
342-U1403B-31X-3-W 95/97-FORAM,342,U1403,B,31,31-3,X,3,W,95/97-FORAM,0,2,249.65,249.67,G [P21],D,F,B,B,D,F,,,5314f935e790064de3876f0deca0fcce
342-U1403B-31X-4-W 89/91-FORAM,342,U1403,B,31,31-4,X,4,W,89/91-FORAM,0,2,251.09,251.11,G [P21],D,R,B,B,D,P,,,fa1c18259e3c0762856e11f5ce41aa6d
342-U1403B-32X-1-W 66/68-FORAM,342,U1403,B,32,32-1,X,1,W,66/68-FORAM,0,2,256.06,256.08,,b,,,,,,,,b7fcf38ec7fd4e0f5efcddf048edfe10
342-U1403B-32X-2-W 77/78-FORAM,342,U1403,B,32,32-2,X,2,W,77/78-FORAM,0,1,257.67,257.68,G [P21],D,R,B,P,D,R,,,83556a75ad3c86bd661b1d7a9f3ccf82
342-U1403B-32X-3-W 119/120-FORAM,342,U1403,B,32,32-3,X,3,W,119/120-FORAM,0,1,259.59,259.6,G [P21],D,B,B,B,D,B,,,0e12cb63ad9a60581a2ed697316b0cd8
342-U1403B-32X-4-W 86/87-FORAM,342,U1403,B,32,32-4,X,4,W,86/87-FORAM,0,1,260.76,260.77,M [P21],D,P,P,B,D,R,,,be16e899a133ae394b2b9c52828c4c54
342-U1403B-32X-5-W 22/24-FORAM,342,U1403,B,32,32-5,X,5,W,22/24-FORAM,0,2,261.32,261.34,G [P21],D,P,P,B,D,P,,,464130455ac734b189cd07d6a1dd3437
