Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1411B-1H-CC-PAL,342,U1411,B,1,1-CC,H,CC,PAL,0,8,0.85,0.93,VG [P21],P,P,,,,,,,F,,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,P,,,,F,,,,,,,,,,A,,,,,,,,P,,P,,,,,A,,,,,,,,,,,P,,F,,,,,,,,0acfb3803259b00763bf50a18c06731a
342-U1411B-2H-CC-PAL,342,U1411,B,2,2-CC,H,CC,PAL,0,8,10.8,10.88,M [P21],P,,,,,,,,P,,,,,P,P,,,,P,,,,,,,,,F,,,P,,,F,,,,,,,P,,P,P,P,,,,,,,,,,P,F,,,,P,,P,F,,,,,,,,,P,,,,,,,,P,,,,,P,A,,,,,,,,,,,,,,P,,,,,,,,d056184d52872c311d977caacadd9031
342-U1411B-3H-CC-PAL,342,U1411,B,3,3-CC,H,CC,PAL,0,8,20.22,20.3,P [P21],D,,,,,,,P,P,,,,F,,,,,,,P,,P,,,,,,,,,,,,F,,,,,P,,P,,,F,P,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,F,,,F,,,,,F,,,A,P,,,,,,,,F,,A,A,P,,,,,,,,,,,,c44d22abb42e135cad113f1f84bbbe26
342-U1411B-4H-CC-PAL,342,U1411,B,4,4-CC,H,CC,PAL,0,8,29.8,29.88,M [P21],D,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,P,F,,,,P,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,F,,,F,,P,,,,,,,,,,ebba742b54c819851d6840b2e05681f0
342-U1411B-5H-CC-PAL,342,U1411,B,5,5-CC,H,CC,PAL,0,8,39.3,39.38,M [P21],D,,,,,,,P,F,,,,,F,,,,,P,,,,,,,,,,,,,,,A,F,,,,,,,,,P,P,,,,,,,,F,,P,,,P,,,,,,,,,,P,F,P,,F,,,P,,F,,,,,,F,P,,P,,,F,,,,F,,,P,P,,,P,F,,,F,,,,4caf612450e12173365cdbfd807e4596
342-U1411B-6H-CC-PAL,342,U1411,B,6,6-CC,H,CC,PAL,0,7,48.91,48.98,M [P21],D,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,A,,,,,,,,P,,,,,,,,,,,F,,D,,,,,,,,,,,,,P,F,F,,,,,,,,,,,,,F,P,,F,,,,,,,F,,,P,,,,,,P,P,F,,,,070eb347949863cbe73f384708d86b89
342-U1411B-7H-CC-PAL,342,U1411,B,7,7-CC,H,CC,PAL,0,8,58.38,58.46,M [P21],D,,,,,,,,P,,,,,P,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,F,F,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,F,,,,F,,,A,,,,,P,,,P,,,,e091ade0167e7149076eb907fa803417
342-U1411B-8H-CC-PAL,342,U1411,B,8,8-CC,H,CC,PAL,0,8,67.94,68.02,M [P21],F,,,,,,,P,,,,,,,P,,,,P,P,P,P,,,,,P,,,,,,,P,,,,,P,,,,,,P,,,,,,,,P,,P,,,P,,,,,,,,,,,P,,,,,,,,,,,P,,P,,,,,,,,,,,P,,P,P,P,,,,,,P,,,,,86fcf64b5daffd2e808ae82b1510fbfc
342-U1411B-9H-CC-PAL,342,U1411,B,9,9-CC,H,CC,PAL,0,8,77.09,77.17,M [P21],A,,F,,P,,,P,,,P,,,,,,,,F,P,,,,,,,P,,,,P,,,A,F,,,,F,,P,,,,F,,,,,,,,P,,F,P,,F,,,P,,,,,,,,,P,P,,,,P,,,,,,,P,F,P,,,,,,,,,F,,P,P,,,,,,,,F,,,,b7ebb343db8cfd01aee654cdd38a61fc
342-U1411B-10H-CC-PAL,342,U1411,B,10,10-CC,H,CC,PAL,0,9,86.54,86.63,M [P21],P,F,,P,,,,,P,,,,,P,,,,,F,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,F,P,P,,,,F,,,,,P,,P,,F,,,,,,,,,A,,P,P,,,,P,,,,,,,,3948418e09d3299f142556fe78db5625
342-U1411B-11H-CC-PAL,342,U1411,B,11,11-CC,H,CC,PAL,0,8,96.21,96.29,P [P21],P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,only thick walled species are reserved -> dissolution,,,750e3ed11471739f7ef9689aebed4093
342-U1411B-12H-CC-PAL,342,U1411,B,12,12-CC,H,CC,PAL,0,8,105.32,105.4,M [P21],F,,,,,,,,,,,,,,P,,,,D,,,,,,,,,,,,,,,A,,,,,P,,,,,,P,,,,,,,,,,P,,,F,,,,,,,,,,,,F,P,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,,P,P,,,,,,188c80e951364d1e79ca28a5acb06257
342-U1411B-13H-CC-PAL,342,U1411,B,13,13-CC,H,CC,PAL,0,7,115.31,115.38,M [P21],A,,,F,,,,,,,P,,,P,,,,,D,,,,,,,,,,,,,,,F,P,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,A,P,,,P,,,P,,,,,,,,,4c3cb3acd70b1639fb3c5653e210b746
342-U1411B-14H-CC-PAL,342,U1411,B,14,14-CC,H,CC,PAL,0,5,124.4,124.45,M [P21],F,,F,,,,,,,,,,,,F,,,,A,P,,,,,,F,,,,,P,,,F,F,,,,F,,,,,P,P,,,,,P,P,,F,,,,,P,,,,,,,,,,P,,,,,,,,,F,,,P,,,P,,,,,,,,,,D,,P,F,,,,,,,,,,,,329fefcb357a42ef26b3239f4c343c5c
342-U1411B-15H-CC-PAL,342,U1411,B,15,15-CC,H,CC,PAL,0,5,133.55,133.6,G [P21],F,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,F,,,,P,,,,,,P,,,,F,,,,,,,,F,,,P,,P,,,,,,,,,,,P,,F,F,,,F,,,,,,,P,P,,,,,,,,,,D,,F,P,,,,,,,,F,,,,a4b44b77f833f0c2e299074ea3cdf654
342-U1411B-16H-6-PAL,342,U1411,B,16,16-6,H,6,PAL,0,27,141.11,141.38,G [P21],P,,,,,,,,P,,,,,,F,,,,P,P,,P,F,,,,,,F,,,,,,,,,,P,,,,,P,P,,,,,,P,,A,,,F,,,,,,,,,,,,P,,,P,F,,,F,,,,,P,,,P,,,,P,,,,,P,A,,,P,P,,,,,,,P,,,,f5b24a163a8ae3abb6b3177a40be7538
342-U1411B-17H-CC-PAL,342,U1411,B,17,17-CC,H,CC,PAL,0,7,153.28,153.35,G [P21],P,,,,P,,,P,F,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,P,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,P,,P,A,,,P,,,,,,,P,F,,,,,,,,,F,A,,P,A,,,,,,,,,,,,180714eec8c907049a9338f959f8de7b
342-U1411B-18H-CC-PAL,342,U1411,B,18,18-CC,H,CC,PAL,0,7,162.41,162.48,VG [P21],P,,,,,,,P,,,,,,P,P,,,,F,,,P,F,,,P,F,,F,,,,,P,P,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,P,,,,P,,,,,,,,,,,P,P,,,,,,F,,,,,,,,,P,,,,,,5ae75625b15a5855e3e958c47935fb18
342-U1411B-19H-CC-PAL,342,U1411,B,19,19-CC,H,CC,PAL,0,7,172.34,172.41,G [P21],P,,,,,,,F,F,,,,,,P,,,,F,,,F,P,,P,P,,,F,,,,,F,F,,,,F,,,,,F,,,,,,,,,A,,,P,,,,,,,,,,,,,F,,F,F,,,F,,F,,,,,,P,P,,,P,,,,,,F,,P,F,,,,P,,P,P,F,,,,cd5e41a622cd3d9ae911b7e9fc5baf37
342-U1411B-20H-4-PAL,342,U1411,B,20,20-4,H,4,PAL,0,5,177.37,177.42,G [P21],P,F,,,,,,,P,,,,,,,,,,P,F,,,F,,,,,,P,,,,,F,,,,,P,,,,,F,F,,,,,,F,,P,,,P,,F,,,,,,,,,,,P,F,,P,,,F,,F,,,F,,,,,,P,F,,,,,F,A,,P,A,,,,,,,,,,,,3a0093572741df636e4a6afacf6237f4
342-U1411B-21X-CC-PAL,342,U1411,B,21,21-CC,X,CC,PAL,0,8,178.01,178.09,M [P21],P,,P,,,,P,P,F,,,,,,F,,,,,,,F,F,,,P,F,,A,,,,,F,F,,,,,,,,,F,F,,,,,,,,F,,F,F,,P,,,,,,,,,,,,,,,,,,F,F,,,F,,,A,,,,,P,,,,P,F,,P,F,P,,,,,A,F,,,,,873c4f9aa7afd7d587abeef06287b33f
342-U1411B-22X-CC-PAL,342,U1411,B,22,22-CC,X,CC,PAL,0,9,187.3,187.39,G [P21],P,,P,,,,P,,F,,,,,P,P,,,,,F,,P,F,,,,P,,F,,,,,F,,,,,P,,,,,F,,,,,,,,,P,,,P,,F,,,P,,,,,,,,,,P,,,,F,,,,,F,,,F,P,,,,,,,,F,F,,P,F,,,,,,P,P,F,,,,2e1e3023d1467d12e8f9824ae5d642d9
342-U1411B-23X-CC-PAL,342,U1411,B,23,23-CC,X,CC,PAL,0,10,205.2,205.3,G [P21],P,,F,,,,,,F,,,,,,,,,,A,F,,P,,,,,P,,A,,P,,,A,F,,,,P,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,F,,F,P,,F,,P,F,,P,,,P,,,A,P,,P,P,,,,,,A,,,A,,,,P,,P,,F,,,,c846b8691f8926caf01e89c57c086708
