Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data,eodp_id
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,,,,,,,R,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0b804354ced1142c7080a516220e5920
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932b93af84c7d8c3fd5a17064cde46d5
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,,,,,,,P,,R,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,be96b0162485026487311dbc482657ef
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,225b41d862889190c244f9101a7c9ade
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,,,,,,,,,,,A,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25a4dd59663a226d0e01f72063291102
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,9886babf764f4d2716e6133edc8f3c70
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,,,,,,,,,F,R,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,8ffb0bb9a84ff342539815f8df0f816d
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,540b4f7853f80e031d6c04407f322b9b
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355cb1a587968c233e2985f4f71040f3
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3001407fc4b8b5e794b6f824e45d8c7
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,P,,,,,,,P,,,,,,893d9caef92cf70cb9e1f9fd931add87
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,,,,,,,R,,P,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,8d61ae8f78109a99ec66f63fdd29f50a
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,,,,,,,P,,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,P,,,P,,,,,,,R,,,,,,e9f0404605c0f2ca8c7935fa40bf29d1
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,3461ab8014b3866c029bc82c905b902f
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,,,,,,,P,,F,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,f31e5053120d69800b787ea23bac9846
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,,,,,,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7c5eb1fe2e8d8f02a2b436eed893099
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,fb0dbff2fb3826d19a22fe774229c2ea
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02b4d12183804ed561749ffb3edc1e35
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,,,,,,,R,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,37db8bc48ab05a86cdb4acea2573e2bf
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad795450d311e7a42bd0267ae1fcb38e
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,08e52865088a4166d7651c5950c37bbd
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df00ba0c10b97ea888cb6a9f02e54bb
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,fcfc104e29e78f2575742bb6d687813a
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,3ee06c7c4a1a99240756e293643d377d
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,58990e2c1e2cc70f4a502a8a50aa4012
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6cdf2fe97799310b7b8c45d2444e27dd
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debfe4db607c3117d10191895f6d8f49
