Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,eodp_id
339-U1390C-1H-CC-PAL-NANNO,339,U1390,C,1,1-CC,H,CC,PAL,NANNO,0,5,4.35,4.4,G,A,,,,,,,F,F,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,C,F,F,,A,,,R,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,F,,,,,,F,,,5daf698f9d2d99eca18ee0585510dca9
339-U1390C-2H-CC-PAL-NANNO,339,U1390,C,2,2-CC,H,CC,PAL,NANNO,0,5,14.31,14.36,M-P,A,,,,,,,,F,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,F,,,C,F,F,,A,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,9e5e4ad518d975b9d9de9a4c4d8362b6
339-U1390C-3H-CC-PAL-NANNO,339,U1390,C,3,3-CC,H,CC,PAL,NANNO,0,5,23.47,23.52,G,A,,,,,,,,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,,,C,F,F,,C,,,F,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,C,,,eb761a9df5e65db1df66787269534d06
339-U1390C-4H-CC-PAL-NANNO,339,U1390,C,4,4-CC,H,CC,PAL,NANNO,0,6,33.38,33.44,M-P,VA,,,,,,R,,F,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,C,,,,A,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,C,,,747c82752177cfad539d94764f9c2ac5
339-U1390C-5H-CC-PAL-NANNO,339,U1390,C,5,5-CC,H,CC,PAL,NANNO,0,5,42.71,42.76,G,A,,,,,,F,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,R,,,C,,R,,C,,,F,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,C,,,4850d2df30c7f649c5793d56277ab700
339-U1390C-6H-CC-PAL-NANNO,339,U1390,C,6,6-CC,H,CC,PAL,NANNO,0,5,52.66,52.71,G,A,,,,,,F,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,C,,R,,C,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,4225cf947b12a5a940b84781762895ae
339-U1390C-7H-CC-PAL-NANNO,339,U1390,C,7,7-CC,H,CC,PAL,NANNO,0,5,61.82,61.87,G,A,,,,,,F,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,C,,F,,C,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,e93a6bf4a06b275d7f11ddbc3c78d734
339-U1390C-8H-CC-PAL-NANNO,339,U1390,C,8,8-CC,H,CC,PAL,NANNO,0,5,71.66,71.71,G,A,,,,,,F,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,C,,R,,C,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,R,,,576fbc116803395464c516f694497dd4
339-U1390C-9H-CC-PAL-NANNO,339,U1390,C,9,9-CC,H,CC,PAL,NANNO,0,5,81.63,81.68,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,C,,A,,F,,,F,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,b6c1a53fdbb31683936ef26b5ae805fd
339-U1390C-10H-CC-PAL-NANNO,339,U1390,C,10,10-CC,H,CC,PAL,NANNO,0,5,90.69,90.74,G,VA,,,,,,R,,R,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,C,,C,,A,,,F,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,28adc0f6f900a499e6cac0a04f42cb2a
339-U1390C-11H-CC-PAL-NANNO,339,U1390,C,11,11-CC,H,CC,PAL,NANNO,0,5,100.23,100.28,G,VA,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,F,,R,,C,,,F,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,F,,,1105187bd14ed6fc8a79fd3fbb24d670
339-U1390C-12H-CC-PAL-NANNO,339,U1390,C,12,12-CC,H,CC,PAL,NANNO,0,5,108.88,108.93,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,R,,R,,,F,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,F,,,,,,R,,,9340afcfdf18a2d44c83e94d172e4f12
339-U1390C-13H-CC-PAL-NANNO,339,U1390,C,13,13-CC,H,CC,PAL,NANNO,0,5,119.8,119.85,M-P,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,F,,C,,C,,,F,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,F,,,,,,F,,,2f2abee881de34c0fe179217600f6e1f
