Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneulinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,,,,P,,,,,,4ccb050a1bb09040b9516d1f5714880e
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,,,,,,P,R,,P,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,,R,,,,,,de6f288dac0184a09090c957edd6aec3
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,P,,,,,,65aac0a8451a65fa1833fd1ef8b1a751
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,,P,,,,,,2163607b322e1134a53adaf9e8b8557e
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,,,P,,,P,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,7122505ae9e2176823dbd2087a857208
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,P,A,,,,,,,,,,,,461d153f3204a33e23142d35454d4de9
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,,,P,,,P,,,P,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,,,P,,,,,,40c845071a7b58fcaa3d1b1c0b26a3af
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,7615f056daa4e5fbac6b1cc7aecfdcce
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,,,P,,,F,,,R,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,f8646c88bf9af9f194e36d731a1ac3fb
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,,P,R,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,R,R,,,,,,,,,,,,8a69a0f07238df29c7e1fb36cabd3a61
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,R,R,A,,,,,,,,,,,,f5445c86ae92ab2f58c8194e8e877cb0
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,709e1efacd4651ddb5f29b1a23655365
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,,,P,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,11dcb0f2af9c530fb19dcc631b0d6742
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,c260796794dd4ab0b2a50a0d9de17c1e
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,3a720478ca9fdd1ea2bf612b11bfbb82
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,9118c6b92c9750a607e8b55c65980dd6
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,P,F,,,,,,P,,,,,,2548d3ed0c25cf6512701fdc72a009bf
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,e6d91f809bb5ffae8a29a54b5a63fbbe
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,9874472f984577f14eba126faf24dcbc
