Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1386B-38X-CC-PAL-FORAM,339,U1386,B,38,38-CC,X,CC,PAL,FORAM,0,5,350.3,350.35,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,P,,D,,R,,,,,,,,,,,,,,,,3a4750638a79b51c8812cd1fff9fc976
339-U1386B-39X-CC-PAL-FORAM,339,U1386,B,39,39-CC,X,CC,PAL,FORAM,0,5,359.75,359.8,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,P,R,,,,R,,,,,,,,,,,,f864b231fd9442b8f0e788a3656491fe
339-U1386B-40X-CC-PAL-FORAM,339,U1386,B,40,40-CC,X,CC,PAL,FORAM,0,5,369.26,369.31,M,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,P,,,,R,,,,R,,,,,,,,46ac65602b5a85177237dcc856580fe0
339-U1386B-41X-CC-PAL-FORAM,339,U1386,B,41,41-CC,X,CC,PAL,FORAM,0,5,379.29,379.34,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,F,,,,F,,R,R,R,,R,,,,,,0faa06b80270e13e71ee92ec1cdeab89
339-U1386B-42X-CC-PAL-FORAM,339,U1386,B,42,42-CC,X,CC,PAL,FORAM,0,5,388.52,388.57,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,A,,F,,,,F,,,P,,,,,,,,,67a6131065d1fa7973f2694431479df7
339-U1386B-43X-CC-PAL-FORAM,339,U1386,B,43,43-CC,X,CC,PAL,FORAM,0,5,398.03,398.08,M,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,R,,,,,,,,,,R,,,,,,b4d5343c6df5463f14b3c6b17a9462d8
339-U1386B-46X-CC-PAL-FORAM,339,U1386,B,46,46-CC,X,CC,PAL,FORAM,0,5,423.61,423.66,M-P,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,R,,,,,,,f288195ac686a66fbcffdd4155d0b10b
339-U1386B-48X-CC-PAL-FORAM,339,U1386,B,48,48-CC,X,CC,PAL,FORAM,0,5,446.62,446.67,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,R,,,D,,F,,,,,,R,,R,,,,,,,,b54c1018278a62aca71a5e1728c2cf40
339-U1386B-49X-CC-PAL-FORAM,339,U1386,B,49,49-CC,X,CC,PAL,FORAM,0,5,451.11,451.16,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,A,F,,,,,,,,,,,P,,,,,,8d4efc371f1bcb4ff1a63925752d3601
339-U1386B-50X-CC-PAL-FORAM,339,U1386,B,50,50-CC,X,CC,PAL,FORAM,0,5,455.73,455.78,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,P,,,,R,,,,,,,,e08f3730cbf0ebc6b71a9cc452a174c3
