Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1410A-1H-CC-PAL,342,U1410,A,1,1-CC,H,CC,PAL,0,11,8.42,8.53,VG [P21],P,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,P,P,,F,,,F,,,,P,,,,,P,,,,,,,F,,,,,,,F,,,,,,,,,,A,,,F,,,,P,,,,,,,,,,,,,A,,,,F,,,,eab4c391fb780446e7e438df811ca16b
342-U1410A-1H-CC-PAL,342,U1410,A,1,1-CC,H,CC,PAL,0,11,8.42,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080ab28ef157aef9d72f0f9a4b6673ad
342-U1410A-2H-CC-PAL,342,U1410,A,2,2-CC,H,CC,PAL,0,11,18.3,18.41,M [P21],P,,,,,,,,,,,P,,,,,,,F,,,,,,,,,A,,,F,,,F,,,,,,,P,P,F,F,,,,,,,P,,,,,,,,,,,,F,,,,,,,P,,P,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,P,,,,P,,,,b2695ebfae28a3261eea2544b7fb504e
342-U1410A-2H-CC-PAL,342,U1410,A,2,2-CC,H,CC,PAL,0,11,18.3,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c0d221d7cc2c97528bc910b6039d5889
342-U1410A-3H-CC-PAL,342,U1410,A,3,3-CC,H,CC,PAL,0,7,27.84,27.91,M [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,A,,,F,,,,,F,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,,,,P,P,F,,,,,,,,A,,,,,F,,P,,,,,,,,,P,,,,F,,,,,,,,2e851c6761f73b171e301aeb0f96ff5a
342-U1410A-4H-CC-PAL,342,U1410,A,4,4-CC,H,CC,PAL,0,10,37.47,37.57,G [P21],P,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,F,,,A,,,,,,,,,,P,F,,,,,,,,,,F,,,F,P,,,,,,,,,,,,,,,,,,P,,,F,,P,P,,,,P,,,,,,,,F,F,,,,A,F,P,,P,,,,dd08cd47559ff4867e4b157a07e712ca
342-U1410A-4H-CC-PAL,342,U1410,A,4,4-CC,H,CC,PAL,0,10,37.47,37.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0a9d56a61f2f23934a02e3060692062
342-U1410A-5H-CC-PAL,342,U1410,A,5,5-CC,H,CC,PAL,0,10,46.4,46.5,M [P21],F,,,,,,,,F,,,,F,P,F,,,,A,,,,,,,,,,,,F,,,F,P,,,,,,,F,,F,,,,,,,P,,A,,,,,P,P,,,,,,,,,,P,F,F,,,,P,,A,,,F,,,P,,,,,,,,,,P,,F,A,,,,P,,F,P,F,,,,f6cd34552a3e1f5e4a4abcda9446669e
342-U1410A-6H-CC-PAL,342,U1410,A,6,6-CC,H,CC,PAL,0,8,56.16,56.24,P [P21],R,,,,,,,,P,,,,P,,,,,,P,P,,,,,,,,,,,P,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,P,,,,,,,,,,,,,P,P,,,P,,,,,P,poor preservation and only few specimens so all rated P,,,10e2aab7ab253b7083e71369a89a090f
342-U1410A-7H-CC-PAL,342,U1410,A,7,7-CC,H,CC,PAL,0,10,65.61,65.71,VG [P21],P,,F,,,,F,,A,,,,P,,P,,,,A,F,,P,F,,,F,,,F,,,,,F,,,,,,,,,,P,P,,,,,P,F,,F,,,F,,F,,,,,,,,,A,,,F,P,A,,,P,,F,,P,F,,,P,,,F,P,,,P,,P,F,,P,F,,,,,,,P,F,,,,566e5f91163ae418f7d1754fcd990d49
