Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,Amaurolithus delicatus,Amaurolithus primus,Arkhangelskiella sp.,Amaurolithus tricorniculatus,Biantholithus sparsus,Bomolithus elegans,Bramletteus serrculoides,Camplyosphera eodela,Calcidiscus leptoporus,Calcidiscus mcintyrei,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus  rugosus,Ceratolithus telesmus,Chiasmolithus bidens,Chiasmolithus consuetus,Chiasmolithus danicus,Chiasmolithus expansus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamuruensis,Chiasmolithus solitus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Cribrocentrum reticulatum,Cruciplacolithus nitidus,Cruciplacolithus primus,Cyclicargolithus abisectus,Cyclicargolithus floridans,Cyclogalesphaera alta,Dictyococcites bisectus,Dictyococcites daviesii,Discoaster adamanteus,Discoaster asymetricus,Discoaster barbadensis,Discoaster bellus,Discoaster bergrenii,Discoaster bifax,Discoaster bolli,Discoaster braarudi,Discoaster brouwerii,Discoaster challengerii,Discoaster deflandreii,Discoaster diastypus,Discoaster druggi,Discoaster exilis,Discoaster hamatus,Discoaster kuglerii,Discoaster kuepperii,Discoaster lodoensis,Discoaster loeblichi,Discoaster mendomobensis,Discoaster mohleri,Discoaster moori,Discoaster multiradiatus,Discoaster musicus,Discoaster neohamatus,Discoaster nobilis,Discoaster nodifer,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster quintatus,Discoaster saipanensis,Discoaster signus,Discoaster strictus,Discoaster sublodoensis,Discoaster tamalus,Discoaster tanii,Discoaster variabilis,Eiffellithus gorkae,Eiffellithus turriseiffelii,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cava,Ericsonia formosa,Ericsonia insolita,Ericsonia ovalis,Ericsonia robusta,Fasciculithus alanii,Fasciculithus pileatus,Fasciculithus typaniformis,Gephyrocapsa sp.,Gyphyrocapsa caribbeanica,Gyphyrocapsa oceania,Heliolithus klienpelli,Hayaster perplexus,Helicosphaera ampliaperta,Helicosphera inversa,Helicosphaera kamptnerii,Helicosphaera recta,Helicosphaera sellii,Illselithina fusa,Isthmolithus recurvus,Lanternolithus minutus,Lophodolithus nascens,Markalius astroporus,Micrantholithus flos,Micula concava,Micrantholithus inequalaris,Micrantholithus pinguis,Neochiastozygus perfectus,Nephrolithus frequens,Neochiastozygus primitivus,Orthorhabdulus serratus,Pontesphaera multipora,Prinsius dimorphus,Prinsius bisulcus,Prinsius martini,Psuedoemiliania annula,Psuedoemiliania lacunosa,Psuedotriquetrorhabdus inversus,Reticulafenestra dictyoda,Reticulafenestra gartnerii,Reticulafenestra hillae,Reticulafenestra minuta,Reticulafenestra oamaruensis,Reticulafenestra perplexa,Reticulafenestra psuedoumbilica,Reticulafenestra rotaria,Reticulafenestra umbilica,Reticulafenestra samidurovii,Rhabdospaera claviger,Rhabdospaera inflata,Sphenolithus anarrhopus,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus ciperoensis,Sphenolithus conspicuous,Sphenolithus delphix,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus furcatalithoides,Sphenolithus heteromorpha,Sphenolithus neoabies,Sphenolithus orphanknollensis,Sphenolithus predistentus,Sphenolithus primus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus stellatus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius pertusis,Tranversipontus obliquipons,Tranversipontus pulcher,Triquetrorhabdus rugosus,Triquetrorhabdus carniatus,Umbilicosphaera sigbogae,Comment,FileData,eodp_id
330-U1372A-1R-CC-PAL-SED,330,U1372,A,1,1-CC,R,CC,PAL,SED,0,10,0.0,0.1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10a9a4b87c3a534b33b618c7c8921ddb
330-U1372A-2R-1-W 0/1-NANNO-NANNO,330,U1372,A,2,2-1,R,1,W,0/1-NANNO-NANNO,0,1,0.1,0.11,,M,,,,,,,,,F,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc46bc97758a3ed10e4f72e38c3f6016
330-U1372A-2R-2-W 0/1-NANNO96   -NANNO,330,U1372,A,2,2-2,R,2,W,0/1-NANNO96   -NANNO,0,1,1.15,1.16,,M,,,,,,,,,F,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16ddcf79e96259c8b065fc29cba3c82e
330-U1372A-2R-3-W 0/1-NANNO97   -NANNO,330,U1372,A,2,2-3,R,3,W,0/1-NANNO97   -NANNO,0,1,2.34,2.35,,M,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97aad3756bd085f8d97d4198ed6221a0
330-U1372A-2R-4-W 0/1-NANNO98   -NANNO,330,U1372,A,2,2-4,R,4,W,0/1-NANNO98   -NANNO,0,1,3.73,3.74,,M,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,,,,R,,R,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfa66e6154833cb6cd968846a62a270
330-U1372A-2R-5-W 0/1-NANNO99   -NANNO,330,U1372,A,2,2-5,R,5,W,0/1-NANNO99   -NANNO,0,1,5.07,5.08,,M,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,,,R,,R,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320a1dc61953cfc4caeca4f9e4f3c97b
330-U1372A-2R-6-W 0/1-NANNO0    -NANNO,330,U1372,A,2,2-6,R,6,W,0/1-NANNO0    -NANNO,0,1,6.53,6.54,,M,,,,,,,,,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31a728567845474c05ce78e83ee8c306
330-U1372A-2R-CC-SED,330,U1372,A,2,2-CC,R,CC,SED,,0,10,7.47,7.57,,M,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1a3b97508fd0875965b1ee3b1c702e5
330-U1372A-3R-1-W 0/1-NANNO1    -NANNO,330,U1372,A,3,3-1,R,1,W,0/1-NANNO1    -NANNO,0,1,9.7,9.71,,M,R,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,R,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,7d34fdebba250a0e6d11665e280086f7
330-U1372A-3R-2-W 0/1-NANNO2    -NANNO,330,U1372,A,3,3-2,R,2,W,0/1-NANNO2    -NANNO,0,1,10.9,10.91,,M,R,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,R,F,,,,,,,,,,,,,,,R,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,fe020e2d27a0351c46d6ef29d679d470
330-U1372A-3R-CC-SED,330,U1372,A,3,3-CC,R,CC,SED,,0,10,11.91,12.01,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae3ca39315f67d13ec158bb1547a0ba7
