Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1385D-1H-CC-PAL-FORAM,339,U1385,D,1,1-CC,H,CC,PAL,FORAM,0,5,6.94,6.99,B,,G,D,A,P,,,,F,,,,,P,R,,,,,,,,P,P,,,,,,,,,,,F,,,,,,,A,R,R,,,,,,,P,,
339-U1385D-2H-CC-PAL-FORAM,339,U1385,D,2,2-CC,H,CC,PAL,FORAM,0,5,16.84,16.89,B,,G,D,A,P,,,,F,,,P,,R,R,,,,,,P,,R,,P,,,,,,,,,,P,,,,,,,R,,R,,,,,,,P,,
339-U1385D-3H-CC-PAL-FORAM,339,U1385,D,3,3-CC,H,CC,PAL,FORAM,0,5,26.3,26.35,B,,G,D,A,P,,,,F,,,P,,R,R,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,P,,
339-U1385D-4H-CC-PAL-FORAM,339,U1385,D,4,4-CC,H,CC,PAL,FORAM,0,5,36.03,36.08,B,,G,D,A,P,,,,A,,,P,,R,R,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,P,,
339-U1385D-5H-CC-PAL-FORAM,339,U1385,D,5,5-CC,H,CC,PAL,FORAM,0,5,42.68,42.73,B,,G,D,D,A,F,,,A,,,,,R,P,,,,,,,,P,P,P,,,,,,,,,,P,,,,,,,A,,P,,,,,,,P,,
339-U1385D-6H-CC-PAL-FORAM,339,U1385,D,6,6-CC,H,CC,PAL,FORAM,0,5,51.89,51.94,B,,G,D,A,A,,,P,A,,,P,,R,,,,,,,,,,P,,,,,,,,,,,P,,P,,,,,A,,F,P,,,,,,P,,
339-U1385D-7H-CC-PAL-FORAM,339,U1385,D,7,7-CC,H,CC,PAL,FORAM,0,5,61.29,61.34,B,,G,D,A,F,,,,F,P,,P,,R,,P,,,,,,,R,P,,,,,,,,,,,R,,,,,,,A,,F,,,,,,,R,,
339-U1385D-8H-CC-PAL-FORAM,339,U1385,D,8,8-CC,H,CC,PAL,FORAM,0,3,70.82,70.85,B,,G,D,A,F,,,P,F,,,,,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,F,R,R,,,,,,,R,,
339-U1385D-9H-CC-PAL-FORAM,339,U1385,D,9,9-CC,H,CC,PAL,FORAM,0,5,80.43,80.48,B,,G,D,F,P,,,,F,,,P,R,P,,,,,,,,,R,P,,,,,,,,,,,P,,,,,,,R,R,F,,,,,,,,,
339-U1385D-10H-CC-PAL-FORAM,339,U1385,D,10,10-CC,H,CC,PAL,FORAM,0,4,89.9,89.94,B,,G,D,A,P,,,,F,,,P,,P,,,,,,,,,R,P,,,,,,,,,,,P,,,,,,,R,R,R,,,,,,,P,,
339-U1385D-11H-CC-PAL-FORAM,339,U1385,D,11,11-CC,H,CC,PAL,FORAM,0,3,99.37,99.4,B,,G,D,A,R,,,,F,,,P,,R,,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,,R,R,,,,,,,P,,
339-U1385D-12H-CC-PAL-FORAM,339,U1385,D,12,12-CC,H,CC,PAL,FORAM,0,5,108.86,108.91,B,,G,D,D,R,,,,R,,,,,P,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,R,P,R,,,,,,,P,,
339-U1385D-13H-CC-PAL-FORAM,339,U1385,D,13,13-CC,H,CC,PAL,FORAM,0,5,118.73,118.78,B,,G,D,A,R,,,,A,,,,,P,,,,,P,,,,R,,,,,,,,,,,,P,,,,,,,A,P,P,,,,,,,P,,
339-U1385D-14H-CC-PAL-FORAM,339,U1385,D,14,14-CC,H,CC,PAL,FORAM,0,5,127.82,127.87,B,,G,D,R,F,,,,F,,P,,P,R,,,,,P,,,,P,,,,,,,,,,,,P,,,,,,,A,,P,F,,,,,,,,
339-U1385D-15H-CC-PAL-FORAM,339,U1385,D,15,15-CC,H,CC,PAL,FORAM,0,5,137.02,137.07,B,,G,D,F,R,,,,F,,,,,P,,,,,P,,,,R,,,,,,,,,,,,P,,,,P,,,A,P,P,,,,,,,,,
339-U1385D-16H-CC-PAL-FORAM,339,U1385,D,16,16-CC,H,CC,PAL,FORAM,0,5,146.97,147.02,B,,G,D,F,P,,,,F,,,,,P,,,,,,,,,P,,P,,,,,,,,,,F,,,,R,,,A,R,R,,,,,,,R,,
