Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis,Pterocodon (?) ampla,Pterocodon (?) anteclinata,Pterocodon (?) poculum,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis,Sethochytris triconiscus,Spongatractus balbis,Spongatractus pachystylus,Stylotrochus nitidus,Theocorys acroria,Theocorys anaclasta,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon,Thyrsocyrtis tensa,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
342-U1406A-1H-CC-PAL,0,5,6.2,6.25,,,,P [P22],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,1,H,CC,PAL,05e0f81cf8e031eaed2757f60ac06738
342-U1406A-2H-CC-PAL,0,5,16.01,16.06,RN03,RN03 - Stichocorys wolffii,T Dorcadospyris dentata (Gradstein et al. 2012),M [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,2,H,CC,PAL,95a783571f88bbe1de72fcda3edae94b
342-U1406A-3H-CC-PAL,0,5,25.46,25.51,RN03,RN03 - Stichocorys wolffii,B Stichocorys wolffii (Gradstein et al. 2012),M [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,3,H,CC,PAL,09d554e7c54d240675c5280c44b48556
342-U1406A-4H-CC-PAL,0,5,35.04,35.09,RN02,RN02 - Stichocorys delmontensis,,M [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,4,H,CC,PAL,2fa205ba351c031fbe2cd423ee445621
342-U1406A-5H-CC-PAL,0,8,44.39,44.47,RN02,RN02 - Stichocorys delmontensis,,G [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,5,H,CC,PAL,0fb0410c7094a6ff2f805409d959368e
342-U1406A-6H-CC-PAL,0,7,53.89,53.96,RN02,RN02 - Stichocorys delmontensis,,G [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,6,H,CC,PAL,5c55e88abc29cf9af06081ef4a8cc285
342-U1406A-7H-CC-PAL,0,8,63.61,63.69,RN02,RN02 - Stichocorys delmontensis,,G [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,7,H,CC,PAL,a276f112a4eb72fa1da159d5bd08f886
342-U1406A-8H-7-PAL,0,8,72.59,72.67,RN02,RN02 - Stichocorys delmontensis,,M [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,8,H,7,PAL,d7990b0c890a230a3e2d51ce9a6d35a5
342-U1406A-9H-CC-PAL,0,9,82.59,82.68,RP22,RP22 - Lychnocanoma elongata,,G [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,9,H,CC,PAL,0bebceaa355bcc093a3f79bd0bbe574c
342-U1406A-10H-7-PAL,0,7,91.61,91.68,RP22,RP22 - Lychnocanoma elongata,,G [P22],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,10,H,7,PAL,47834d440804e40478e1142f7624d679
342-U1406A-11H-CC-PAL,0,5,101.49,101.54,RP22,RP22 - Lychnocanoma elongata,,M [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,11,H,CC,PAL,471d17414332c2b46c654c545e54f886
342-U1406A-12H-7-PAL,0,7,110.66,110.73,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,12,H,7,PAL,a27ad8ba43c3ce9b5b7aafa2a3eec107
342-U1406A-13H-7-PAL,0,15,119.98,120.13,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,13,H,7,PAL,4d0a5d2ea09176ce5c401d6172d8ef20
342-U1406A-14H-CC-PAL,0,6,128.52,128.58,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,14,H,CC,PAL,bd9fec94ae59f00b40951a7c4b5125b0
342-U1406A-15H-CC-PAL,0,7,139.64,139.71,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,15,H,CC,PAL,7a55680888ca0e5b672f2ffc1e8df35c
342-U1406A-16H-CC-PAL,0,13,147.97,148.1,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,16,H,CC,PAL,854413dbfdf01fd3884b7a558d43a24b
342-U1406A-17H-CC-PAL,0,7,157.23,157.3,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,17,H,CC,PAL,90496869672e1d6dd3f3013e3f9ee370
342-U1406A-18H-CC-PAL,0,5,164.68,164.73,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,18,H,CC,PAL,8d65aa6b0bf2b12dd2235c94b1050ccf
342-U1406A-19H-6-PAL,0,5,173.74,173.79,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,19,H,6,PAL,ef4c489bfb75c109aacbeca44c4ac52a
342-U1406A-20H-CC-PAL,0,6,181.7,181.76,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,20,H,CC,PAL,4c89ead101d2326877b1b12f957351cb
342-U1406A-21H-CC-PAL,0,5,191.48,191.53,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,21,H,CC,PAL,39c057717faeca1968cf0b59fd8db2a3
342-U1406A-22H-CC-PAL,0,5,199.26,199.31,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,22,H,CC,PAL,f6d4caaaded5512fce321d09ea010faf
342-U1406A-23H-6-PAL,0,23,207.93,208.16,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,23,H,6,PAL,f81989fdbb8dbc0951213172f9539f1f
342-U1406A-25H-CC-PAL,0,15,217.6,217.75,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1406,A,25,H,CC,PAL,892833d89a9713a39bb7488253209a32
