Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data
342-U1407B-21X-1-W 69/70-FORAM,342,U1407,B,21,21-1,X,1,W,69/70-FORAM,0,1,201.29,201.3,201.3,G [P21],D,,,,,,,
342-U1407B-21X-3-W 46/47-FORAM,342,U1407,B,21,21-3,X,3,W,46/47-FORAM,0,1,204.16,204.17,204.2,M [P21],A,,,,,,,
342-U1407B-21X-6-W 41/42-FORAM,342,U1407,B,21,21-6,X,6,W,41/42-FORAM,0,1,208.61,208.62,208.6,G [P21],P,,,,,,,
342-U1407B-22X-1-W 73/74-FORAM,342,U1407,B,22,22-1,X,1,W,73/74-FORAM,0,1,209.83,209.84,209.8,G [P21],P,,,,,,,
342-U1407B-22X-3-W 86/87-FORAM,342,U1407,B,22,22-3,X,3,W,86/87-FORAM,0,1,212.96,212.97,213.0,G [P21],P,,,,,,,
342-U1407B-22X-5-W 46/47-FORAM,342,U1407,B,22,22-5,X,5,W,46/47-FORAM,0,1,215.56,215.57,215.6,G [P21],P,,,,,,,
342-U1407B-22X-7-W 60/61-FORAM,342,U1407,B,22,22-7,X,7,W,60/61-FORAM,0,1,218.21,218.22,218.2,M [P21],D,,,,,,,
342-U1407B-23X-2-W 82/83-FORAM,342,U1407,B,23,23-2,X,2,W,82/83-FORAM,0,1,221.02,221.03,221.0,M [P21],D,,,,,,,
342-U1407B-23X-4-W 45/46-FORAM,342,U1407,B,23,23-4,X,4,W,45/46-FORAM,0,1,223.65,223.66,223.7,G [P21],P,,,,,,,
342-U1407B-23X-6-W 31/32-FORAM,342,U1407,B,23,23-6,X,6,W,31/32-FORAM,0,1,226.51,226.52,226.5,G [P21],P,,,,,,,
342-U1407B-24X-4-W 3/4-FORAM,342,U1407,B,24,24-4,X,4,W,3/4-FORAM,0,1,232.14,232.15,232.1,M [P21],A,,,,,,,
342-U1407B-24X-4-W 40/41-FORAM,342,U1407,B,24,24-4,X,4,W,40/41-FORAM,0,1,232.51,232.52,232.5,M [P21],P,,,,,,,
342-U1407B-24X-4-W 74/75-FORAM,342,U1407,B,24,24-4,X,4,W,74/75-FORAM,0,1,232.85,232.86,232.9,G [P21],P,,,,,,,
