Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1404A-1H-3-W 73/75-FORAM,342,U1404,A,1,1-3,H,3,W,73/75-FORAM,0,2,3.44,3.46,3.45,G,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,df54219ad4cf5b33c897b9fa2bd1b252
342-U1404A-1H-CC-PAL,342,U1404,A,1,1-CC,H,CC,PAL,,0,5,4.67,4.72,4.7,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6395c87663223591d126fb11cca04fb6
342-U1404A-2H-CC-PAL,342,U1404,A,2,2-CC,H,CC,PAL,,0,5,14.18,14.23,14.21,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9c554903e618253564f2aac28bae805
342-U1404A-3H-CC-PAL,342,U1404,A,3,3-CC,H,CC,PAL,,0,5,22.33,22.38,22.36,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2fbcb97ef88bb8b5a5f62966d241eefd
342-U1404A-5H-CC-PAL,342,U1404,A,5,5-CC,H,CC,PAL,,0,5,40.56,40.61,40.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a9d5d68a6f68f237dabf8fcfbb4680f8
342-U1404A-6H-1-W 115/117-PAL,342,U1404,A,6,6-1,H,1,W,115/117-PAL,0,2,43.85,43.87,43.86,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5395fb68209c380c46aaa3acb00f11b
342-U1404A-6H-2-W 115/117-PAL,342,U1404,A,6,6-2,H,2,W,115/117-PAL,0,2,45.35,45.37,45.36,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7b0c2100eb226f9d7e404f185fba6f0
342-U1404A-6H-3-W 115/117-PAL,342,U1404,A,6,6-3,H,3,W,115/117-PAL,0,2,46.85,46.87,46.86,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e7c850c68dd5a3022034f3d746c8368
342-U1404A-6H-CC-PAL,342,U1404,A,6,6-CC,H,CC,PAL,,0,5,49.33,49.38,49.36,P,P,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,465625e3edfada66c073d363ecb5d6d2
342-U1404A-7H-1-W 115/117-PAL,342,U1404,A,7,7-1,H,1,W,115/117-PAL,0,2,53.35,53.37,53.36,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc73fa2f8f312a05180ff76aecea8d05
342-U1404A-7H-4-W 115/117-PAL,342,U1404,A,7,7-4,H,4,W,115/117-PAL,0,2,57.85,57.87,57.86,G,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,F,,,,,,,,,,,,563737dbe40c8dfbe5f0f35e86e5d85c
342-U1404A-7H-5-W 60/62-PAL,342,U1404,A,7,7-5,H,5,W,60/62-PAL,0,2,58.8,58.82,58.81,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb7514f8a53292f2e3c833bda42706b3
342-U1404A-7H-CC-PAL,342,U1404,A,7,7-CC,H,CC,PAL,,0,5,59.08,59.13,59.11,P,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only 3 specimens, so all rated present",,,73ffccc5b2a901ec6c22f6d8a2448f8c
342-U1404A-8H-1-W 115/117-FORAM,342,U1404,A,8,8-1,H,1,W,115/117-FORAM,0,2,62.85,62.87,62.86,VG,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,"few specimens, so all rated present",,,312b7ef0203812c891959eb90f1d7659
342-U1404A-8H-2-W 115/117-FORAM,342,U1404,A,8,8-2,H,2,W,115/117-FORAM,0,2,64.35,64.37,64.36,G,R,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,P,F,,,,,,,,P,,,,b6ff2146b1ea87da71ba475d5a737217
342-U1404A-8H-3-W 115/117-FORAM,342,U1404,A,8,8-3,H,3,W,115/117-FORAM,0,2,65.85,65.87,65.86,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,"few specimens, so all rated present",,,b94e277b0e3b1684e8df0d417e5debe6
342-U1404A-8H-4-W 115/117-FORAM,342,U1404,A,8,8-4,H,4,W,115/117-FORAM,0,2,67.35,67.37,67.36,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,fraction 125-150ym,,,873a030491b4e2e11a827f6d2c53c80d
342-U1404A-8H-5-W 115/117-FORAM,342,U1404,A,8,8-5,H,5,W,115/117-FORAM,0,2,68.85,68.87,68.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,96e695528991b7830b2cf01a9e9ca2ca
342-U1404A-8H-6-W 115/117-FORAM,342,U1404,A,8,8-6,H,6,W,115/117-FORAM,0,2,70.35,70.37,70.36,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,F,,,,F,,,,,,,,F,,,,7aac54dbb2cb42dd5406d058eef48889
342-U1404A-8H-CC-PAL,342,U1404,A,8,8-CC,H,CC,PAL,,0,1,71.29,71.3,71.3,G,P,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,F,,,,,,,,D,,,,,P,,,,,,P,,A,,,,,,,,,,,,,,,,,F,,,,,,F,,F,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,7becce01afcabc3d5a9ba9f8302631cd
342-U1404A-9H-1-W 115/117-FORAM,342,U1404,A,9,9-1,H,1,W,115/117-FORAM,0,2,72.35,72.37,72.36,G,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,P,,,,,,,,A,,,,,,P,,D,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,P,,,,,,,,,P,,,,A,,,,,,,,P,,,,5ba7834f595c41e76c817e41c7c1a079
342-U1404A-9H-2-W 115/117-FORAM,342,U1404,A,9,9-2,H,2,W,115/117-FORAM,0,2,73.85,73.87,73.86,G,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,8d4b12c4926fe84eb658d36962a657a8
342-U1404A-9H-3-W 115/117-FORAM,342,U1404,A,9,9-3,H,3,W,115/117-FORAM,0,2,75.35,75.37,75.36,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,F,,,P,,,P,,D,,,,,,F,,D,,,,,,,,,,,,,,,,,,,,F,,P,,,F,,,P,,,,,,,,,,,,,A,,,,,,,,,,,,71751b56ac84af60af2c7d165fa16af2
342-U1404A-9H-4-W 115/117-FORAM,342,U1404,A,9,9-4,H,4,W,115/117-FORAM,0,2,76.85,76.87,76.86,VG,P,,,,,,,,P,,,,,,,,,,F,F,,,,,,,,,,,P,,,A,,,,,P,,,P,,,P,,A,,,,,,P,,A,,,,,,,,,,,,,,,,,F,,,A,,,,,,,,F,,,,P,,,F,,F,,,P,A,,,,,,,,P,,,,e12286eb944aa8eab01ab42ce4c241e9
