Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data
339-U1386B-38X-CC-PAL-FORAM,339,U1386,B,38,38-CC,X,CC,PAL,FORAM,0,5,350.3,350.35,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,
339-U1386B-39X-CC-PAL-FORAM,339,U1386,B,39,39-CC,X,CC,PAL,FORAM,0,5,359.75,359.8,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,
339-U1386B-40X-CC-PAL-FORAM,339,U1386,B,40,40-CC,X,CC,PAL,FORAM,0,5,369.26,369.31,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,
339-U1386B-41X-CC-PAL-FORAM,339,U1386,B,41,41-CC,X,CC,PAL,FORAM,0,5,379.29,379.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
339-U1386B-42X-CC-PAL-FORAM,339,U1386,B,42,42-CC,X,CC,PAL,FORAM,0,5,388.52,388.57,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
339-U1386B-43X-CC-PAL-FORAM,339,U1386,B,43,43-CC,X,CC,PAL,FORAM,0,5,398.03,398.08,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
339-U1386B-46X-CC-PAL-FORAM,339,U1386,B,46,46-CC,X,CC,PAL,FORAM,0,5,423.61,423.66,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386B-48X-CC-PAL-FORAM,339,U1386,B,48,48-CC,X,CC,PAL,FORAM,0,5,446.62,446.67,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386B-49X-CC-PAL-FORAM,339,U1386,B,49,49-CC,X,CC,PAL,FORAM,0,5,451.11,451.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
339-U1386B-50X-CC-PAL-FORAM,339,U1386,B,50,50-CC,X,CC,PAL,FORAM,0,5,455.73,455.78,,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
