Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Unnamed: 122,eodp_id
339-U1388B-2X-CC-PAL-NANNO,339,U1388,B,2,2-CC,X,CC,PAL,NANNO,0,3,7.7,7.73,M-P,A,,,,,P,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,VA,,,F,,,,,,F,,,,,,C,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 C,,,c6670ea125b49e5862cf7f236866d67d
339-U1388B-3X-CC-PAL-NANNO,339,U1388,B,3,3-CC,X,CC,PAL,NANNO,0,3,17.7,17.73,M-P,C,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,R,R,,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,86da942f804ad1c2baf15a5483389b78
339-U1388B-4X-CC-PAL-NANNO,339,U1388,B,4,4-CC,X,CC,PAL,NANNO,0,5,28.95,29,M-P,C,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e82865e2ff488ceb7846ca595a3d37b9
339-U1388B-5X-CC-PAL-NANNO,339,U1388,B,5,5-CC,X,CC,PAL,NANNO,0,5,36.45,36.5,M-P,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5bbfb1de11fffd9e7da050c8650199e
339-U1388B-6X-CC-PAL-NANNO,339,U1388,B,6,6-CC,X,CC,PAL,NANNO,0,5,47.42,47.47,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dca8b2a7b75156b44ef307d2767a8808
339-U1388B-7X-CC-PAL-NANNO,339,U1388,B,7,7-CC,X,CC,PAL,NANNO,0,5,56.09,56.14,M-P,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b27754fa3ba5653c55841bfd6f44aa7b
339-U1388B-8X-CC-PAL-NANNO,339,U1388,B,8,8-CC,X,CC,PAL,NANNO,0,10,63.3,63.4,M-P,A,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,VA,,,R,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,2107c20a5d00128941d601ce60c73550
339-U1388B-9X-CC-PAL-NANNO,339,U1388,B,9,9-CC,X,CC,PAL,NANNO,0,5,74.13,74.18,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e3cdd460d0bc02c49e827682cb065b8
339-U1388B-10X-CC-PAL-NANNO,339,U1388,B,10,10-CC,X,CC,PAL,NANNO,0,5,85.87,85.92,M-P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,784d3759cb39b5888d7f91a5e49b9ea1
339-U1388B-11X-1-W 5/5-NANNO,339,U1388,B,11,11-1,X,1,W,5/5-NANNO,0,0,91.75,91.75,M-P,A,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,F,,C,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd5ae8845f60b98a592f1e42a4263851
