Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddellensis,Alabammina spp.,Allomorphina pacifica,Amphicoryna sp.,Ammodiscus spp.,Anomalinoides globulosus,Anomalinoides spp.,Astacolus spp.,Astrononion echolsi,Astrononion spp.,Bigenerina spp.,Bolivina huneri,Bolivina spp.,Brizalina pusilla,Brizalina spp.,Bulimina alazanensis,Bulimina spp.,Buliminella parvula,Buliminella spp.,Cassidulina spp.,Cassidulinoides tenuis,Caudamina spp.,Chilostomella oolina,Chilostomella spp.,Chrysalogonium crassitestum,Chrysalogonium  equisetiformis,Chrysalogonium spp.,Cibicides lobatulus,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides praemundulus,Cibicidoides wuellerstorfi,Cibicidoides robertsonianus,Cibicidoides spp,Cystammina pauciloculata,Cyclammina spp.,Dentalina spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina histrix,Eubuliminella exilis,Epistominella spp.,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fissurina formosa,Fissurina spp.,Fursenkoina bradyi,Fursenkoina spp.,Gaudryina pyramidata,Gaudryina spp.,Glandulina spp.,Glandulonodosaria spp.,Globulina spp.,Globobulimina pacifica,Globobulimina ovata,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina spp.,Glomospira charoides,Glomospira gordialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides orbicularis,Gyroidinoides spp.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia spp.,Karreriella bradyi,Karreriella chapapotensis,Karreriella spp.,Karrerulina coniformis,Laticarinina pauperata,Lenticulina orbicularis,Lenticulina spp.,Marginulina obesa,Martinotiella communis,Melonis barleeanum,Melonis pompilioides,Melonis sphaeroides,Myllostomella spp.,Neoeponides campester,Nodosarella robusta,Nonion affine,Nonion havanensis,Nonion spp.,Nodosaria spp.,Nuttallides truempyi,Nuttallides umbonifer,Nuttallides spp.,Oolina spp.,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina spp.,Planulina costata,Planulina renzi,Planulina spp.,Pleurostomella brevis,Pleurostomella sp.,Polymorphina spp.,Procerolagena gracillima,Pseudoglandulina glanduliniformis,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia spp.,Pyrgo murrhina,Pyrgo serrata,Pyrgo spp.,Pyrulina spp.,Quadrimorphina profunda,Quadrimorphina spp.,Quinqueloculina sp.,Rectuvigerina senni,Rectuvigerina striata,Recurvoides spp.,Reophax spp.,Reussella spinulosa,Reticulophragmium amplectens,Reticulophragmium spp.,Siphogenerinoides spp.,Siphonodosaria abyssorum,Siphonodosaria antillea,Siphonodosaria annulifera,Siphonodosaria hispidula,Siphonodosaria spinata,Siphonodosaria spp.,Sphaeroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectella earlandi,Stilostomella spp.,Textularia spp.,Triloculina spp.,Trochammina spp.,Trochamminoides spp.,Unilocular species,Tube-shaped agglutinated forms,Turrilina brevispira,Turrilina robertsi,Turrilina spp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina peregrina bradyiana,Uvigerina spp.,Valvulammina spp.,Vulvulina spinosa,Agglutinated gen. et sp. indet.,Calcareous gen. et sp. indet.,,Cribrostomoides subglobosus,Cyclammina cancellata,Fissurina cucullata,Pyrgo lucernula,Trochamminoides olszewskii,Comment,eodp_id
321-U1337A-1H-CC-PAL,321,U1337,A,1,1-CC,H,CC,PAL,,0,0,0.14,0.14,M,,,,,,,,,,,,4,,,,,,,,,,,,1,,9,,,,,,,4,,,,,3,,10,,2,,,,1,,,1,,,,,7,6,,,,,,,,1,,2,,,,,,7,1,,,,,1,,,,,,,,,,3,4,,,,,,,,,,,,14,,19,,,,,,,,,,2,,5,,,,,,11,5,7,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=2/98,865178b3b19ddb580f56f4e106bcf128
321-U1337A-2H-4-W 134/136-FORAM,321,U1337,A,2,2-4,H,4,W,134/136-FORAM,0,0,11.34,11.34,M,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=1/99,82805285d04e09eadbae66238fb65cdb
321-U1337A-2H-6-W 64/66-FORAM,321,U1337,A,2,2-6,H,6,W,64/66-FORAM,0,0,13.64,13.64,G,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,3c0fef550e253b10545f9263e37ad915
321-U1337A-2H-CC-PAL,321,U1337,A,2,2-CC,H,CC,PAL,,0,0,15.44,15.44,M,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=-,7164860735f7d448f7b72bd5d866e02f
321-U1337A-3H-3-W 16/17-FORAM23,321,U1337,A,3,3-3,H,3,W,16/17-FORAM23,0,0,18.16,18.16,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,21fd5fe804c158c4253bcde1774495e6
321-U1337A-3H-5-W 115/116-FORAM25,321,U1337,A,3,3-5,H,5,W,115/116-FORAM25,0,0,22.15,22.15,G,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,5250eb185bc1f9e7bb8ce5af7d3faa0b
321-U1337A-3H-CC-PAL,321,U1337,A,3,3-CC,H,CC,PAL,,0,0,24.91,24.91,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=-,ceee40b32110d305e643f9c28cbaa563
321-U1337A-4H-3-W 94/96-FORAM,321,U1337,A,4,4-3,H,3,W,94/96-FORAM,0,0,28.44,28.44,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98,b785f8e07813c9657bce445c67283a46
321-U1337A-4H-5-W 9/11-FORAM,321,U1337,A,4,4-5,H,5,W,9/11-FORAM,0,0,30.59,30.59,G,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,7baa177d7fe3aeb5c149c5fcb1fb2cc7
321-U1337A-4H-CC-PAL,321,U1337,A,4,4-CC,H,CC,PAL,,0,0,34.44,34.44,G,,,,,,,,,1,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,2,,3,,1,,1,,,,,,,,1,6,,,,,,,,,,4,,,,,,2,,,,,,,,,,1,1,,,1,,,4,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,4,5,9,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,789ba256a531175e84bb115bd910f277
