Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data,eodp_id
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,,,,,P,,,,,,,,,,,,,,,A,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cc5c71a43796341a1fd6df5af9efc7a
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,,,,,F,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,4e8c1674da239f1b8d2fdc8c965db23e
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,,,,,R,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,P,,,,d63d1bfb72f6748a48051b52ab312b6d
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,1542773a787b9e6ad2501120992af5c5
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,P,,,,,,,,P,,,,P,,,,,,,,,,,,,,,a3ca9bebebfdbeab95d727c04a57a2c8
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,36fd980bab33e8fe8afb37f50788d454
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,ed4c9f3471646b51e492205ecd8df5a2
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,2f8af4869f83441c147973c5e9e37216
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d488e539e1e6eb82d9acd370532411b7
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,add97cabdf2ac9763be809e287aefa2e
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,4b85ed4e702040337790aadd06db778b
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,4d98c5347f24f05ddf0a7f63912e761b
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,c117da78e147d8bdd889cdc798fdc791
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,053d1c9db3a191e5f9abe356026842d5
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,862b6e110edc380a754998c71079087d
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,17c8b853cf3f294552253c27860991de
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,7deec08637c3cd840b72f8e793c86c27
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,F,,,,,,,P,,,,,,,,,,,,,,,eb38f0b7c5c11b4266b96eed169bf391
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,26431722f3a4d4f2d8ba8699e4654285
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,453186f5395a2666c3c1805c42aa6d10
339-U1390A-31X-CC-PAL-FORAM,339,U1390,A,31,31-CC,X,CC,PAL,FORAM,0,5,284.56,284.61,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,P,,,,,P,,,,,,,,P,,,P,,,,86143b29a443664ed2542c06af0e2724
339-U1390A-32X-CC-PAL-FORAM,339,U1390,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.63,293.68,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,,P,,,,,,P,R,,,P,,,,,,,,,,,,3f389b8687665b040cab758321be4619
339-U1390A-33X-CC-PAL-FORAM,339,U1390,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.6,302.65,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,77a14744841246255fcc9661c4077602
339-U1390A-34X-CC-PAL-FORAM,339,U1390,A,34,34-CC,X,CC,PAL,FORAM,0,5,313.11,313.16,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,R,,,,,,,,F,,,,,,,,,,,,,,,P,,,P,,,,b55bc6a524d4a39642cf29d5b23e048c
339-U1390A-35X-CC-PAL-FORAM,339,U1390,A,35,35-CC,X,CC,PAL,FORAM,0,5,323.17,323.22,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,f17035f2cf87f64253694c50d557a364
339-U1390A-36X-CC-PAL-FORAM,339,U1390,A,36,36-CC,X,CC,PAL,FORAM,0,5,332.58,332.63,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,P,,,,,,,,,,,,,,,9da8d666bb9b51f70022527b6cb3d6c5
339-U1390A-37X-CC-PAL-FORAM,339,U1390,A,37,37-CC,X,CC,PAL,FORAM,0,5,335.22,335.27,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,8abc9ad9790ddfc88ad5e1f4d56caa2d
339-U1390A-38X-CC-PAL-FORAM,339,U1390,A,38,38-CC,X,CC,PAL,FORAM,0,5,351.21,351.26,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,R,,,,R,R,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,db8e5a5fc9bf635dad2ecf1b43dddc17
