Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp.,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp.,Epistominella pacifica,Epistominella pulchella,Epistominella sp.,Epistominella vitrea,Eponides healdi,Eponides sp.,Eubuliminella exilis,Fissurina lucida,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis,Lagena laevis,Lagena meridionalis,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp.,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp.,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis,Trochammina sp.,Uvigerina akitaensis,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1420A-2R-CC-PAL,0,5,11.39,11.44,G [P20],P [A71],,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,341,U1420,A,2,R,CC,PAL
341-U1420A-4R-CC-PAL,0,5,29.75,29.8,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,4,R,CC,PAL
341-U1420A-5R-CC-PAL,0,5,39.7,39.75,M [P20],P [A71],,,,,,,,,,,,,,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,5,R,CC,PAL
341-U1420A-9R-CC-PAL,0,5,73.73,73.78,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,9,R,CC,PAL
341-U1420A-14R-1-PAL,0,26,118.7,118.96,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,14,R,1,PAL
341-U1420A-16R-1-PAL,0,5,138.1,138.15,G [P20],A [A40],F,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,F,,,,,,,,,,A,P,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,D,,P,,,,,,,P,,,,,,,,,,,,,,A,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ostracod, mollusc fragments, vegatative material",,,,341,U1420,A,16,R,1,PAL
341-U1420A-19R-1-PAL,0,3,167.27,167.3,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,341,U1420,A,19,R,1,PAL
341-U1420A-20R-1-PAL,0,3,177.14,177.17,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,20,R,1,PAL
341-U1420A-29R-1-PAL,0,5,264.51,264.56,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1420,A,29,R,1,PAL
341-U1420A-30R-1-PAL,0,5,274.24,274.29,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mollusc fragments,,,,341,U1420,A,30,R,1,PAL
