Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,eodp_id
339-U1389C-1H-CC-PAL-NANNO,339,U1389,C,1,1-CC,H,CC,PAL,NANNO,0,5,9.69,9.74,M-P,VA,,,,,,,F,F,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,R,R,,R,,VA,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,37f4e26dad55ae652843753d314c78dc
339-U1389C-2H-CC-PAL-NANNO,339,U1389,C,2,2-CC,H,CC,PAL,NANNO,0,5,19.49,19.54,G,A,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,87354bdcd230fbc0d87764901d8fa940
339-U1389C-3H-CC-PAL-NANNO,339,U1389,C,3,3-CC,H,CC,PAL,NANNO,0,5,29.18,29.23,G,VA,,,,,,,R,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,18fae14bdb8749455ed1f7d6ff7de3d8
339-U1389C-4H-CC-PAL-NANNO,339,U1389,C,4,4-CC,H,CC,PAL,NANNO,0,5,37.95,38,M-P,VA,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,R,F,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,b47661f42db75b4cfb0be9a7e499b049
339-U1389C-5H-CC-PAL-NANNO,339,U1389,C,5,5-CC,H,CC,PAL,NANNO,0,5,47.97,48.02,M-P,VA,,,,,R,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,A,F,F,,VA,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,51862b73566f6795351884d36b7507fd
339-U1389C-6H-CC-PAL-NANNO,339,U1389,C,6,6-CC,H,CC,PAL,NANNO,0,5,57.41,57.46,M-P,VA,,,,,,,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,A,,,,VA,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,b4da2e9b03b13b9892d90309a03b90d7
339-U1389C-7H-CC-PAL-NANNO,339,U1389,C,7,7-CC,H,CC,PAL,NANNO,0,5,66.65,66.7,M-P,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,A,R,R,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,b9938d5386ee44a8f19b1d164644f92a
339-U1389C-8H-CC-PAL-NANNO,339,U1389,C,8,8-CC,H,CC,PAL,NANNO,0,5,75.56,75.61,G,A,,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,A,,,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,e0f3f55d1b22ca8916fa54622c2ed568
339-U1389C-9H-CC-PAL-NANNO,339,U1389,C,9,9-CC,H,CC,PAL,NANNO,0,5,86.09,86.14,M-P,A,,,,,,F,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,A,,,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,895a85aafa37c5b4af6fc20e46673595
339-U1389C-10H-CC-PAL-NANNO,339,U1389,C,10,10-CC,H,CC,PAL,NANNO,0,5,96.16,96.21,M-P,A,,,,,,R,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,F,F,R,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,8e2f0923c640d5db9b0989e8122c6b27
