leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
32,313,,QUATERNARY,UPPER PLIOCENE,0.0,7.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    0,  3.4,  1.7,DSDP INITIAL REPORTS
32,313,,UPPER MIOCENE,,7.0,8.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
32,313,,MIDDLE MIOCENE,,35.5,45.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
32,313,,UPPER OLIGOCENE,,73.5,83.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
32,313,,LOWER OLIGOCENE,,111.5,149.8,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
32,313,,UPPER EOCENE,,149.8,152.2,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
32,313,,MIDDLE EOCENE,,152.2,186.5,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
32,313,,LOWER EOCENE,,186.5,232.5,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
32,313,,MIDDLE MAESTRICHTIAN,LOWER MAESTRICHTIAN ,232.5,270.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   66,   70,   68,DSDP INITIAL REPORTS
32,313,,LOWER MAESTRICHTIAN ,,279.5,308.0,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
32,313,,LOWER MAESTRICHTIAN ,UPPER CAMPANIAN,336.5,447.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   74,70.75,DSDP INITIAL REPORTS
32,313,,UPPER CAMPANIAN,,447.5,466.0,,NO AGE GIVEN,,NO AGE GIVEN,   70,   74,   72,DSDP INITIAL REPORTS
32,313,,LOWER MAESTRICHTIAN ,LOWER CAMPANIAN,466.0,475.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   78,72.75,DSDP INITIAL REPORTS
32,313,,LOWER CAMPANIAN,,475.5,485.0,,NO AGE GIVEN,,NO AGE GIVEN,   74,   78,   76,DSDP INITIAL REPORTS
32,313,,LOWER MAESTRICHTIAN ,LOWER CAMPANIAN,485.0,560.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   78,72.75,DSDP INITIAL REPORTS
32,313,,LOWER MAESTRICHTIAN ,UPPER CAMPANIAN,560.0,569.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   74,70.75,DSDP INITIAL REPORTS
32,313,,CAMPANIAN,,569.0,588.0,,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
