Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 945,A,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,F                         ,-                   ,-                           ,F                  ,F                            ,-                     ,F                    ,R                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,A                                  ,A                            ,F                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 945,A,  1,H, 1,  30.00,      0.3000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,C                         ,-                   ,-                           ,C                  ,F                            ,-                     ,-                    ,F                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,-                                ,C                                  ,C                            ,F                           ,R                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  1,H, 1,  56.00,      0.5600,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  1,H, 1, 104.00,      1.0400,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
