Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
168,1026,C,Initial Reports          ,     104.280,    0.280000,B E.huxleyi
,,,,,,
168,1026,C,Initial Reports          ,     124.930,    0.460000,T P. lacunosa
,,,,,,
168,1026,C,Initial Reports          ,     192.680,    0.760000,B G. caribbeanica
,,,,,,
168,1026,C,Initial Reports          ,     211.020,    0.900000,T R. asanoi
,,,,,,
168,1026,C,Initial Reports          ,     217.650,    1.150000,B R. asanoi
,,,,,,
168,1026,C,Initial Reports          ,     228.300,    1.550000,T H. sellii
,,,,,,
168,1026,C,Initial Reports          ,     229.070,    1.580000,T C. macintyrei
,,,,,,
