Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Menardella limbata	Globigerinoides obliquus	Menardella multicamerata	Menardella miocenica	Hirsutella hirsuta	Globoquadrina venezuelana	Globigerinoides extremus	Dentoglobigerina altispira	Menardella exilis	Menardella pertenuis	Globigerinoides fistulosus	Globigerina falconensis	Globoconella inflata	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Globigerina bulloides	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globorotalia tumida	Globoturborotalita woodi	Menardella menardii (sinistral)	Menardella menardii (dextral)	Globigerinella calida	Truncorotalia crassaformis hessi	Globorotalia tumida flexuosa	Globigerina bermudezi	Hastigerina pelagica	Comment	 
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	3	H	CC	22	29	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	+                   	-                           	-                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	R                    	                                	                            	-                    	                    	mica; pyrite burrows; rads	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	4	H	CC	0	38.12	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                         	-                        	                  	                        	                        	                    	F                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	R                                    	F                                    	R                    	-                          	R                           	-                  	                        	-                              	-                            	R                    	                                	                            	-                    	                    	mica; rads; black crud (iron-rich clay)	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	5	H	CC	20	48.02	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	-                        	                  	                        	                        	                    	F                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	-                                    	F                                    	R                    	-                          	R                           	R                  	                        	-                              	-                            	R                    	                                	R                           	-                    	                    	Uvigerina present	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	6	H	CC	10	57.12	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	+                   	-                           	R                                    	-                                    	-                    	-                          	R                           	R                  	                        	-                              	-                            	-                    	                                	R                           	                     	                    	"Uvigerina present; rads present, but fewer than in previous cc's of this hole"	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	7	H	CC	23	67.05	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	F                   	-                           	R                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	-huge numbers of diatoms; some rads-examined the >250 micron fraction to remove diatom fragments	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	8	H	CC	18	76.28	Chaisson 	Planktonic Foraminifers                      	F              	P                 	-                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	-                                    	R                                    	-                    	R                          	R                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	Uvigerina present dissolution has removed susceptible spp.	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	9	H	CC	22	86.12	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	F                   	-                           	F                                    	-                                    	-                    	-                          	R                           	-                  	                        	-                              	-                            	-                    	+                               	                            	                     	                    	"mica, diatoms, rads, sponge spicules"	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	10	H	3	70	89.2	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                         	                  	                        	                        	                    	+                 	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	+                                    	                     	                           	                            	+                  	                        	+                              	                             	                     	                                	F                           	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	10	H	4	70	90.7	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	R                                    	                                     	                     	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no flexuosa	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	10	H	5	70	92.2	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	 almost no forams pk	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	10	H	6	70	93.7	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	F                   	                            	                                     	R                                    	                     	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no flexuosa	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	10	H	CC	20	95.47	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	R                                    	R                                    	-                    	R                          	-                           	R                  	                        	-                              	-                            	-                    	R                               	R                           	                     	                    	       	
																																																
  IR	                 	                 	                  	              	172	1061	A	11	H	3	70	98.7	Chaisson 	Planktonic Foraminifers                      	               	                  	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	+                      	+                   	                            	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	11	H	CC	14	105.04	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	-                   	-                           	-                                    	R                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	"clay, mica, rads and no inflata"	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	12	H	CC	9	114.39	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	-                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	-                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	mica	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	13	H	CC	27	124.23	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	F                                    	                                     	F                    	R                          	R                           	R                  	                        	                               	                             	                     	R                               	                            	                     	                    	pyrite	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	14	H	CC	21	132.95	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	+                                    	                     	                           	                            	R                  	                        	                               	                             	                     	                                	                            	                     	                    	pyrite Uvigerina abundant	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	15	H	CC	19	143.07	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	+                                    	                     	                           	                            	1	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	16	H	5	68	147.16	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	R                          	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	basically just inflata remains	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	16	H	6	68	148.66	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                        	                  	                        	                        	                    	                  	                         	r                       	                          	                 	                    	                          	                       	F                   	R                           	                                     	R                                    	                     	                           	R                           	F                  	                        	R                              	                             	                     	R                               	                            	                     	                    	hessi present	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	16	H	7	70	150.18	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	R                           	R                                    	                                     	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no crassaformis	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	16	H	CC	64	151.62	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	A                   	                            	                                     	+                                    	                     	                           	                            	R                  	                        	                               	                             	                     	                                	                            	                     	                    	"pyrite, mica, quartz or feldspath Uvigerina present"	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	17	X	1	68	152.68	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	+                  	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	17	X	2	68	154.18	Chaisson 	Planktonic Foraminifers                      	T              	M                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	+                                    	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	17	X	3	68	155.68	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	+                      	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	17	X	CC	0	157.09	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	A                   	                            	                                     	R                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite very abundant all forams are rare	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	18	X	CC	16	164.9	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	+                           	                                     	+                                    	                     	                           	                            	                   	                        	                               	+                            	                     	                                	                            	                     	                    	clays pyrite	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	19	X	CC	27	175.43	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	A                   	                            	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	almost no forams	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	20	X	CC	33	183.79	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	hematite? very few forams...	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	21	X	CC	19	194.21	Chaisson 	Planktonic Foraminifers                      	R              	P                 	-                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	F                                    	-                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	22	X	CC	34	203.44	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	+                   	+                           	-                                    	A                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	Uvigerina present	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	23	X	CC	23	212.01	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mostly pyrite and mica	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	24	X	CC	13	222.42	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	R                                    	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	25	X	2	62	226.92	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	1	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	25	X	3	59	228.39	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	25	X	4	66	229.96	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	+                           	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	25	X	CC	38	231.48	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	R                        	                  	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	+                   	                            	                                     	R                                    	R                    	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	26	X	1	70	235.2	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	1	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	11	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	26	X	CC	28	241.34	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	R                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	F                                    	                     	R                          	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	27	X	CC	61	251.61	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	+                   	                            	                                     	                                     	                     	F                          	R                           	                   	                        	+                              	                             	                     	                                	                            	                     	                    	no truncat	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	28	X	CC	77	261	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	F                      	R                   	                            	                                     	                                     	R                    	F                          	F                           	R                  	+                       	                               	                             	                     	                                	                            	                     	                    	Uvigerina; mica; pyritized burrows no obliquus found	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	29	X	CC	24	271.5	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	R                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	F                   	                            	                                     	                                     	R                    	R                          	F                           	R                  	                        	                               	                             	                     	                                	                            	                     	                    	slim tumida no truncat	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	30	X	CC	39	281.66	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                         	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	R                                    	F                    	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	31	X	CC	48	289.23	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	32	X	CC	13	292.53	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                         	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	R                   	                            	R                                    	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica	
																																																
  IR	                 	Late Pliocene    	                  	N22           	172	1061	A	33	X	1	67	302.67	Chaisson 	Planktonic Foraminifers                      	T              	P                 	1	22	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	 around 30 forams only	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	33	X	2	80	304.3	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	A                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	R                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	no truncat.	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	33	X	3	65	305.65	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	no truncat	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	33	X	4	63	307.13	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	almost nothing	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	33	X	CC	28	308.28	Chaisson 	Planktonic Foraminifers                      	T              	P                 	F                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	R                           	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica pyrite inflata present	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	34	X	1	65	312.35	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	1	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	34	X	2	65	313.85	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	+                        	                  	                        	                        	                    	                  	                         	R                       	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite (burrows)	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	34	X	CC	30	315.49	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	+                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica pyrite no trunc. or inflata	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	35	X	1	68	321.98	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	around 20 forams	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	35	X	2	66	323.46	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	35	X	CC	28	326.47	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                         	                         	                  	                        	                        	F                   	                  	                         	                        	R                         	F                	R                   	1	+                      	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite/ ostracodes	
																																																
  IR	                 	                 	                  	              	172	1061	A	36	X	1	68	331.58	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	36	X	2	61	333.01	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	+                 	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	36	X	3	62	334.47	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                         	+                 	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite	
																																																
  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	36	X	4	64	335.61	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	                  	                        	                        	                    	+                 	                         	                        	1	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1061	A	36	X	5	66	337.13	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	A                        	                  	                        	                        	                    	                  	                         	                        	                          	1	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       	
																																																
  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	36	X	CC	37	338.7	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                         	+                 	                        	+                       	+                   	+                 	+                        	+                       	+                         	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite/ ostracodes>3.1 Ma	
																																																
  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	37	X	CC	37	346.34	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	+                        	1	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	forams diluted by abundant pyrite	
