Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongurus pylomaticus,Saturnalis circularis,Pterocanium trilobum,Lamprocyrtis heteroporos,Eucyrtidium teuscheri teuscheri,Eucyrtidium acuminatum,Cycladophora sakaii,Cycladophora davisiana,Cycladophora cornutoides,Axoprunum angelinum,Lamprocyrtis neoheteroporos,Lamprocyclas hannai,Eucyrtidium calvertense,Didymocyrtis tetrathalamus tetrathalamus,Amphirhopalum ypsilon,Phormostichoartus fistula,Phormostichoartus corbula,Cycladophora pliocenica,Pterocanium praetextum eucolpum,Didymocyrtis avita,Spongaster tetras tetras,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  1,H,CC,  24.00,      1.7400,Motoyama ,Radiolarians                                 ,A              ,G                 ,C                    ,                     ,1                   ,                        ,1                              ,R                     ,                   ,A                     ,                        ,                   ,                           ,C                  ,R                      ,R                                       ,R                    ,                         ,                         ,                       ,1                              ,                  ,                        ,1                                  ,1                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  2,H,CC,  22.00,      9.2200,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,1                    ,R                   ,                        ,                               ,                      ,                   ,C                     ,R                       ,                   ,                           ,C                  ,R                      ,R                                       ,1                    ,                         ,1                        ,                       ,                               ,                  ,                        ,R                                  ,1                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  3,H,CC,  19.00,     20.9400,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,                     ,R                   ,                        ,R                              ,1                     ,                   ,A                     ,R                       ,                   ,                           ,R                  ,                       ,R                                       ,                     ,                         ,                         ,                       ,1                              ,                  ,                        ,1                                  ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  5,H,CC,  21.00,     40.1900,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,R                   ,                        ,                               ,R                     ,                   ,A                     ,R                       ,R                  ,                           ,R                  ,                       ,                                        ,1                    ,                         ,                         ,                       ,1                              ,                  ,                        ,                                   ,1                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  6,H,CC,  28.00,     42.4200,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,R                    ,1                   ,                        ,R                              ,1                     ,                   ,A                     ,1                       ,F                  ,                           ,F                  ,R                      ,1                                       ,                     ,                         ,                         ,                       ,1                              ,                  ,                        ,1                                  ,R                     ,       
