Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Podocyrtis papalis	Buryella clinata	Thyrsocyrtis tensa	Thyrsocyrtis hirsuta	Theocotylissa ficus	Theocotyle nigriniae	Podocyrtis dorus	Phormocyrtis striata striata	Lithochytris vespertilio	Dictyoprora mongolfieri	Calocycloma castum	Calocyclas hispida	Thyrsocyrtis triacantha	Podocyrtis sinuosa	Thyrsocyrtis robusta	Thyrsocyrtis rhizodon	Theocotyle cryptocephala	Spongatractus pachystylus	Podocyrtis  ampla	Podocyrtis trachodes	Lychnocanoma bellum	Lithocyclia ocellus	Eusyringium lagena	Eusyringium fistuligerum	Comment



  IR	                 	Middle Eocene    	RP13              	RP13          	199	1216	A	  6	H	 1	  40.00	     40.1000	nannos   	Radiolarians                                 	               	                  	                  	                	                  	                    	+                  	                    	                	+                           	+                       	+                      	                  	+                 	+                      	+                 	                    	                     	                        	                         	                 	                    	                   	+                  	+                 	+                       	       

  IR	                 	                 	                  	              	199	1216	A	  6	H	 3	 104.00	     43.7400	nannos   	Radiolarians                                 	               	                  	+                 	                	                  	                    	+                  	                    	                	                            	+                       	+                      	+                 	+                 	+                      	+                 	                    	+                    	                        	+                        	+                	+                   	+                  	+                  	+                 	+                       	       

  IR	                 	                 	                  	              	199	1216	A	  7	H	 1	  47.00	     44.1700	nannos   	Radiolarians                                 	               	                  	                  	                	                  	+                   	                   	                    	                	                            	+                       	+                      	                  	                  	                       	                  	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  7	H	 2	  47.00	     45.6700	nannos   	Radiolarians                                 	               	                  	                  	                	                  	+                   	                   	                    	                	                            	                        	+                      	                  	+                 	+                      	+                 	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  7	H	CC	   0.00	     46.0400	nannos   	Radiolarians                                 	               	                  	                  	                	                  	                    	                   	                    	                	+                           	                        	+                      	                  	                  	                       	+                 	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  8	H	 1	  45.00	     46.6500	nannos   	Radiolarians                                 	               	                  	                  	                	                  	+                   	+                  	                    	                	+                           	+                       	+                      	                  	+                 	                       	+                 	                    	+                    	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  8	H	 2	  45.00	     48.1500	nannos   	Radiolarians                                 	               	                  	                  	                	                  	                    	+                  	                    	+               	+                           	+                       	+                      	                  	+                 	+                      	+                 	+                   	                     	+                       	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  8	H	 3	  45.00	     49.2500	nannos   	Radiolarians                                 	               	                  	+                 	                	                  	                    	                   	                    	                	                            	+                       	+                      	                  	+                 	                       	                  	+                   	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  8	H	CC	  17.00	     49.6700	nannos   	Radiolarians                                 	               	                  	                  	                	                  	                    	+                  	                    	                	+                           	+                       	+                      	+                 	                  	                       	+                 	+                   	+                    	+                       	+                        	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  9	H	 3	  40.00	     52.7400	nannos   	Radiolarians                                 	               	                  	                  	                	                  	                    	+                  	                    	                	                            	+                       	+                      	                  	                  	+                      	+                 	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	  9	H	CC	  10.00	     53.1700	nannos   	Radiolarians                                 	               	                  	+                 	                	+                 	+                   	+                  	+                   	+               	+                           	+                       	+                      	+                 	+                 	                       	                  	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

  IR	                 	                 	                  	              	199	1216	A	 11	X	CC	   9.00	     55.5900	nannos   	Radiolarians                                 	               	                  	+                 	+               	                  	                    	                   	                    	                	                            	                        	                       	                  	                  	                       	                  	                    	                     	                        	                         	                 	                    	                   	                   	                  	                        	       

