leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
62,463,,PLEISTOCENE,,0.0,4.5,,NO AGE GIVEN,,NO AGE GIVEN,0.011,  1.8,.9055,DSDP INITIAL REPORTS
62,463,,UPPER PLIOCENE,,4.5,13.2,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
62,463,,LOWER PLIOCENE,,13.2,17.7,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
62,463,,UPPER MIOCENE,,17.7,34.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
62,463,,OLIGOCENE,,34.0,38.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
62,463,,OLIGOCENE,MIDDLE EOCENE,38.0,43.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5,   49,35.75,DSDP INITIAL REPORTS
62,463,,LOWER EOCENE,,43.5,46.8,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
62,463,,UPPER MAESTRICHTIAN ,,46.8,101.2,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
62,463,,UPPER MAESTRICHTIAN ,LOWER MAESTRICHTIAN ,101.2,121.3,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
62,463,,LOWER MAESTRICHTIAN ,,121.3,182.9,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
62,463,,UPPER CAMPANIAN,,182.9,214.8,,NO AGE GIVEN,,NO AGE GIVEN,   70,   74,   72,DSDP INITIAL REPORTS
62,463,,CONIACIAN,,214.8,224.0,,NO AGE GIVEN,,NO AGE GIVEN,   82,   86,   84,DSDP INITIAL REPORTS
62,463,,CONIACIAN,UPPER TURONIAN,224.0,262.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   82,   88,   85,DSDP INITIAL REPORTS
62,463,,TURONIAN,,262.0,281.0,,NO AGE GIVEN,,NO AGE GIVEN,   86,   92,   89,DSDP INITIAL REPORTS
62,463,,MIDDLE TURONIAN,,281.0,293.8,,NO AGE GIVEN,,NO AGE GIVEN,   88,   90,   89,DSDP INITIAL REPORTS
62,463,,LOWER TURONIAN,,293.8,347.5,,NO AGE GIVEN,,NO AGE GIVEN,   90,   92,   91,DSDP INITIAL REPORTS
62,463,,UPPER CENOMANIAN,MIDDLE CENOMANIAN,347.5,385.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   92, 97.5,94.75,DSDP INITIAL REPORTS
62,463,,LOWER CENOMANIAN,,385.5,423.9,,NO AGE GIVEN,,NO AGE GIVEN, 97.5,  100,98.75,DSDP INITIAL REPORTS
62,463,,UPPER ALBIAN,,423.9,461.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
62,463,,MIDDLE ALBIAN,,461.5,480.7,,NO AGE GIVEN,,NO AGE GIVEN,  104,  106,  105,DSDP INITIAL REPORTS
62,463,,LOWER ALBIAN,UPPER APTIAN,480.7,567.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
62,463,,LOWER APTIAN,,567.5,699.0,,NO AGE GIVEN,,NO AGE GIVEN,  112,  115,113.5,DSDP INITIAL REPORTS
62,463,,BARREMIAN,,699.0,822.5,,NO AGE GIVEN,,NO AGE GIVEN,  115,  121,  118,DSDP INITIAL REPORTS
