Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461D-22R-CC-PAL-FORAM-150-2000,0,10,713.29,713.39,,,,,,,,,,F,P,S [F02],90,3,,,,,"Ostracod, glauconite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,P,,,P,R,,,,,,,,,P,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1461,D,22,R,CC,PAL,b1a214f3ae9ae1d4dc5628364b9839b5
356-U1461D-24R-7-PAL-FORAM-150-2000,0,10,740.07,740.17,,,,,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,F,M,,80,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,F,,,R,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,24,R,7,PAL,ef1fd39c4de343e386430d8d8e35a378
356-U1461D-27R-CC-PAL-FORAM-150-2000,0,10,766.92,767.02,,,,,,,,,,C,M,,70,,,,,,Ostracods (P); pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,P,P,,,,,,,,,R,,,,,,,,,,P,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,27,R,CC,PAL,aa71ed7bbfe8e78393be58a3350c376f
356-U1461D-29R-CC-PAL-FORAM-150-2000,0,10,788.23,788.33,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.16,3.47,C,M,,70,,,,,,Ostracods (P),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,P,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1461,D,29,R,CC,PAL,a8fb593b3892ab1ff526dbe1d49a1419
356-U1461D-31R-3-PAL-FORAM-150 2000,0,10,801.92,802.02,,,,,,,,,,F,P,,80,,,present,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,R,R,R,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,31,R,3,PAL,4d2761635f66f1e85fadc0ba27684bf7
356-U1461D-33R-CC-PAL-FORAM-150-2000,0,10,817.53,817.63,"T Sphaeroidinellopsis seminulina (Gradstein et al., 2012)",Sphaeroidinellopsis seminulina,,3.59,PL4 (Indo-Pacific),"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,C,G,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,356,U1461,D,33,R,CC,PAL,d5478a8ef087a72d38f3ed5fdd992a43
356-U1461D-35R-CC-PAL-FORAM-150-2000,0,5,846.51,846.56,,,,,,,,,,F,P,S [F02],80,3,,,,,Ostracod,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,P,R,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,35,R,CC,PAL,092d555513182b17ba48dab9e316d045
356-U1461D-37R-CC-PAL-FORAM-150-2000,0,10,865.36,865.46,,,maybe marga too,,,,maybe marga too,,,A,G,L [F02],90,1,,present,,,Ostracod,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,P,,,P,R,,,P,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,P,,,,,R,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,356,U1461,D,37,R,CC,PAL,76faf06165f521609b9341191a668968
356-U1461D-39R-CC-PAL-FORAM-150-2000,0,7,883.79,883.86,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,,3.85,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,3.85,4.37,F,G,S [F02],90,3,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,R,,,,,,,,P,P,P,P,R,,,P,,,,,,,,,,,,,,,,R,P,R,,,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,356,U1461,D,39,R,CC,PAL,c51797f3329c02d39edd51a50f5185ad
356-U1461D-41R-CC-PAL-FORAM-150-2000,0,10,904.62,904.72,,,maybe plesiotumida,,,,maybe plesiotumida,,,C,M,L [F02],80,1,,present,,,abundant Pyrite,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,P,R,,,,,R,,,,,,,,,P,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,356,U1461,D,41,R,CC,PAL,78b2b211b9148230cfb42dd96d8647e4
356-U1461D-43R-CC-PAL-FORAM-150-2000,0,10,918.11,918.21,,,,,,,,,,C,M,,90,,,present,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,356,U1461,D,43,R,CC,PAL,17fc7a2f0dd567da92238fabc092017b
356-U1461D-45R-CC-PAL-FORAM-150-2000,0,10,943.05,943.15,,,,,,,,,,C,M,,90,,,present,,,"pyrite, ostracod (P)",,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,R,R,,,,,P,,,,,,,,,,,356,U1461,D,45,R,CC,PAL,bcd7e67886fa3fcd7ebdd201d6000507
356-U1461D-47R-CC-PAL-FORAM-150-2000,0,4,953.19,953.23,,,,,,,,,,F,P,,90,,,present,,,"Pyite, ostracod",,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,R,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,356,U1461,D,47,R,CC,PAL,d7eb1f1d589f11808594c99eee370134
356-U1461D-49R-CC-PAL-FORAM-150 2000,0,10,980.36,980.46,,,,,,,,,,F,P,,80,,,present,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,356,U1461,D,49,R,CC,PAL,74a1d75f98c1abb71698f7853577c5d4
356-U1461D-53R-CC-PAL-FORAM-150-2000,0,10,1012.6,1012.7,,,,,,,,,,VR,P,S [F02],30,3,,,,,"heavily cemented, no identification possible (PF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,53,R,CC,PAL,8b0859a0f082b045f2bd91a35aa881be
356-U1461D-55R-CC-PAL-FORAM-150-2000,0,10,1031.8,1031.9,,,,,,,,,,VR,P,S [F02],20,3,,,,,"heavily cemented, no identification possible (PF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,55,R,CC,PAL,3192adcf9822914e54da5e471398419b
356-U1461D-57R-CC-PAL-FORAM-150-2000,0,10,1054.17,1054.27,,,,,,,,,,VR,P,S [F02],20,3,,,,,"heavily cemented, no identification possible (PF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,57,R,CC,PAL,6d85fd33504ac5b6e6377b4fb78b68dd
356-U1461D-59R-CC-PAL-FORAM-150-2000,0,10,1074.61,1074.71,,,,,,,,,,R,P,S [F02],50,3,,,,,"heavily cemented, a few pristine looking PF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,59,R,CC,PAL,89a9e32adfac4680e38d3b34a75aaf16
356-U1461D-59R-CC-PAL-FORAM-150-2000,0,10,1074.61,1074.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,59,R,CC,PAL,f9a8f26af45b332dac5ba7793d89a618
356-U1461D-60R-CC-PAL-FORAM-150-2000,0,10,1084.54,1084.64,,,,,,,,,,VR,P,S [F02],60,3,,,,,"heavily cemented, no identification possible (PF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,60,R,CC,PAL,071f70a4cd4651b4b3af26aaa8464e15
356-U1461D-61R-CC-PAL-FORAM-150-2000,0,10,1088.82,1088.92,,,,,,,,,,VR,P,S [F02],50,3,,,,,"heavily cemented, no identification possible (PF) apart from a few Menardellids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,61,R,CC,PAL,47cfeac1742bdc1ad2dc38f17b474c0c
