Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431D-1H-CC-PAL-NANNO,0,0,3.15,3.15,NN21,G,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,R,,R,,,,349,U1431,D,1,H,CC,PAL,6d869d889d6b684efba4e155782d3d75
349-U1431D-2H-CC-PAL-NANNO,0,0,12.15,12.15,NN19,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,CC,PAL,e0c14735f6d7bd85b5315bf7f94f71a1
349-U1431D-3H-CC-PAL-NANNO,0,0,22.09,22.09,NN19,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,3,H,CC,PAL,05881990fb0f62539ae837f52f2e1d41
349-U1431D-4H-CC-PAL-NANNO,0,5,32.08,32.13,NN19,G,F,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,F,,,,,,R,,R,,R,,,,,R,,R,,,,349,U1431,D,4,H,CC,PAL,303f8fbc995daa0e50eba0d6c5f21210
349-U1431D-5H-6-W 47/47-BIO,0,0,39.67,39.67,NN19,M,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,F,,R,,,,,F,,F,,,,349,U1431,D,5,H,6,W,2186cbc71afafeee4b21edfe7ede4ff9
349-U1431D-5H-CC-PAL-NANNO,0,5,41.47,41.52,NN19,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,5,H,CC,PAL,df0f5d1d178870a7d55a52fd99761977
349-U1431D-6H-CC-PAL-NANNO,0,5,50.9,50.95,NN19,M,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,6,H,CC,PAL,27029f7267ac91a0354ef8d425301eb6
349-U1431D-7H-CC-PAL-NANNO,0,5,58.53,58.58,NN19,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,7,H,CC,PAL,1827025c45ec4480936549a940956853
349-U1431D-8H-1-W 50/50-NANNO84,0,0,60.7,60.7,NN19,M,A,C,F,,,,,,,,,R,,C,,,,,,,,,,,C,,,C,,,,,F,C,C,,,,R,F,,,F,R,F,,,,,C,,F,Abundant reworked Discoaster,,,349,U1431,D,8,H,1,W,6e560910dadd225fb20dc6cf30a3a403
349-U1431D-8H-CC-PAL-NANNO,0,4,69.5,69.54,NN19,M,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,R,,R,,,,,,349,U1431,D,8,H,CC,PAL,c7c4bc6b169fd41e0a47771c66ea2ef9
349-U1431D-9H-CC-PAL-NANNO,0,6,78.85,78.91,NN19,G,F,R,R,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,R,R,F,R,,,R,R,,,R,,R,,,,,,,R,,,,349,U1431,D,9,H,CC,PAL,e106e07186e22c46e5dd34cd6d9194c6
349-U1431D-10H-CC-PAL-NANNO,0,5,89.01,89.06,NN19,G,C,C,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,A,R,R,,,,R,,,,,,,,,,,,,,,,349,U1431,D,10,H,CC,PAL,5e2b2110069ee859e173c2c1d7006afc
349-U1431D-11H-5-PAL-NANNO,0,5,96.1,96.15,NN19,VG,A,F,F,,,,,,,R,,,,R,,,,,,,,,,,F,,,R,,R,,,,A,C,F,,,,,,,,F,R,,,,R,,,,,,,349,U1431,D,11,H,5,PAL,2bb4123d709355dc220e0b6313559072
