Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1462A-75X-CC-PAL-FORAM-150-2000,0,10,671.6,671.7,,,,,,,,,,R,P,,60,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,75,X,CC,PAL,87bff01a0e97c2b82ccbb7d59db26ea4
356-U1462A-77X-CC-PAL-FORAM-150-2000,0,10,689.71,689.81,,,,,,,,,,R,P,S [F02],60,3,,,,,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,P,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,77,X,CC,PAL,72f024e92d371b80dca8cad96b2a7c62
356-U1462A-79X-CC-PAL-FORAM-150-2000,0,10,706.39,706.49,,,,,,,,,,F,P,,60,,,,,,Ostracod (P),,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,R,,,P,,,,,,,,,,,,,,,,P,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,79,X,CC,PAL,938bd02ecd1d003e8d10769a33ad4093
356-U1462A-81X-CC-PAL-FORAM-150-2000,0,10,727.37,727.47,,,"sinistral Primalis, so change in coiling direction at 4.08",,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)","sinistral Primalis, so change in coiling direction at 4.08",3.85,4.37,R,P,S [F02],60,3,,present,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,356,U1462,A,81,X,CC,PAL,53b6354a9a9d28503d4fb9ad4f0db5a2
356-U1462A-83X-CC-PAL-FORAM-150-2000,0,10,748.34,748.44,,,,,,,,,,R,P,S [F02],70,3,,present,,,"Ostracod (P), cemented",,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,P,P,P,,,,,,,,P,,,,,,,,,,,R,,,,,,P,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,356,U1462,A,83,X,CC,PAL,59aa26af16edf958c82c8c689fbcac8d
356-U1462A-85X-CC-PAL-FORAM-150-2000,0,10,767.79,767.89,,,,,,,,,,F,M,S [F02],80,3,,present,,,Ostracod (P),,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,356,U1462,A,85,X,CC,PAL,6fcba2694057bcf80189da39204cb0f6
356-U1462A-87X-CC-PAL-FORAM-150-2000,0,5,777.3,777.35,,,,,,,,,,R,P,S [F02],70,3,,,possibly some reworked forams,,quartz,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,87,X,CC,PAL,01264fde5dfe51190920abaa2e350e55
356-U1462A-91X-CC-PAL-FORAM-150-2000,0,10,807.45,807.55,,,,,,,,,,R,M,,70,,,,,,"mica, quartz",,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,91,X,CC,PAL,0fdbc2f35d85b3d2db6a8a0f9841d9a3
356-U1462A-95X-CC-PAL-FORAM-150-2000,0,10,827.46,827.56,,,,,,,,,,R,P,,60,,,,,,"stained, heavily glauconitized (?) specimens beside relatively 'fresh' ones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,95,X,CC,PAL,f5e9be82be28ce1f65db7f071045f7a5
356-U1462A-98X-CC-PAL-FORAM-150-2000,0,10,844.12,844.22,,,,,,,,,,B,,,,,,,,,Barren with few heavily crystallized foram-like grains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,98,X,CC,PAL,51c97bbd54b70c713f101b3aa3b3cf9a
356-U1462A-99X-CC-PAL-FORAM-150-2000,0,10,844.7,844.8,,,,,,,,,,,,,0,,,,,,Barren with few heavily crystallized foram-like grains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,99,X,CC,PAL,f1313975db8fcec920f6442b68d41c55
