Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
353-U1447A-11H-CC-PAL-FORAMP,0,5,98.75,98.8,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,R,F,,,R,F,,,F,,F,,,,,,,,A,C,,R,F,,,R,,,,,,,,,,R,,,,,,,R,,R,,F,,,,,,,R,,,A,,C,,,F,,,,A,,,F,,,,,,,,353,U1447,A,11,H,CC,PAL,328f6e12fb38d32a6feba6fd62c38a79
353-U1447A-12H-CC-PAL-FORAMP,0,5,107.9,107.95,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,R,,,F,R,,,F,,F,,,,,,,,A,C,,R,C,,,R,,,,,,,,,,R,,,,,,,R,,C,,F,R,R,,,,,,,,A,,F,,,C,,,,A,,,F,,,,,,,,353,U1447,A,12,H,CC,PAL,028d0af3fb953595c1476163ebd8dd8a
353-U1447A-13H-CC-PAL-FORAMP,0,3,116.47,116.5,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,R,,,C,R,F,,F,,R,,,,,,,,A,A,,F,R,,,R,,,,,,,,,,R,,,,,,,F,,R,,R,R,C,,,,,,,,A,,C,,,C,,,,A,,,F,,,,,,,,353,U1447,A,13,H,CC,PAL,1a6c609a354c16d3c982e01528017c16
353-U1447A-14H-CC-PAL-FORAMP,0,5,126.61,126.66,,,,,,,,,,0.61,,G,D,,,,1,,,,,,,,F,R,,,F,F,,,C,,C,,,,,,,,D,C,,,F,,,,,,,,,,,,,F,,,,,,,,R,R,,F,R,R,,,,,,,,A,,C,,,F,,,,A,,,R,,,,,,,,353,U1447,A,14,H,CC,PAL,078c289e3002fbb447e8e1815be0cbe3
353-U1447A-15H-CC-PAL-FORAMP,0,5,136,136.05,,,,,,,,,,0.61,,G,D,,,,,,,,,R,,,F,,,,C,F,,,F,,F,,,,,,,,A,C,,,F,,,,,,,,,,,,,,,,,,,,,,R,,F,R,F,,,,,,,,A,,F,,,F,,,,A,,,F,,,,,,,,353,U1447,A,15,H,CC,PAL,bb7becc04259e0e21a3db0f2bd2618f2
353-U1447A-16H-CC-PAL-FORAMP,0,5,145.52,145.57,,,,,,,,,,,,G,D,,,,,,,,,R,,,C,R,,,R,F,,,A,,C,,,,,,,,A,F,,,F,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,A,,C,,,F,,,,C,,,F,,,,,,,,353,U1447,A,16,H,CC,PAL,0f30f616e8af0e82138ca0dc0e198ddf
353-U1447A-17H-CC-PAL-FORAMP,0,5,154.82,154.87,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,,,,C,F,,,,,F,,,,,,,,A,C,,,R,,,,,,,,,,,,,R,,,,,,,F,,F,,F,,F,,,,,,,,A,,C,,,F,,,,C,,,F,,,,,,,,353,U1447,A,17,H,CC,PAL,086dd748af2a7656c08911b1d24ffbe5
353-U1447A-18H-CC-PAL-FORAMP,0,5,164.51,164.56,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,R,,,,F,R,,,C,,C,,,,,R,,,D,A,,,F,,,,,,,,,,,,,R,,,,,,,R,,,,R,,F,,,,,R,,,A,,F,,,F,,,,C,,,F,,,,,,,,353,U1447,A,18,H,CC,PAL,c0c71de3aeefa2edf70c43258d41b32d
353-U1447A-19H-CC-PAL-FORAMP,0,5,173.85,173.9,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,F,R,,,F,F,,,F,,C,,,,,R,,,D,A,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,A,,F,,,C,,,,A,,,R,,,,,,,,353,U1447,A,19,H,CC,PAL,e2029ca502cedcff5c39453b0be3a18a
353-U1447A-20H-CC-PAL-FORAMP,0,5,183.5,183.55,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,F,,,,,R,,,C,,F,,,,,R,,,D,C,,R,F,,,,,,,,,,,,,,,,,,,,,,R,,F,R,,,,,,,,,A,,F,,,F,,,,F,,,F,,,,,,,,353,U1447,A,20,H,CC,PAL,c16865adb00bb1678f8d12f1fa519e73
353-U1447A-21H-CC-PAL-FORAMP,0,5,192.35,192.4,,,,,,,,,,1.3,,G,D,,,,,,,R,,R,,,R,R,,,R,R,,,F,,F,,,,,R,,,C,A,,R,C,,,,,,,,,,,,,,,,,,,,R,,R,,F,R,R,,,,,,,,A,,C,,,C,,,,C,,,R,,,,,,,,353,U1447,A,21,H,CC,PAL,2358701e0e6fc21af827da4ea81acdc2
353-U1447A-22H-CC-PAL-FORAMP,0,5,202.66,202.71,,,,,,,,,,1.3,,M,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,A,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,,,353,U1447,A,22,H,CC,PAL,d1ec59939a4366ff59f1b9cc30a7d1de
353-U1447A-23H-CC-PAL-FORAMP,0,5,211.85,211.9,,,,,,,,,,1.3,,G,A,,,,,,,,,,,,R,,,,,,,,C,,,,,,,F,,,C,,,R,R,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,F,,,,,,,R,,,,,,,,,,,353,U1447,A,23,H,CC,PAL,b7b3ae627b2e340dae3cef6a36bd5b01
353-U1447A-24H-CC-PAL-FORAMP,0,5,221.19,221.24,,,,,,,,,,,,G,D,,,,,,,,,R,,,C,,,,,,,,C,,,,,,,R,,,C,,,,,,,,,,,,,,,,,R,,,,,,,R,R,R,,R,,,,,,,,,R,F,F,F,,,,,,,R,,,R,,,,,,,,353,U1447,A,24,H,CC,PAL,dea29bb0e9b8330aa97978bb4e7577ad
353-U1447A-25H-CC-PAL-FORAMP,0,5,230.63,230.68,,,,,,,,,,1.58,,G,D,,,,,,,,,,,,C,,,,,,,,F,,,,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,R,C,,,,,,,R,,,R,,,,,,,,353,U1447,A,25,H,CC,PAL,9690e02f4871e6b5dea1c54f486f68cb
353-U1447A-26H-CC-PAL-FORAMP,0,5,240.05,240.1,,,,,,,,,,1.88,,G,C,,,,1,,,,,,,,R,,,,,R,,,R,,,,R,,,R,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,F,,R,R,,,,F,,,R,,,,,,,,353,U1447,A,26,H,CC,PAL,058746e0d4d877c59eeda177a13a81eb
353-U1447A-27H-CC-PAL-FORAMP,0,5,247.99,248.04,,,,,,,,,,1.88,,G,D,,,,,,,,,,,,C,,,,,,,,C,,,,R,,,R,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,F,,,R,,,,R,,,,,,,,,,,353,U1447,A,27,H,CC,PAL,c5208f9ed6e0bb55d6d885aceb38fce0
353-U1447A-28H-CC-PAL-FORAMP,0,5,254.83,254.88,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,F,,,R,,,,R,,,R,,,,,,,,353,U1447,A,28,H,CC,PAL,0df9c470fecf40600f05cdebaf3ceb6d
353-U1447A-29H-CC-PAL-FORAMP,0,10,260.88,260.98,,,,,,,,,,1.98,,G,D,,,,,,,,,R,,,F,,,,R,,,,F,,R,R,R,,,R,,,A,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,F,R,F,,,R,,,,R,,,R,,,,,,,,353,U1447,A,29,H,CC,PAL,3292ffe916501d1a8468142eb01eaeb9
353-U1447A-30F-CC-PAL-FORAMP,0,5,265.96,266.01,,,,,,,,,,1.98,,G,D,,,,1,,,,,,,,F,,,,,,,,,,R,R,R,,,,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,R,,,,F,,,R,,,,,,,,353,U1447,A,30,F,CC,PAL,4b90dfcd98139639266a0d4e068dcba3
353-U1447A-31F-CC-PAL-FORAMP,0,7,267.25,267.32,,,,,,,,,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1447,A,31,F,CC,PAL,85d707d7232e3cae46042569761f2ed1
353-U1447A-32F-CC-PAL-FORAMP,0,5,275.84,275.89,,,,,,,,,,1.98,,M,C,,,,1,,,,,,,,A,F,,,R,,,,A,,F,R,,,,R,,,D,C,,F,R,,,R,,,,,,,,,,R,,,,,,,R,,,,R,,R,,,,,,,R,A,R,F,,,F,,,,F,,,R,,,,,,,,353,U1447,A,32,F,CC,PAL,8d150a9286186f2332330f6022f33998
353-U1447A-33F-CC-PAL-FORAMP,0,5,280.67,280.72,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,R,R,,,R,R,,,R,,F,R,,,,R,,,D,A,,F,R,,,R,,,,,,,,,,F,,,,,,,F,,,,F,,F,,,,,,,R,A,R,F,,,F,,,,F,,,F,,,,,,,,353,U1447,A,33,F,CC,PAL,ee04cb6bfa6c388bcf20821256823f69
353-U1447A-34F-CC-PAL-FORAMP,0,5,285.33,285.38,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,C,R,,,,R,,,C,,R,R,,,,R,,,A,A,,R,C,,,,,,,,,,,,,R,,,,,,,R,,,,R,R,,,,,,,,R,A,R,F,,,C,,,,F,,,R,,,,,,,,353,U1447,A,34,F,CC,PAL,da965fa69cac2e03047f911fb8d05c5d
353-U1447A-35F-CC-PAL-FORAMP,0,5,290.21,290.26,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,R,R,,,,R,,,C,,R,F,,,,R,,,A,A,,F,C,,,,,,,,,,,F,,F,,,,,,,R,,,,C,,,,R,R,,,R,R,C,R,F,,,F,,,,F,,,F,,,,,,,,353,U1447,A,35,F,CC,PAL,a8a36257573727cf8b12cd4c3a958e29
353-U1447A-36F-CC-PAL-FORAMP,0,5,294.98,295.03,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,R,R,,,R,,,,C,,,R,,,,R,,,A,A,,R,C,,,,,,,,,,,R,,R,,,,,,,R,,,,,,R,,R,R,,,,R,F,C,R,,,F,,,,C,,,R,,,,,,,,353,U1447,A,36,F,CC,PAL,cbc71aba827c746ecf3ebd9496632877
353-U1447A-37F-CC-PAL-FORAMP,0,5,299.75,299.8,,,,,,,,,,,3.35,G,D,,,,,,,,,,,,R,R,,,R,,,,F,,,,,,,R,,,A,A,,,A,,,,,,,,,,,R,,F,,,,,,,,,R,,F,,,,R,,,,R,R,A,A,C,,,C,,,,R,,,C,,,,,,,,353,U1447,A,37,F,CC,PAL,dc5fd3839a69be0255f2eb51f8e72886
353-U1447A-38F-CC-PAL-FORAMP,0,5,304.63,304.68,,,,,,,,,,,,M,D,,,,,,,,,,,,F,,,,,,,,C,,,F,,,,C,,,D,A,,,C,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,F,C,,,F,F,A,F,F,,,F,,,,F,,,F,,,,,,,,353,U1447,A,38,F,CC,PAL,77c5d4e44237fdbae9bb2fe2b33a0b61
353-U1447A-39F-CC-PAL-FORAMP,0,5,309.39,309.44,,,,,,,,,,,3.33,M,D,,,,,,,,,R,,,F,,,,R,,,,C,,R,A,R,,,F,,,A,A,,,,,,,,R,,,,,,R,,F,,,,,,,F,,,,R,,R,,R,,,,R,F,C,,F,,,F,,,,F,,,F,,,,,,,,353,U1447,A,39,F,CC,PAL,ba9deda190c59ffcf0b555c1d414227f
353-U1447A-40F-CC-PAL-FORAMP,0,5,314.12,314.17,,,,,,,,,,2.75,3.47,G,D,,,,,,,,,F,,,,R,,,R,,,,C,,F,C,,,,F,,,A,A,,,C,,,,,,,,,,,C,,F,,,,,,,,,,,R,R,R,,R,R,,,R,,C,R,F,,,F,,,,F,,,C,,,,,,,,353,U1447,A,40,F,CC,PAL,ccdfb7bdfcf145f43f62f68d7b690d51
353-U1447A-41F-CC-PAL-FORAMP,0,5,314.96,315.01,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,F,,,,R,,,,F,,R,R,,,,R,,,C,R,,,C,,,R,,,,,,,,R,,R,,,,,,,,,,,R,,R,,R,R,,,R,,C,,F,,,R,,,,R,,,R,,,,,,,,353,U1447,A,41,F,CC,PAL,f5e562e81afa17724a706faf7ad0a5dc
353-U1447A-42F-CC-PAL-FORAMP,0,5,319.62,319.67,,,,,,,,,,2.98,3.33,G,D,,,,,,,,,,,,R,,,,,,,,R,,R,F,R,,,,,,C,R,,,C,,,,,,,,,,,R,,R,,R,,,,,R,,,,R,,,,F,,,,,,F,,F,,R,,,,,,,,R,,,,,,,,353,U1447,A,42,F,CC,PAL,c8d95464a8cec7d29c1c82f268a3c24e
353-U1447A-43F-CC-PAL-FORAMP,0,5,325,325.05,,,,,,,,,,,3.33,G,D,,,,,,,,,R,,,F,,,,R,,,,F,,,F,R,,,,,,C,R,,,F,,,,,,,,,,,R,,R,,,,,,,R,,,,R,,R,,,,,,,,F,F,F,,,R,,,,,,,F,,,,,,,,353,U1447,A,43,F,CC,PAL,47a95aec887256b4e0bc8a34f1d686eb
353-U1447A-44F-CC-PAL-FORAMP,0,5,328.83,328.88,,,,,,,,,,2.98,3.33,G,D,,,,,,,,,,,,F,,,,R,,,,F,,R,F,R,,,,,,C,R,,,C,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,F,,,,,,F,,F,,,R,,,,R,,,R,,,,,,,,353,U1447,A,44,F,CC,PAL,392b62e5b7bc567ef7f5a844ad6cbe50
353-U1447A-45X-CC-PAL-FORAMP,0,5,333.05,333.1,,,,,,,,,,,3.33,G,D,,,,,,,,,,,,F,,,,,,,,,,R,C,R,,,,,,C,R,,,F,,,,,,,,,,,R,,R,,,,,,,,,,,,,R,,R,,,,,,,,F,,R,R,,,,R,,,F,,,,,,,,353,U1447,A,45,X,CC,PAL,83d3e689e77e26a1e9d41461f8ff2670
353-U1447A-47X-1-W 20/24-FORAMP,0,4,343,343.04,,,,,,,,,,3.58,,G,D,,,,,,,,,,C,,,,,,,,,,,,R,,,,,A,,,A,A,,,A,,,,,,R,,,,,,,C,,,,,,,R,,,,R,,,,,R,,,,R,,,,,,,,,,,,,C,,F,,,,,,353,U1447,A,47,X,1,W,d4a010087195bde57702ffa6096fc00f
353-U1447A-47X-CC-PAL-FORAMP,0,5,352.84,352.89,,,,,,,,,,3.66,,G,D,,,,,,,,,,F,,,,,,,,,,R,,R,F,,,,R,,,C,R,,,R,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,R,F,,,R,,,,R,R,,F,,,,,,,,353,U1447,A,47,X,CC,PAL,54dcceb687f819f30211e37dac6a9e8b
353-U1447A-48X-CC-PAL-FORAMP,0,5,362.17,362.22,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,R,,,,,,,,R,,R,F,,,,,,,F,R,,,C,,,,,,,,,,,R,,R,R,,,R,,,,,,,R,,,,,,,,,R,F,R,F,,R,R,,,,R,,,R,,R,,,,,,353,U1447,A,48,X,CC,PAL,df81808e35c5d9e2ff490a92c0dee3ca
353-U1447A-49X-CC-PAL-FORAMP,0,5,372.04,372.09,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,R,,,,,,,,,,,C,,,,,,,,R,,,F,,,,,,,,,,,R,,R,R,,,R,,,R,,,,R,,,,,,,,,R,,R,F,,R,R,,,,,,,,,F,,,,,,353,U1447,A,49,X,CC,PAL,90e088bc2a7572ed21f5ba7cc7408abb
353-U1447A-50X-CC-PAL-FORAMP,0,4,381.08,381.12,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,,,,,,,,,,,,C,,,,C,,,R,F,,,F,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,R,,,,,,353,U1447,A,50,X,CC,PAL,4ae8cba1de7893bb2de631ef990e8470
353-U1447A-51X-CC-PAL-FORAMP,0,5,391.3,391.35,,,,,,,,,,3.85,,G,A,,,,,,,,,R,A,,,R,,,,,,,F,,,A,,,,,,,,A,,,C,,,,,,R,,,,,,R,C,,,,R,,,R,,,,R,,R,,F,F,,,F,,F,,F,,,F,,,,C,R,,,,F,,,,,,353,U1447,A,51,X,CC,PAL,0d364743038bc225282290a4e42b1387
353-U1447A-52X-CC-PAL-FORAMP,0,5,401.21,401.26,,,,,,,,,,4.53,,G,D,,,,,,,,,R,A,F,R,R,,,R,,,,F,,F,A,,,,C,,,R,A,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,R,,F,F,,,F,R,C,R,F,R,,F,,,,,,,,F,C,,,,,,353,U1447,A,52,X,CC,PAL,63d214e6a3fd344c73e9842fcafb80b7
353-U1447A-53X-CC-PAL-FORAMP,0,5,410.8,410.85,,,,,,,,,,4.53,,G,D,,,,,,,,,R,C,R,,,,,R,R,,,R,,R,A,,,,A,,,,A,,,C,,,,,,,,,,,R,,R,,R,,,,,,F,,,,,,,F,F,,,F,,C,R,F,,,F,,,,,,,,F,F,,,,,,353,U1447,A,53,X,CC,PAL,f92c47aacf5051bc073e754cc56b1fa7
353-U1447A-54X-CC-PAL-FORAMP,0,5,420.41,420.46,,,,,,,,,,,,G,D,,,,,,,,,,A,R,,,,,,,,,F,,R,A,,,,A,,,,A,,,A,,,,,,,,,,,,F,C,,,,F,,,,R,,,,,,,F,F,,,F,,A,R,C,,,C,,,,,A,,,,,,,,,,353,U1447,A,54,X,CC,PAL,b29f8af1c5ced5bfc144e791be8d755b
353-U1447A-55X-CC-PAL-FORAMP,0,5,429.99,430.04,,,,,,,,,,,,G,D,,,,,,,,,R,A,,,,,,,,,,R,,F,A,,,,C,,,,A,,,C,,,,,,,,,,,,,F,,,,,,,R,,,,,,R,,,,,,F,,A,,F,,,F,,,,,,,,,R,,,,,,353,U1447,A,55,X,CC,PAL,c50122eb51fae86def083414d80ad149
353-U1447A-56X-CC-PAL-FORAMP,0,5,438.97,439.02,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,F,C,,,,,,,,,,F,,F,A,,,,C,,,,A,,,A,,,,,,,,,,,F,R,C,,R,,F,,,F,,,,R,,R,,,F,,,F,,C,,,,,C,,,,,,,,F,F,,,,,,353,U1447,A,56,X,CC,PAL,930a3c5346b890891d71fb0ea939b454
353-U1447A-57X-CC-PAL-FORAMP,0,5,449.45,449.5,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,C,,,,,,,,,,C,,F,A,,,,A,,,,A,,,A,,,,,,,,,,,R,,C,,,,F,,,,,,,R,,,,,,,,F,,A,,C,,,F,,,,,F,,,R,R,,,,,,353,U1447,A,57,X,CC,PAL,734c66a441082faa640940db058b34c4
353-U1447A-58X-CC-PAL-FORAMP,0,5,458.26,458.31,,,,,,,,,,4.53,,G,D,,,,,,,,,R,R,,,,,,,,,,,,R,A,,,,F,,,,R,,,A,,F,,,,,,,,,R,R,,R,,,F,,,R,,,,,,,,F,F,,,R,R,F,,C,,R,R,,,,,C,,,F,F,,,,,,353,U1447,A,58,X,CC,PAL,0a38a217b3569a1c2ed5b5398e71dcaa
