Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1459B-13F-CC-PAL-FORAM-150-2000,0,5,68.8,68.85,P [P39],A,50,,,,,Some glauconite. Ostracods present and common in neritic environments with seaweed?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,A,,,,P,,,,,,,,,,F,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29813621,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29813621,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29813621,",356,U1459,B,13,F,CC,PAL,4a396ac9f366aa76d069878d652fd7d4
356-U1459B-14F-CC-PAL-FORAM-150-2000,0,5,73.56,73.61,P [P39],A,44,,,,,Pterapods and sponge spicules present,0,,,,,,P,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,R,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804111,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804111,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29804111,",356,U1459,B,14,F,CC,PAL,438840cb63eb14d05af6c10f921480dc
356-U1459B-15F-CC-PAL-FORAM-150-2000,0,5,78.34,78.39,P [P39],A,46,,,,,Ostracods present,0,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29814051,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29814051,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29814051,",356,U1459,B,15,F,CC,PAL,a89a02dfc18a4c6aed61622f43c312c3
356-U1459B-16F-CC-PAL-FORAM-63-150,0,5,83.15,83.2,P [P39],A,30,,,,,Ostracods present and indicative of shallow/sublittoral zone.,0,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,P,,,,,,,,P,,,,R,,,,A,,,,F,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,P,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29782471,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29782471,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29782471,",356,U1459,B,16,F,CC,PAL,06b1b58a438a0e572989ad85f5958400
356-U1459B-18F-CC-PAL-FORAM-63-150,0,5,92.51,92.56,M [P39],,43,,,,,"Pteropods present, bryozoans present, glauconite present",0,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,R,,F,,,,,,D,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29795951,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29795951,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29795951,",356,U1459,B,18,F,CC,PAL,65fd63457425fb6c02ab6cc1d9957d37
356-U1459B-20F-CC-PAL-FORAM-150-2000,0,5,102.19,102.24,G [P39],A,42,,,,,High dominance of U. peregrina indicates intermediate water depths and high sedimentary organic carbon. Uvigerina also noted to be dominant in Indian ocean during glacials. Gas hydrate association in Atlantic,0,,,,,,P,,,,,,,,,,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,D,,,,,,,,,356,U1459,B,20,F,CC,PAL,ad1ff33c14794181c1be473a59139c44
356-U1459B-22F-CC-PAL-FORAM-150-2000,0,5,111.57,111.62,M [P39],A,38,,,,,Ostracods present. Glauconite infilling particularly in rotalid foraminifera.,0,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,A,,,,,,,,,,F,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,A,P,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804561,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29804561,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29804561,",356,U1459,B,22,F,CC,PAL,6cbfc0c6373dfe2ab019a3ff34fcbc28
356-U1459B-25F-CC-PAL-FORAM-150-2000,0,5,122.85,122.9,P [P39],D,15,,,,,Ostracods present,0,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29789561,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29789561,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29789561,",356,U1459,B,25,F,CC,PAL,3a51f6f5240335f09199c5c69cccb6e5
356-U1459B-28F-CC-PAL-FORAM-150-2000,0,5,136.98,137.03,P [P39],,59,,,,,,0,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,R,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,D,,,,,,,A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29795951,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29795951,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29795951,",356,U1459,B,28,F,CC,PAL,949ca0441f14c26561811de4591daec1
356-U1459B-31F-CC-PAL-FORAM-150-2000,0,5,151.21,151.26,P [P39],,63,,,,,"glauconite present also in tests, heavy dolomite encrustation hampering species identification",0,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29797841,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=29797841,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=29797841,",356,U1459,B,31,F,CC,PAL,a73cf98e93d308d559ffbfa9106fd3b8
