Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1446A-1H-CC-PAL-FORAMP,0,7,4.28,4.35,,,,,,,,,,,0.12,G,D,81,,,,,,,,,,,C,R,,R,F,R,,,C,,F,,,,,,,,F,F,,,C,,,,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,C,,,,,F,,,,R,,,R,,,,,,,,353,U1446,A,1,H,CC,PAL
353-U1446A-2H-CC-PAL-FORAMP,0,5,13.79,13.84,,,,,,,,,,,0.12,G,D,99,,,,,,,,,,,C,R,,,R,R,,,F,,R,,,,,,,,F,R,,,R,,,,,,,,,,,,,R,,,,,,,,R,,,,,R,,,,,R,,,C,,R,,,,,,,R,,,,,,,,,,,353,U1446,A,2,H,CC,PAL
353-U1446A-3H-CC-PAL-FORAMP,0,5,23.52,23.57,,,,,,,,,,,0.12,G,D,59,,,,,,,,,,,C,R,,,R,R,,,F,,R,,,,,,,,F,R,,,F,,,,,,R,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,C,,,,,R,,,,F,,,,,,,,,,,353,U1446,A,3,H,CC,PAL
353-U1446A-4H-CC-PAL-FORAMP,0,5,31.93,31.98,,,,,,,,,,0.12,,G,D,90,,,,,,,,,,,C,R,,,F,R,,,C,,R,,,,,,,R,F,F,,,F,,,,,,,,,,,,,F,,,,,,,,R,,,R,,R,,,,,,,,C,,R,,,R,,,,R,,,,,,,,,,,353,U1446,A,4,H,CC,PAL
353-U1446A-5H-CC-PAL-FORAMP,0,5,42.85,42.9,,,,,,,,,,0.12,,G,D,66,,,,,,,,,,,C,R,,,R,R,,,F,,,,,,,,,R,F,R,,,F,,,,,,,,,,,,,F,,,,,,,R,R,,,,,R,,,,,,,,C,,,,,R,,,,R,,,,,,,,,,,353,U1446,A,5,H,CC,PAL
353-U1446A-6H-CC-PAL-FORAMP,0,5,51.9,51.95,,,,,,,,,,0.12,0.4,G,D,75,,,,,,,,,,,F,,,,R,,,,C,,R,,,,,,,R,F,R,,,R,,,,,,R,,,,,,,F,,,,,,,,R,,,,,,,,,,R,,,C,,R,,,,,,,R,,,,,,,,,,,353,U1446,A,6,H,CC,PAL
353-U1446A-7H-CC-PAL-FORAMP,0,5,61.43,61.48,,,,,,,,,,0.12,,G,D,68,,,,,,,,,,,C,,,,R,R,,,C,,R,,,,,,,R,F,R,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,C,,R,,,R,,,,R,,,,,,,,,,,353,U1446,A,7,H,CC,PAL
353-U1446A-8H-CC-PAL-FORAMP,0,5,71.85,71.9,,,,,,,,,,0.12,,M,A,41,,,,,,,,R,,,F,,,,R,R,,,F,,R,,,,,,,R,F,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,F,,,,,R,,,,R,,,,,,,,,,,353,U1446,A,8,H,CC,PAL
353-U1446A-9H-CC-PAL-FORAMP,0,5,79.59,79.64,,,,,,,,,,0.12,,G,D,55,,,,,,,,,,,C,R,,,R,R,,,F,,,,,,,,,R,C,R,,,F,,,R,,,,,,,,,,R,,,,,,,R,R,,,,,R,,,,,,,,F,,R,,,R,,,,F,,,,,,,,,,,353,U1446,A,9,H,CC,PAL
353-U1446A-10H-CC-PAL-FORAMP,0,5,90.21,90.26,,,,,,,,,,0.12,0.4,G,D,61,,,,,,,,,,,C,R,,,R,F,,,F,,,,,,,,,F,F,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,R,,,,,,,,,,,353,U1446,A,10,H,CC,PAL
353-U1446A-11H-CC-PAL-FORAMP,0,5,99.23,99.28,,,,,,,,,,,0.8,G,D,73,,,obliquus,,135,,,,,,C,F,,,F,F,,,C,,R,,,,,R,,,C,C,,R,C,,,,,,,,,,,,,R,,,,,,,R,,,,F,,R,,,,,F,,,C,,F,,,F,D,,,A,,,,,,,,,,,353,U1446,A,11,H,CC,PAL
