Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461B-4H-CC-PAL-NANNO,0,10,33.07,33.17,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",M [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,abundant aragonite needles,,,,356,U1461,B,4,H,CC,PAL,d93664605729637e386af0f7b17d2af6
356-U1461B-5H-CC-PAL-NANNO,0,10,39.84,39.94,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,R,R,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,micrite,,,,356,U1461,B,5,H,CC,PAL,3d11769dd089a380d1ba9acb364d521f
356-U1461B-14H-CC-PAL-NANNO,0,12,117.24,117.36,,,M [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,,R,R,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,micrite and aragonite needles,,,,356,U1461,B,14,H,CC,PAL,7791cece1ab2ca310c01c9f37887122b
356-U1461B-29F-CC-PAL-NANNO,0,10,239.94,240.04,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,C,,C,,,,,,,,,F,,R,,,,F,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,356,U1461,B,29,F,CC,PAL,5397d8d7a8816f140d920bb90d501ecf
356-U1461B-30F-CC-PAL-NANNO,0,13,244.79,244.92,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,R,F,,,,,,,,,F,F,,,,,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,356,U1461,B,30,F,CC,PAL,2cc4de350b5ed84cda0180f8586b26dc
356-U1461B-31F-CC-PAL-NANNO,0,10,249.35,249.45,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,F,R,,,,,,,,,C,R,F,,,,A,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,31,F,CC,PAL,b324302d2a08464f877eb9a812596f4a
356-U1461B-34F-CC-PAL-NANNO,0,10,263.61,263.71,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,,F,F,R,,,,,,,,,F,R,F,,,,R,F,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1461,B,34,F,CC,PAL,ca666ddaf17d4b6f5efca83a5d36573b
356-U1461B-38F-CC-PAL-NANNO,0,10,282.41,282.51,,,M [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,P,,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,38,F,CC,PAL,5532a3a6dfb11eef95c3b1f97e23018c
356-U1461B-40X-CC-PAL-NANNO,0,10,291.86,291.96,,,M [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,356,U1461,B,40,X,CC,PAL,6dc3374415e08e86d505a1c1b9301848
356-U1461B-43F-CC-PAL-NANNO,0,10,304.82,304.92,,,G [P33],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,,C,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,43,F,CC,PAL,11dfddec4f92e9fedefe3bbaab8a81b5
