Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1466B-2R-2-W 20/21-PAL-FORAM >150,0,1,315.67,315.68,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,P,,,,,359,U1466,B,2,R,2,W,3ed505dfb22bda23a423fa1a17931ca0
359-U1466B-7R-CC-PAL-FORAM >150,0,1,363.73,363.74,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,7,R,CC,PAL,62b72cbaa519fcb0d5d90a9815e9478a
359-U1466B-8R-CC-PAL-FORAM >150,0,2,373.58,373.6,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,P,,,,,359,U1466,B,8,R,CC,PAL,d03c6f02cce3cc529d7fc56b80a9a248
359-U1466B-9R-CC-PAL-FORAM >150,0,4,382.79,382.83,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,,,,,,,,359,U1466,B,9,R,CC,PAL,327187402d368f36242f6143f6e20796
359-U1466B-10R-CC-PAL-FORAM >150,0,5,394.18,394.23,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,,,P,,,,,359,U1466,B,10,R,CC,PAL,3454961c5d7d71fe5d8aa59aa88ddbe6
359-U1466B-11R-1-W 82/85-PAL-FORAM >150,0,3,402.22,402.25,,,,P,,,,,,,,,,,,,,,,,P,,,P,,,,P,P,,,R,,,,P,,,,,359,U1466,B,11,R,1,W,fc1d3e3afbdff2de2562558a906ccae7
359-U1466B-12R-CC-PAL-FORAM >150,0,5,412.53,412.58,,,,VP,,,,,,,,,,,,,,,,,R,,,C,,,,,,P,,C,,,,P,,,,,359,U1466,B,12,R,CC,PAL,987ec0817b91422d37fd101b912af491
359-U1466B-13R-CC-PAL-FORAM >150,0,5,423.48,423.53,,,P. glomerosa?,VP,,,,,,,,,,,,,,,,,C,,,R,,,,,,P,,,P,,,P,,,,,359,U1466,B,13,R,CC,PAL,4533411f30f39b8b079a94beed830d20
359-U1466B-14R-CC-PAL-FORAM >150,0,5,432.41,432.46,,,P. glomerosa?,P,,,,,,,,,,,,,,,,,P,,,A,,,,,P,C,,,P,,,P,,,,,359,U1466,B,14,R,CC,PAL,73a7116404558feb1cd40029ce5439a4
359-U1466B-15R-CC-PAL-FORAM >150,0,5,441.54,441.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,15,R,CC,PAL,9a674094b85815a46ce84858ab308bab
