Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1500A-2R-CC-PAL-NANNO,0,5,386.97,387.02,,M,C,,,,,,,,,F,,F,F,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,C,,C,,,C,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1500,A,2,R,CC,PAL,b1ed6e0eee78e4c1266ac507390b3d16
367-U1500A-3R-CC-PAL-NANNO,0,5,394.63,394.68,,M,C,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,C,F,F,,,C,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1500,A,3,R,CC,PAL,eebe7586c0c86e2a05562fc6b91992c9
367-U1500A-4R-CC-PAL-NANNO,0,5,401.66,401.71,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,F,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,A,4,R,CC,PAL,8b1d892ed631e4d98251de30496a724f
367-U1500A-5R-CC-PAL-NANNO,0,5,409.95,410,,G,A,,,,,,,,,,,F,A,,F,,,,,,,C,,,,,,,,F,,C,,,,,,,,,,,,,,A,,,,,C,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,,,,,367,U1500,A,5,R,CC,PAL,b1aca3dd6241d9ce21f0686720abb6e5
367-U1500A-9R-CC-PAL-NANNO,0,5,448.91,448.96,,M,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,R,R,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,A,9,R,CC,PAL,2b2bacfebb67bc8307224d1ef71ebb70
367-U1500A-10R-CC-PAL-NANNO,0,5,455.8,455.85,,M,F,,,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,C,,F,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1500,A,10,R,CC,PAL,194a07a75d2fedcc7d78abfe89931dd7
367-U1500A-13R-CC-PAL-NANNO,0,5,485.91,485.96,,M,C,,,,,,,,,F,,C,C,F,,,,,,,,F,,,,,,F,,F,,F,,,,,,,,,,,,,,C,R,F,,,C,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,C,,S.HETEROM-REWORK??,,,,367,U1500,A,13,R,CC,PAL,7f8282a83c9f15681f1b2f86c131995b
367-U1500A-15R-1-PAL-NANNO,0,3,641.2,641.23,,M,R,,,,,,,,,,,,R,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,A,15,R,1,PAL,b805529ceb794dce8f9df3f929bba045
367-U1500A-17R-1-PAL-NANNO,0,5,660.89,660.94,,M,C,,,,,,,,,,,,C,F,F,,,,,,,R,,,,,,F,,F,,C,,,,,,,,,,R,C,,F,F,,R,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,367,U1500,A,17,R,1,PAL,a950cabf6e3816df8784c6bcc8b77aed
367-U1500A-18R-1-W 42/42-NANNO,0,0,670.72,670.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,18,R,1,W,804f9b47b68c50077d7710f190c3cacb
